effective_date,ticker,action
2003-09-01,TIT.MI,ADD
2003-09-01,TI.MI,DEL
2003-10-01,IBE.MC,ADD
2003-10-01,HVM.DE,DEL
2004-08-01,SAP.DE,ADD
2004-08-01,AVE.PA,DEL
2004-10-01,ACA.PA,ADD
2004-10-01,VOW.DE,DEL
2005-07-01,TIM.MI,DEL
2005-07-01,AIBG.IR,ADD
2005-08-01,RNO.PA,ADD
2005-08-01,RDA.AS,DEL
2007-02-01,ISP.MI,ADD
2007-02-01,SPI.MI,DEL
2007-10-01,LG.PA,DEL
2007-10-01,AIBG.IR,DEL
2007-10-01,AD.AS,DEL
2007-10-01,SU.PA,ADD
2007-10-01,MTP.PA,ADD
2007-10-01,DG.PA,ADD
2007-11-01,DB1.DE,ADD
2007-11-01,VOW.DE,ADD
2007-11-01,3577044Z,DEL
2007-11-01,ELE.MC,DEL
2008-08-01,ENGI.PA,ADD
2008-08-01,SZE.PA,DEL
2008-10-01,ALO.PA,ADD
2008-10-01,ALU.PA,DEL
2009-02-01,AGS.BR,ADD
2009-02-01,MT.AS,ADD
2009-02-01,FORA.AS,DEL
2009-02-01,MTP.PA,DEL
2009-10-01,RNO.PA,DEL
2009-10-01,AGS.BR,DEL
2009-10-01,ABI.BR,ADD
2009-10-01,CRH.IR,ADD
2010-03-01,UL.PA,ADD
2010-03-01,VOW.DE,DEL
2010-10-01,BMW.DE,ADD
2010-10-01,AGN.AS,DEL
2011-08-01,63DU.DE,ADD
2011-08-01,DB1.DE,DEL
2011-10-01,ITX.MC,ADD
2011-10-01,VOW3.DE,ADD
2011-10-01,ACA.PA,DEL
2011-10-01,ALO.PA,DEL
2012-03-01,DB1.DE,ADD
2012-03-01,63DU.DE,DEL
2012-07-01,TIT.MI,DEL
2012-07-01,DB1.DE,DEL
2012-07-01,EL.PA,ADD
2012-07-01,ASML.AS,ADD
2013-03-01,UL.AS,ADD
2013-03-01,UL.PA,DEL
2013-04-01,AIR.PA,ADD
2013-04-01,NOKIA.HE,DEL
2013-10-01,DHL.DE,ADD
2013-10-01,MT.AS,DEL
2014-10-01,NOKIA.HE,ADD
2014-10-01,CRH.IR,DEL
2015-10-01,FRE.DE,ADD
2015-10-01,SAF.PA,ADD
2015-10-01,REP.MC,DEL
2015-10-01,RWE.DE,DEL
2016-10-01,CA.PA,DEL
2016-10-01,CRH.IR,ADD
2016-10-01,G.MI,DEL
2016-10-01,AD.AS,ADD
2016-10-01,ADS.DE,ADD
2016-10-01,UCG.MI,DEL
2018-07-01,UL.AS,DEL
2018-07-01,URW.AS,ADD
2018-10-01,AMS.MC,ADD
2018-10-01,KER.PA,ADD
2018-10-01,LINU.DE,ADD
2018-10-01,DBK.DE,DEL
2018-10-01,EOAN.DE,DEL
2018-10-01,SGO.PA,DEL
2018-11-01,LINU.DE,DEL
2018-11-01,LIN.DE,ADD
2019-07-01,UNAT.AS,ADD
2019-07-01,1844030D,DEL
2019-10-01,DB1.DE,ADD
2019-10-01,URW.AS,DEL
2020-10-01,FRE.DE,DEL
2020-10-01,TEF.MC,DEL
2020-10-01,ORA.PA,DEL
2020-10-01,GLE.PA,DEL
2020-10-01,BBVA.MC,DEL
2020-10-01,RI.PA,ADD
2020-10-01,PRX.AS,ADD
2020-10-01,KNEBV.HE,ADD
2020-10-01,ADYEN.AS,ADD
2020-10-01,VNA.DE,ADD
2020-12-01,FLTR.IR,ADD
2020-12-01,UNAT.AS,DEL
2021-04-01,IFX.DE,ADD
2021-04-01,NOKIA.HE,DEL
2021-10-01,VIV.PA,DEL
2021-10-01,BBVA.MC,ADD
2021-10-01,STLAM.MI,ADD
2021-10-01,UMG.AS,ADD
2021-10-01,AMS.MC,DEL
2021-10-01,ENGI.PA,DEL
2022-01-01,UMG.AS,DEL
2022-01-01,RMS.PA,ADD
2022-10-01,PHIA.AS,DEL
2022-10-01,KNEBV.HE,DEL
2022-10-01,NDA.HE,ADD
2022-10-01,NOKIA.HE,ADD
2023-03-01,UCG.MI,ADD
2023-03-01,LIN.DE,DEL
2023-10-01,RACE.MI,ADD
2023-10-01,SGO.PA,ADD
2023-10-01,CRH.IR,DEL
2023-10-01,VNA.DE,DEL
2024-01-01,WKL.AS,ADD
2024-01-01,FLTR.IR,DEL
2024-04-01,IBE.MC,DEL
2024-04-01,SAN.MC,DEL
2024-04-01,ITX.MC,DEL
2024-04-01,BBVA.MC,DEL
2024-04-01,ITX.MC,ADD
2024-04-01,IBE.MC,ADD
2024-04-01,BBVA.MC,ADD
2024-04-01,SAN.MC,ADD
2024-08-01,BBVA.MC,ADD
2024-08-01,IBE.MC,ADD
2024-08-01,ITX.MC,ADD
2024-08-01,SAN.MC,ADD
2024-08-01,BBVA.MC,DEL
2024-08-01,IBE.MC,DEL
2024-08-01,ITX.MC,DEL
2024-08-01,SAN.MC,DEL
2025-07-01,RHM.DE,ADD
2025-07-01,KER.PA,DEL
2025-10-01,RI.PA,DEL
2025-10-01,NOKIA.HE,DEL
2025-10-01,STLAM.MI,DEL
2025-10-01,DBK.DE,ADD
2025-10-01,ARGX.BR,ADD
2025-10-01,ENR.DE,ADD
2025-10-01,[END,DEL
