ticker,reason
1844030D,Bloomberg ID
3577044Z,Bloomberg ID
63DU.DE,Unavailable/Delisted
AIBG.IR,Unavailable/Delisted
ALU.PA,Unavailable/Delisted
AVE.PA,Unavailable/Delisted
CRH.IR,Unavailable/Delisted
FLTR.IR,Unavailable/Delisted
FORA.AS,Unavailable/Delisted
HVM.DE,Unavailable/Delisted
LG.PA,Unavailable/Delisted
LINU.DE,Unavailable/Delisted
MTP.PA,Unavailable/Delisted
NDA.HE,Unavailable/Delisted
RDA.AS,Unavailable/Delisted
SPI.MI,Unavailable/Delisted
SZE.PA,Unavailable/Delisted
TI.MI,Unavailable/Delisted
TIM.MI,Unavailable/Delisted
UL.AS,Unavailable/Delisted
UL.PA,Unavailable/Delisted
UNAT.AS,Unavailable/Delisted
URW.AS,Unavailable/Delisted
