ticker,first_date,last_date,row_count
ABI.BR,2003-01-02,2026-03-13,5951
ACA.PA,2003-01-02,2026-03-13,5949
AD.AS,2008-10-24,2026-03-13,4449
ADS.DE,2003-01-02,2026-03-13,5912
ADYEN.AS,2018-06-13,2026-03-13,1986
AGN.AS,2003-01-02,2026-03-13,5954
AGS.BR,2003-01-02,2026-03-13,5951
AI.PA,2003-01-02,2026-03-13,5949
AIR.PA,2003-01-02,2026-03-13,5949
ALO.PA,2005-08-03,2026-03-13,5275
ALV.DE,2003-01-02,2026-03-13,5912
AMS.MC,2010-04-29,2026-03-13,4063
ARGX.BR,2014-07-10,2026-03-13,2989
ASML.AS,2003-01-02,2026-03-13,5954
BAS.DE,2003-01-02,2026-03-13,5912
BAYN.DE,2003-01-02,2026-03-13,5912
BBVA.MC,2003-01-02,2026-03-13,5944
BMW.DE,2003-01-02,2026-03-13,5912
BN.PA,2003-01-02,2026-03-13,5949
BNP.PA,2003-01-02,2026-03-13,5949
CA.PA,2003-01-02,2026-03-13,5949
CS.PA,2003-01-02,2026-03-13,5949
DB1.DE,2003-01-02,2026-03-13,5912
DBK.DE,2003-01-02,2026-03-13,5912
DG.PA,2003-01-02,2026-03-13,5949
DHL.DE,2003-01-02,2026-03-13,5881
DTE.DE,2003-01-02,2026-03-13,5912
EL.PA,2003-01-02,2026-03-13,5949
ELE.MC,2003-01-02,2026-03-13,5944
ENEL.MI,2003-01-02,2026-03-13,5910
ENGI.PA,2003-01-02,2026-03-13,5949
ENI.MI,2003-01-02,2026-03-13,5910
ENR.DE,2020-09-29,2026-03-13,1390
EOAN.DE,2003-01-02,2026-03-13,5912
FRE.DE,2003-01-02,2026-03-13,5912
G.MI,2003-01-02,2026-03-13,5910
GLE.PA,2003-01-02,2026-03-13,5949
IBE.MC,2003-01-02,2026-03-13,5944
IFX.DE,2003-01-02,2026-03-13,5912
INGA.AS,2003-01-02,2026-03-13,5954
ISP.MI,2003-01-02,2026-03-13,5910
ITX.MC,2003-01-02,2026-03-13,5944
KER.PA,2003-01-02,2026-03-13,5949
KNEBV.HE,2005-06-01,2026-03-13,5238
LIN.DE,2004-08-02,2026-03-13,5500
MBG.DE,2003-01-02,2026-03-13,5912
MC.PA,2003-01-02,2026-03-13,5949
MT.AS,2005-07-25,2026-03-13,5287
MUV2.DE,2003-01-02,2026-03-13,5912
NOKIA.HE,2003-01-02,2026-03-13,5867
OR.PA,2003-01-02,2026-03-13,5949
ORA.PA,2003-01-02,2026-03-13,5949
PHIA.AS,2003-01-02,2026-03-13,5954
PRX.AS,2019-09-11,2026-03-13,1667
RACE.MI,2016-01-04,2026-03-13,2591
REP.MC,2003-01-02,2026-03-13,5944
RHM.DE,2003-01-02,2026-03-13,5912
RI.PA,2003-01-02,2026-03-13,5949
RMS.PA,2003-01-02,2026-03-13,5949
RNO.PA,2003-01-02,2026-03-13,5949
RWE.DE,2003-01-02,2026-03-13,5912
SAF.PA,2003-01-02,2026-03-13,5949
SAN.MC,2003-01-02,2026-03-13,5944
SAN.PA,2003-01-02,2026-03-13,5949
SAP.DE,2003-01-02,2026-03-13,5912
SGO.PA,2003-01-02,2026-03-13,5949
SIE.DE,2003-01-02,2026-03-13,5912
STLAM.MI,2003-01-02,2026-03-13,5910
SU.PA,2003-01-02,2026-03-13,5949
TEF.MC,2003-01-02,2026-03-13,5944
TIT.MI,2003-01-02,2026-03-13,5910
TTE.PA,2003-01-02,2026-03-13,5949
UCG.MI,2003-01-02,2026-03-13,5910
UMG.AS,2021-09-21,2026-03-13,1148
VIV.PA,2003-01-02,2026-03-13,5949
VNA.DE,2013-07-11,2026-03-13,3217
VOW.DE,2003-01-02,2026-03-13,5912
VOW3.DE,2003-01-02,2026-03-13,5912
WKL.AS,2003-01-02,2026-03-13,5954
