effective_date,ticker,action
2004-04-01,6933.T,DEL
2004-05-01,6674.T,ADD
2004-10-01,2282.T,ADD
2004-10-01,4324.T,ADD
2004-10-01,9984.T,ADD
2004-10-01,2536.T,DEL
2004-10-01,6474.T,DEL
2004-10-01,7102.T,DEL
2004-11-01,5016.T,ADD
2004-11-01,2552241D,DEL
2005-04-01,8232.T,DEL
2005-04-01,4511.T,DEL
2005-04-01,4689.T,ADD
2005-04-01,4519.T,ADD
2005-06-01,4183.T,ADD
2005-06-01,3102.T,DEL
2005-09-01,9983.T,ADD
2005-09-01,8183.T,DEL
2005-09-01,8264.T,DEL
2005-10-01,8307.T,DEL
2005-10-01,4505.T,DEL
2005-10-01,4501.T,DEL
2005-10-01,4010.T,DEL
2005-10-01,8795.T,ADD
2005-10-01,8303.T,ADD
2005-10-01,4795.T,ADD
2005-10-01,4568.T,ADD
2005-10-01,3382.T,ADD
2005-11-01,4188.T,ADD
2005-11-01,2201.T,DEL
2006-04-01,8015.T,ADD
2006-04-01,1601.T,DEL
2006-04-01,8003.T,DEL
2006-05-01,1605.T,ADD
2006-11-01,9605.T,DEL
2006-11-01,2001.T,DEL
2006-11-01,9602.T,ADD
2006-11-01,8815.T,ADD
2007-04-01,4795.T,DEL
2007-05-01,9412.T,ADD
2007-10-01,3086.T,ADD
2007-10-01,3436.T,ADD
2007-10-01,2602.T,DEL
2007-10-01,7231.T,DEL
2008-02-01,8354.T,ADD
2008-02-01,8603.T,DEL
2008-04-01,8752.T,DEL
2008-04-01,8238.T,DEL
2008-04-01,2779.T,DEL
2008-04-01,8270.T,ADD
2008-05-01,3099.T,ADD
2008-05-01,8725.T,ADD
2008-08-01,8628.T,ADD
2008-08-01,8583.T,DEL
2008-10-01,5541.T,ADD
2008-10-01,6305.T,ADD
2008-10-01,1861.T,DEL
2008-10-01,4045.T,DEL
2009-04-01,2202.T,DEL
2009-04-01,2261.T,DEL
2009-04-01,1334.T,ADD
2009-05-01,2269.T,ADD
2010-02-01,9022.T,ADD
2010-02-01,9205.T,DEL
2010-04-01,5407.T,ADD
2010-04-01,5001.T,DEL
2010-04-01,5016.T,DEL
2010-04-01,8755.T,DEL
2010-05-01,5020.T,ADD
2010-05-01,8630.T,ADD
2010-10-01,6796.T,DEL
2010-10-01,3404.T,DEL
2010-10-01,8804.T,ADD
2010-10-01,5214.T,ADD
2011-04-01,6506.T,ADD
2011-04-01,7735.T,ADD
2011-04-01,8750.T,ADD
2011-04-01,6764.T,DEL
2011-04-01,6991.T,DEL
2011-04-01,8403.T,DEL
2011-09-01,8404.T,DEL
2011-09-01,8606.T,DEL
2011-09-01,8304.T,ADD
2011-09-01,8729.T,ADD
2011-10-01,6113.T,ADD
2011-10-01,9737.T,DEL
2012-10-01,4043.T,ADD
2012-10-01,5405.T,DEL
2012-10-01,5407.T,DEL
2012-10-01,5701.T,DEL
2012-11-01,5413.T,ADD
2012-11-01,5703.T,ADD
2013-04-01,3893.T,DEL
2013-05-01,3863.T,ADD
2013-10-01,8815.T,DEL
2013-10-01,6988.T,ADD
2013-11-01,3289.T,ADD
2013-11-01,3864.T,DEL
2014-04-01,1334.T,DEL
2014-05-01,1333.T,ADD
2015-10-01,1808.T,ADD
2015-10-01,2432.T,ADD
2015-10-01,3110.T,DEL
2015-10-01,8803.T,DEL
2016-04-01,8332.T,DEL
2016-05-01,7186.T,ADD
2016-08-01,6753.T,DEL
2016-08-01,7272.T,ADD
2016-09-01,8028.T,ADD
2016-09-01,8270.T,DEL
2016-11-01,4755.T,ADD
2016-11-01,4041.T,DEL
2017-02-01,4578.T,ADD
2017-02-01,6767.T,DEL
2017-08-01,6724.T,ADD
2017-08-01,6502.T,DEL
2017-11-01,3865.T,DEL
2017-11-01,6508.T,DEL
2017-11-01,6098.T,ADD
2017-11-01,6178.T,ADD
2018-10-01,4751.T,ADD
2018-10-01,5715.T,DEL
2019-01-01,4631.T,ADD
2019-01-01,5413.T,DEL
2019-04-01,5019.T,ADD
2019-04-01,6645.T,ADD
2019-04-01,5002.T,DEL
2019-04-01,6773.T,DEL
2019-08-01,7832.T,ADD
2019-08-01,6366.T,DEL
2019-10-01,9681.T,DEL
2019-10-01,2413.T,ADD
2020-08-01,8697.T,ADD
2020-08-01,8729.T,DEL
2020-10-01,9434.T,ADD
2020-10-01,4272.T,DEL
2020-11-01,3659.T,ADD
2020-11-01,8028.T,DEL
2021-01-01,6753.T,ADD
2021-01-01,9437.T,DEL
2021-10-01,9412.T,DEL
2021-10-01,5901.T,DEL
2021-10-01,3105.T,DEL
2021-10-01,7974.T,ADD
2021-10-01,6981.T,ADD
2021-10-01,6861.T,ADD
2022-01-01,9062.T,DEL
2022-02-01,9147.T,ADD
2022-05-01,8591.T,ADD
2022-05-01,8303.T,DEL
2022-10-01,6594.T,ADD
2022-10-01,8355.T,DEL
2022-11-01,6703.T,DEL
2022-11-01,3103.T,DEL
2022-11-01,1333.T,DEL
2022-11-01,6273.T,ADD
2022-11-01,5831.T,ADD
2022-11-01,7741.T,ADD
2023-05-01,4661.T,ADD
2023-05-01,6723.T,ADD
2023-05-01,9201.T,ADD
2023-05-01,3101.T,DEL
2023-05-01,5703.T,DEL
2023-05-01,5707.T,DEL
2023-11-01,7003.T,DEL
2023-11-01,8628.T,DEL
2023-11-01,5202.T,DEL
2023-11-01,9843.T,ADD
2023-11-01,6920.T,ADD
2023-11-01,4385.T,ADD
2024-04-01,3092.T,ADD
2024-04-01,6146.T,ADD
2024-04-01,6526.T,ADD
2024-04-01,2531.T,DEL
2024-04-01,5232.T,DEL
2024-04-01,5541.T,DEL
2024-10-01,4631.T,DEL
2024-10-01,3863.T,DEL
2024-10-01,4307.T,ADD
2024-10-01,7453.T,ADD
2025-04-01,6532.T,ADD
2025-04-01,9301.T,DEL
2025-08-01,6963.T,ADD
2025-08-01,9613.T,DEL
2025-10-01,3697.T,ADD
2025-10-01,7762.T,DEL
2025-12-01,6594.T,DEL
2025-12-01,4062.T,ADD
2025-12-01,[END,DEL
