ticker,first_date,last_date,row_count
1332.T,2003-01-02,2026-03-13,5756
1333.T,2014-04-01,2026-03-13,2942
1605.T,2003-01-02,2026-03-13,5756
1721.T,2003-09-29,2026-03-13,5564
1801.T,2003-01-02,2026-03-13,5756
1802.T,2003-01-02,2026-03-13,5756
1803.T,2003-01-02,2026-03-13,5756
1808.T,2003-01-02,2026-03-13,5756
1812.T,2003-01-02,2026-03-13,5756
1861.T,2003-01-02,2026-03-13,5756
1925.T,2003-01-02,2026-03-13,5756
1928.T,2003-01-02,2026-03-13,5756
1963.T,2003-01-02,2026-03-13,5756
2001.T,2003-01-02,2026-03-13,5756
2002.T,2003-01-02,2026-03-13,5756
2201.T,2003-01-02,2026-03-13,5756
2269.T,2003-01-02,2026-03-13,5756
2282.T,2003-01-02,2026-03-13,5756
2413.T,2004-09-16,2026-03-13,5311
2432.T,2005-02-16,2026-03-13,5202
2501.T,2003-01-02,2026-03-13,5756
2502.T,2003-01-02,2026-03-13,5756
2503.T,2003-01-02,2026-03-13,5756
2531.T,2003-01-02,2026-03-13,5756
2602.T,2003-01-02,2026-03-13,5756
2768.T,2003-01-02,2026-03-13,5756
2801.T,2003-01-02,2026-03-13,5756
2802.T,2003-01-02,2026-03-13,5756
2871.T,2003-01-02,2026-03-13,5756
2914.T,2003-01-02,2026-03-13,5756
3086.T,2003-01-02,2026-03-13,5756
3092.T,2007-12-11,2026-03-13,4482
3099.T,2003-01-02,2026-03-13,5756
3101.T,2003-01-02,2026-03-13,5756
3103.T,2003-01-02,2026-03-13,5756
3105.T,2003-01-02,2026-03-13,5756
3110.T,2003-01-02,2026-03-13,5756
3289.T,2013-10-01,2026-03-13,3059
3382.T,2003-01-02,2026-03-13,5756
3401.T,2003-01-02,2026-03-13,5756
3402.T,2003-01-02,2026-03-13,5756
3405.T,2003-01-02,2026-03-13,5756
3407.T,2003-01-02,2026-03-13,5756
3436.T,2003-08-15,2026-03-13,5595
3659.T,2011-12-14,2026-03-13,3505
3697.T,2014-11-14,2026-03-13,2787
3861.T,2003-01-02,2026-03-13,5756
3863.T,2013-04-01,2026-03-13,3187
3864.T,2005-09-29,2026-03-13,5041
3865.T,2003-01-02,2026-03-13,5756
