date,open,high,low,close,volume,transactions
2021-03-01 04:00:00-05:00,124.3,124.6,123.7,124.18,124433.0,1634
2021-03-01 05:00:00-05:00,124.11,124.34,123.9,124.0,92196.0,1532
2021-03-01 06:00:00-05:00,124.0,124.16,123.43,123.63,108865.0,1937
2021-03-01 07:00:00-05:00,123.6,123.76,123.17,123.52,498120.0,5759
2021-03-01 08:00:00-05:00,123.59,123.7,121.563,123.65,746781.0,7761
2021-03-01 09:00:00-05:00,123.6599,124.84,122.79,124.8101,18884103.0,164942
2021-03-01 10:00:00-05:00,124.82,125.72,124.5001,125.6122,18129981.0,168522
2021-03-01 11:00:00-05:00,125.63,126.6,125.425,126.54,15203766.0,124174
2021-03-01 12:00:00-05:00,126.54,126.62,125.83,126.1601,10349639.0,93154
2021-03-01 13:00:00-05:00,126.17,126.555,125.67,126.35,8619692.0,77066
2021-03-01 14:00:00-05:00,126.36,127.75,126.2701,127.575,13485442.0,114973
2021-03-01 15:00:00-05:00,127.585,127.93,127.27,127.79,18051559.0,144276
2021-03-01 16:00:00-05:00,127.79,128.69,127.79,128.36,3159898.0,10575
2021-03-01 17:00:00-05:00,128.34,128.62,128.25,128.44,174145.0,4215
2021-03-01 18:00:00-05:00,128.46,128.68,127.79,128.4,236776.0,1614
2021-03-01 19:00:00-05:00,128.4,128.75,128.3,128.75,202374.0,1661
2021-03-02 04:00:00-05:00,126.95,127.46,126.58,127.35,81887.0,1229
2021-03-02 05:00:00-05:00,127.28,127.92,127.13,127.55,38609.0,727
2021-03-02 06:00:00-05:00,127.43,127.81,127.3,127.7,40616.0,675
2021-03-02 07:00:00-05:00,127.59,128.31,127.55,128.22,365894.0,4568
2021-03-02 08:00:00-05:00,127.8501,128.4,127.61,127.95,700814.0,7551
2021-03-02 09:00:00-05:00,127.97,128.72,126.19,126.73,17041891.0,159238
2021-03-02 10:00:00-05:00,126.735,127.1984,125.73,126.13,16737460.0,162910
2021-03-02 11:00:00-05:00,126.13,126.45,125.46,125.82,12736341.0,118602
2021-03-02 12:00:00-05:00,125.815,126.68,125.72,126.17,9724201.0,85112
2021-03-02 13:00:00-05:00,126.17,126.42,125.95,125.98,7391764.0,67662
2021-03-02 14:00:00-05:00,125.98,126.2002,125.58,126.015,8950012.0,78119
2021-03-02 15:00:00-05:00,126.02,126.3144,125.01,125.1601,17192282.0,132199
2021-03-02 16:00:00-05:00,125.12,125.29,125.01,125.12,2950315.0,5921
