date,open,high,low,close,volume,transactions
2021-03-01 08:00:00-05:00,174.02,174.02,174.02,174.02,547.0,6
2021-03-01 09:00:00-05:00,175.79,176.18,174.575,175.115,148849.0,2689
2021-03-01 10:00:00-05:00,175.17,176.76,174.61,176.73,128631.0,3159
2021-03-01 11:00:00-05:00,176.695,177.1872,176.19,176.94,150794.0,3222
2021-03-01 12:00:00-05:00,176.94,177.31,176.42,177.15,116936.0,2774
2021-03-01 13:00:00-05:00,177.2,177.52,176.6,177.48,173840.0,3357
2021-03-01 14:00:00-05:00,177.5,178.455,177.5,178.28,166917.0,3760
2021-03-01 15:00:00-05:00,178.28,178.28,177.15,177.67,414988.0,7529
2021-03-01 16:00:00-05:00,177.5,177.5,177.5,177.5,62153.0,45
2021-03-02 09:00:00-05:00,177.17,177.99,175.81,175.89,158681.0,2219
2021-03-02 10:00:00-05:00,175.75,175.885,173.86,175.17,257962.0,4698
2021-03-02 11:00:00-05:00,175.11,175.22,174.05,174.73,155425.0,3387
2021-03-02 12:00:00-05:00,174.7,175.91,174.68,175.62,110586.0,2307
2021-03-02 13:00:00-05:00,175.615,176.3,175.44,176.12,108909.0,2356
2021-03-02 14:00:00-05:00,176.1454,176.16,175.37,175.75,147881.0,3007
2021-03-02 15:00:00-05:00,175.77,175.935,174.38,174.84,353840.0,6875
2021-03-02 16:00:00-05:00,174.94,174.94,174.75,174.75,235677.0,38
2021-03-02 19:00:00-05:00,175.98,175.98,175.98,175.98,100.0,1
2021-03-03 07:00:00-05:00,175.52,175.52,175.52,175.52,445.0,6
2021-03-03 08:00:00-05:00,174.67,174.67,173.82,173.82,1414.0,11
2021-03-03 09:00:00-05:00,173.0,173.73,172.32,172.6,126056.0,2044
2021-03-03 10:00:00-05:00,172.61,173.8,172.59,173.35,116953.0,2762
2021-03-03 11:00:00-05:00,173.42,173.97,173.1,173.5,122652.0,2420
2021-03-03 12:00:00-05:00,173.45,174.32,173.253,173.69,84519.0,2156
2021-03-03 13:00:00-05:00,173.69,174.7094,173.58,174.375,104044.0,2532
2021-03-03 14:00:00-05:00,174.29,175.09,173.87,174.83,246792.0,4051
2021-03-03 15:00:00-05:00,174.83,175.075,173.98,174.49,486384.0,8146
2021-03-03 16:00:00-05:00,174.49,174.49,174.2179,174.2179,118950.0,35
2021-03-03 18:00:00-05:00,174.49,174.49,174.49,174.49,300.0,2
2021-03-03 19:00:00-05:00,173.36,173.36,173.36,173.36,150.0,2
2021-03-04 06:00:00-05:00,174.0,174.0,174.0,174.0,225.0,2
2021-03-04 09:00:00-05:00,174.33,175.1,173.95,174.61,119212.0,1500
2021-03-04 10:00:00-05:00,174.66,175.42,173.78,173.89,220455.0,4545
2021-03-04 11:00:00-05:00,174.0,175.75,173.86,175.535,167304.0,3561
2021-03-04 12:00:00-05:00,175.58,175.87,172.56,172.95,173303.0,4090
2021-03-04 13:00:00-05:00,172.77,173.19,170.0,170.0,257576.0,5640
2021-03-04 14:00:00-05:00,170.05,172.495,169.925,172.275,271744.0,5736
2021-03-04 15:00:00-05:00,172.2,172.24,170.51,171.041,412732.0,7886
2021-03-04 16:00:00-05:00,171.01,171.01,171.01,171.01,30640.0,34
2021-03-05 08:00:00-05:00,169.56,169.56,169.56,169.56,220.0,3
2021-03-05 09:00:00-05:00,172.37,173.36,171.5003,173.36,105794.0,1828
2021-03-05 10:00:00-05:00,173.1,174.65,172.89,173.1,251645.0,5057
2021-03-05 11:00:00-05:00,173.145,173.94,172.6,173.765,229365.0,4639
2021-03-05 12:00:00-05:00,173.785,175.34,173.24,175.29,262434.0,4926
2021-03-05 13:00:00-05:00,175.22,176.27,174.9,176.01,216252.0,4316
2021-03-05 14:00:00-05:00,175.985,178.1,175.655,177.885,291579.0,5650
2021-03-05 15:00:00-05:00,177.87,179.0,177.61,178.26,741634.0,10910
2021-03-05 16:00:00-05:00,178.26,178.26,178.26,178.26,33135.0,33
2021-03-08 04:00:00-05:00,171.15,171.15,171.15,171.15,100.0,1
2021-03-08 07:00:00-05:00,175.5,175.5,175.5,175.5,246.0,4
2021-03-08 08:00:00-05:00,177.4,177.4,177.4,177.4,585.0,16
2021-03-08 09:00:00-05:00,177.4,179.6999,177.4,178.61,194281.0,3374
2021-03-08 10:00:00-05:00,178.81,180.99,178.81,180.65,245439.0,4591
2021-03-08 11:00:00-05:00,180.71,181.09,180.37,180.4249,157699.0,3641
2021-03-08 12:00:00-05:00,180.43,183.14,180.4013,182.27,191097.0,3976
2021-03-08 13:00:00-05:00,182.26,183.64,182.17,182.66,349314.0,5359
2021-03-08 14:00:00-05:00,182.66,183.07,181.42,181.705,214803.0,5433
2021-03-08 15:00:00-05:00,181.7687,181.7687,180.3,180.42,473516.0,11096
2021-03-08 16:00:00-05:00,180.42,180.8,180.42,180.8,48813.0,58
2021-03-08 18:00:00-05:00,180.95,180.95,180.95,180.95,400.0,4
2021-03-09 09:00:00-05:00,181.92,183.14,181.12,182.17,107343.0,2100
2021-03-09 10:00:00-05:00,182.35,182.81,181.25,182.48,182349.0,3349
2021-03-09 11:00:00-05:00,182.5,182.87,181.82,182.36,111007.0,2744
2021-03-09 12:00:00-05:00,182.43,183.58,182.26,183.42,122990.0,3321
2021-03-09 13:00:00-05:00,183.47,184.13,183.28,183.895,208033.0,3759
2021-03-09 14:00:00-05:00,183.93,184.195,183.65,184.1413,151285.0,3383
2021-03-09 15:00:00-05:00,184.1633,184.29,182.82,183.06,711233.0,10043
2021-03-09 16:00:00-05:00,183.06,183.06,183.06,183.06,192631.0,33
2021-03-09 19:00:00-05:00,183.07,183.07,183.07,183.07,507.0,3
2021-03-10 07:00:00-05:00,182.88,182.88,182.88,182.88,222.0,2
2021-03-10 09:00:00-05:00,185.46,185.46,182.36,184.42,113712.0,2019
2021-03-10 10:00:00-05:00,184.42,184.59,181.815,182.53,153559.0,3410
2021-03-10 11:00:00-05:00,182.595,182.86,181.65,182.16,142037.0,3131
2021-03-10 12:00:00-05:00,182.1,182.2217,181.27,181.92,142744.0,3134
2021-03-10 13:00:00-05:00,181.84,182.72,181.4,182.545,110490.0,2567
2021-03-10 14:00:00-05:00,182.5,183.17,182.26,182.63,162557.0,3155
2021-03-10 15:00:00-05:00,182.71,182.71,181.51,182.08,387779.0,6826
2021-03-10 16:00:00-05:00,182.07,183.0,182.07,183.0,198990.0,53
2021-03-10 17:00:00-05:00,182.44,182.44,182.44,182.44,200.0,2
2021-03-11 09:00:00-05:00,180.22,181.68,180.205,181.25,117528.0,2047
2021-03-11 10:00:00-05:00,181.125,181.81,180.91,181.52,141882.0,3418
2021-03-11 11:00:00-05:00,181.52,183.86,181.47,183.76,220428.0,4118
2021-03-11 12:00:00-05:00,183.75,183.97,183.31,183.71,96085.0,2289
2021-03-11 13:00:00-05:00,183.68,183.985,183.28,183.525,119496.0,2422
2021-03-11 14:00:00-05:00,183.565,183.69,182.27,182.29,105684.0,2688
2021-03-11 15:00:00-05:00,182.29,182.36,181.3,181.63,248462.0,5209
2021-03-11 16:00:00-05:00,181.56,181.56,181.27,181.56,29572.0,33
2021-03-12 07:00:00-05:00,179.99,180.99,179.99,180.14,707.0,17
2021-03-12 08:00:00-05:00,179.86,179.86,179.86,179.86,417.0,15
2021-03-12 09:00:00-05:00,180.72,181.9,180.64,181.9,156779.0,2079
2021-03-12 10:00:00-05:00,181.89,182.5024,180.55,181.1877,128531.0,2940
2021-03-12 11:00:00-05:00,181.125,182.01,180.97,181.86,81443.0,2068
2021-03-12 12:00:00-05:00,181.9378,182.57,181.52,181.9108,166267.0,2167
2021-03-12 13:00:00-05:00,181.8687,182.66,181.73,182.4826,90286.0,1885
2021-03-12 14:00:00-05:00,182.52,182.87,182.44,182.81,78085.0,2313
2021-03-12 15:00:00-05:00,182.84,183.08,182.14,182.82,284133.0,5668
2021-03-12 16:00:00-05:00,182.77,182.89,182.77,182.89,102495.0,43
2021-03-15 08:00:00-04:00,181.99,181.99,181.97,181.97,686.0,13
2021-03-15 09:00:00-04:00,182.91,184.98,182.77,184.79,194799.0,2964
2021-03-15 10:00:00-04:00,184.76,184.96,184.26,184.62,240437.0,5177
2021-03-15 11:00:00-04:00,184.61,185.65,184.42,185.01,207531.0,4126
2021-03-15 12:00:00-04:00,184.97,186.24,184.82,186.17,157198.0,3316
2021-03-15 13:00:00-04:00,186.25,187.22,186.2,186.95,239040.0,4192
2021-03-15 14:00:00-04:00,187.02,187.86,186.92,187.7,246990.0,4356
2021-03-15 15:00:00-04:00,187.75,189.32,187.39,189.07,809271.0,10870
2021-03-15 16:00:00-04:00,189.08,189.3,189.08,189.3,301784.0,57
2021-03-16 09:00:00-04:00,188.75,190.5,188.0416,189.04,197075.0,3008
2021-03-16 10:00:00-04:00,189.13,189.15,187.94,188.85,211577.0,3892
2021-03-16 11:00:00-04:00,188.875,189.505,188.26,188.635,186275.0,3236
2021-03-16 12:00:00-04:00,188.64,189.62,188.35,189.42,123985.0,2644
2021-03-16 13:00:00-04:00,189.49,189.71,189.2,189.46,147764.0,3129
2021-03-16 14:00:00-04:00,189.44,189.53,187.98,188.7,174975.0,3696
2021-03-16 15:00:00-04:00,188.69,189.34,188.14,188.25,433769.0,7415
2021-03-16 16:00:00-04:00,188.28,188.78,188.28,188.78,157376.0,51
2021-03-17 09:00:00-04:00,188.1953,188.1953,185.76,187.87,124955.0,2288
2021-03-17 10:00:00-04:00,187.73,188.36,187.06,187.17,159527.0,3357
2021-03-17 11:00:00-04:00,187.22,188.28,187.21,188.25,129227.0,3114
2021-03-17 12:00:00-04:00,188.22,188.22,186.78,186.78,98231.0,2635
2021-03-17 13:00:00-04:00,186.825,187.235,186.62,186.72,95630.0,2660
2021-03-17 14:00:00-04:00,186.8,188.51,186.78,187.855,178551.0,4637
2021-03-17 15:00:00-04:00,187.835,187.95,187.04,187.88,398794.0,7561
2021-03-17 16:00:00-04:00,187.88,187.88,187.88,187.88,91584.0,36
2021-03-17 17:00:00-04:00,188.0,188.0,188.0,188.0,100.0,1
2021-03-18 07:00:00-04:00,186.02,188.58,184.63,188.58,2614.0,48
2021-03-18 08:00:00-04:00,198.88,198.88,184.02,184.14,1480.0,31
2021-03-18 09:00:00-04:00,184.1327,187.06,184.1327,187.06,146245.0,2504
2021-03-18 10:00:00-04:00,187.05,187.39,185.42,186.29,157804.0,3432
2021-03-18 11:00:00-04:00,186.24,187.88,186.24,187.8233,154113.0,3025
2021-03-18 12:00:00-04:00,187.785,188.39,187.03,187.06,146060.0,3127
2021-03-18 13:00:00-04:00,187.09,188.08,187.07,187.98,135390.0,2490
2021-03-18 14:00:00-04:00,187.98,188.025,186.25,186.8314,136793.0,3061
2021-03-18 15:00:00-04:00,186.87,187.05,185.73,186.06,429894.0,8668
2021-03-18 16:00:00-04:00,186.06,186.726638,186.06,186.726638,30478.0,27
2021-03-19 09:00:00-04:00,185.43,188.01,183.93,184.25,440677.0,2386
2021-03-19 10:00:00-04:00,184.03,185.2806,183.64,184.85,267826.0,5155
2021-03-19 11:00:00-04:00,184.82,185.245,184.15,185.02,139866.0,2970
2021-03-19 12:00:00-04:00,185.05,185.67,184.85,185.625,136508.0,3095
2021-03-19 13:00:00-04:00,185.63,185.76,185.23,185.365,138838.0,3195
2021-03-19 14:00:00-04:00,185.37,185.415,184.3,184.67,198145.0,4404
2021-03-19 15:00:00-04:00,184.67,184.675,182.21,183.93,1189519.0,15752
2021-03-19 16:00:00-04:00,183.93,183.93,183.6,183.6,3140515.0,49
2021-03-22 07:00:00-04:00,184.91,184.99,184.91,184.98,500.0,5
2021-03-22 09:00:00-04:00,183.45,184.6525,182.52,184.05,171731.0,2524
2021-03-22 10:00:00-04:00,184.1625,184.69,183.735,184.53,146273.0,3414
2021-03-22 11:00:00-04:00,184.52,184.565,183.43,184.21,144960.0,3445
2021-03-22 12:00:00-04:00,184.3,184.58,183.91,184.39,119679.0,2995
2021-03-22 13:00:00-04:00,184.42,184.52,183.75,183.75,87521.0,2521
2021-03-22 14:00:00-04:00,183.775,184.84,183.75,184.8,107054.0,2941
2021-03-22 15:00:00-04:00,184.86,184.88,184.2,184.39,288813.0,6572
2021-03-22 16:00:00-04:00,184.39,184.7,184.39,184.7,172873.0,41
2021-03-23 07:00:00-04:00,184.21,184.21,184.21,184.21,100.0,1
2021-03-23 09:00:00-04:00,185.27,185.78,183.86,184.56,128242.0,1717
2021-03-23 10:00:00-04:00,184.75,185.3706,184.44,184.78,100415.0,2617
2021-03-23 11:00:00-04:00,184.75,185.305,184.3928,185.1,141676.0,2894
2021-03-23 12:00:00-04:00,185.1,185.5,184.87,185.24,120593.0,2377
2021-03-23 13:00:00-04:00,185.33,185.76,184.68,184.8904,114994.0,2602
2021-03-23 14:00:00-04:00,184.83,185.54,184.25,184.32,316158.0,3884
2021-03-23 15:00:00-04:00,184.315,184.55,183.08,184.03,424064.0,7422
2021-03-23 16:00:00-04:00,184.04,184.54,184.04,184.54,24587.0,26
2021-03-24 09:00:00-04:00,184.64,185.84,183.3096,185.033,223317.0,3228
2021-03-24 10:00:00-04:00,185.01,186.05,184.85,185.92,276205.0,4583
2021-03-24 11:00:00-04:00,186.0,186.4,185.78,186.39,273243.0,4581
2021-03-24 12:00:00-04:00,186.42,187.94,186.32,187.45,227516.0,4722
2021-03-24 13:00:00-04:00,187.5,187.5,186.08,186.355,221091.0,4160
2021-03-24 14:00:00-04:00,186.32,186.42,185.7,185.9,138218.0,3425
2021-03-24 15:00:00-04:00,185.875,186.27,185.24,185.27,329591.0,6906
2021-03-24 16:00:00-04:00,185.27,185.74,184.97,185.74,63612.0,59
2021-03-25 08:00:00-04:00,184.9,184.9,184.9,184.9,500.0,9
2021-03-25 09:00:00-04:00,186.13,187.23,186.01,186.775,143953.0,2377
2021-03-25 10:00:00-04:00,186.88,187.62,186.5,187.25,261370.0,4910
2021-03-25 11:00:00-04:00,187.25,187.82,186.92,187.17,171335.0,3710
2021-03-25 12:00:00-04:00,187.25,188.15,186.67,188.02,160504.0,3312
2021-03-25 13:00:00-04:00,187.96,188.14,187.355,187.39,192231.0,3206
2021-03-25 14:00:00-04:00,187.38,187.98,186.8807,187.93,133570.0,3122
2021-03-25 15:00:00-04:00,187.89,188.02,186.94,186.99,601812.0,10022
2021-03-25 16:00:00-04:00,187.0,187.0,186.95,187.0,59089.0,55
2021-03-26 08:00:00-04:00,185.83,185.83,185.83,185.83,1261.0,13
2021-03-26 09:00:00-04:00,187.07,189.36,186.83,189.35,172391.0,2574
2021-03-26 10:00:00-04:00,189.29,189.8899,188.9,189.5,216247.0,4436
2021-03-26 11:00:00-04:00,189.59,189.88,188.83,189.625,144114.0,3330
2021-03-26 12:00:00-04:00,189.66,190.3,189.11,190.1,166265.0,3641
2021-03-26 13:00:00-04:00,190.075,190.83,189.67,189.75,164567.0,3767
2021-03-26 14:00:00-04:00,189.76,190.77,189.455,190.53,294930.0,5778
2021-03-26 15:00:00-04:00,190.53,192.98,190.36,192.76,624831.0,10012
2021-03-26 16:00:00-04:00,192.69,196.3,192.69,196.3,25702.0,48
2021-03-29 09:00:00-04:00,191.86,192.37,190.78,190.91,174301.0,2487
2021-03-29 10:00:00-04:00,190.89,191.1,190.04,190.99,175305.0,3798
2021-03-29 11:00:00-04:00,190.935,191.94,190.73,191.84,125767.0,2809
2021-03-29 12:00:00-04:00,191.77,192.69,191.2,192.67,115374.0,2581
2021-03-29 13:00:00-04:00,192.7,192.99,192.065,192.065,150884.0,3206
2021-03-29 14:00:00-04:00,192.15,192.57,191.5,192.1,124265.0,2700
2021-03-29 15:00:00-04:00,192.21,192.97,192.07,192.62,300171.0,5918
2021-03-29 16:00:00-04:00,192.5,192.97,192.5,192.97,31394.0,27
2021-03-30 09:00:00-04:00,191.5,193.44,190.25,190.52,123539.0,1944
2021-03-30 10:00:00-04:00,190.67,190.68,188.78,188.815,190629.0,4252
2021-03-30 11:00:00-04:00,188.75,189.05,187.4,188.72,204312.0,3875
2021-03-30 12:00:00-04:00,188.78,188.8906,187.67,188.22,106089.0,2488
2021-03-30 13:00:00-04:00,188.16,188.87,187.85,188.63,106553.0,2577
2021-03-30 14:00:00-04:00,188.61,189.79,188.49,189.745,192215.0,4006
2021-03-30 15:00:00-04:00,189.745,189.79,187.21,187.9,529429.0,9341
2021-03-30 16:00:00-04:00,187.89,187.89,187.89,187.89,26147.0,27
2021-03-31 09:00:00-04:00,187.9,188.5969,187.29,187.34,124332.0,2254
2021-03-31 10:00:00-04:00,187.41,189.57,187.05,189.28,175962.0,4010
2021-03-31 11:00:00-04:00,189.34,189.42,188.23,188.69,130922.0,3149
2021-03-31 12:00:00-04:00,188.73,188.77,187.92,188.2,97858.0,2523
2021-03-31 13:00:00-04:00,188.2,188.62,188.091,188.48,83792.0,2109
2021-03-31 14:00:00-04:00,188.42,188.42,187.49,187.6,91465.0,2762
2021-03-31 15:00:00-04:00,187.64,188.93,187.4,188.47,501485.0,9156
2021-03-31 16:00:00-04:00,188.47,188.47,188.47,188.47,57467.0,45
2021-04-01 08:00:00-04:00,188.47,188.47,188.47,188.47,1150.0,1
2021-04-01 09:00:00-04:00,190.08,190.22,188.13,188.22,116895.0,1975
2021-04-01 10:00:00-04:00,188.24,189.53,188.18,189.3,198068.0,4036
2021-04-01 11:00:00-04:00,189.275,189.63,188.79,189.26,143277.0,3524
2021-04-01 12:00:00-04:00,189.34,189.455,188.68,189.23,122797.0,2771
2021-04-01 13:00:00-04:00,189.27,189.37,188.85,189.01,118830.0,2621
2021-04-01 14:00:00-04:00,189.03,189.23,188.71,188.755,98555.0,2359
