date,open,high,low,close,volume,transactions
2021-03-01 05:00:00-05:00,51.63,51.63,51.63,51.63,400.0,4
2021-03-01 09:00:00-05:00,51.61,52.21,51.34,52.17,60750.0,589
2021-03-01 10:00:00-05:00,52.06,52.7,52.03,52.47,87670.0,1330
2021-03-01 11:00:00-05:00,52.52,52.55,52.17,52.4,77309.0,1031
2021-03-01 12:00:00-05:00,52.415,52.6,52.4,52.46,60717.0,706
2021-03-01 13:00:00-05:00,52.425,52.77,52.37,52.67,45843.0,735
2021-03-01 14:00:00-05:00,52.66,52.875,52.625,52.77,78304.0,1150
2021-03-01 15:00:00-05:00,52.77,52.89,52.46,52.55,481553.0,3951
2021-03-01 16:00:00-05:00,52.55,52.55,52.55,52.55,25855.0,8
2021-03-02 07:00:00-05:00,52.05,52.05,52.05,52.05,400.0,4
2021-03-02 08:00:00-05:00,52.05,52.05,52.05,52.05,137.0,1
2021-03-02 09:00:00-05:00,52.06,52.53,51.97,52.46,63154.0,600
2021-03-02 10:00:00-05:00,52.36,52.44,51.95,52.13,107539.0,1097
2021-03-02 11:00:00-05:00,52.085,52.685,51.92,52.635,320841.0,1788
2021-03-02 12:00:00-05:00,52.66,52.97,52.62,52.805,59207.0,729
2021-03-02 13:00:00-05:00,52.835,52.98,52.77,52.95,40046.0,521
2021-03-02 14:00:00-05:00,52.96,53.045,52.6,53.045,66470.0,870
2021-03-02 15:00:00-05:00,53.02,53.06,52.36,52.47,229431.0,2627
2021-03-02 16:00:00-05:00,52.46,52.46,52.46,52.46,41337.0,5
2021-03-03 05:00:00-05:00,52.89,52.89,52.89,52.89,100.0,1
2021-03-03 09:00:00-05:00,52.27,52.62,52.18,52.33,36111.0,391
2021-03-03 10:00:00-05:00,52.26,52.45,52.23,52.25,119115.0,1331
2021-03-03 11:00:00-05:00,52.26,52.3,51.97,52.0,129192.0,1258
2021-03-03 12:00:00-05:00,52.0,52.055,51.53,51.745,111111.0,1421
2021-03-03 13:00:00-05:00,51.735,52.07,51.72,51.91,46558.0,886
2021-03-03 14:00:00-05:00,51.965,51.99,51.62,51.84,70586.0,1153
2021-03-03 15:00:00-05:00,51.86,51.86,51.13,51.14,311450.0,2827
2021-03-03 16:00:00-05:00,51.14,51.14,51.11,51.14,2476.0,16
2021-03-04 05:00:00-05:00,51.5,51.63,51.22,51.63,1782.0,19
2021-03-04 06:00:00-05:00,51.57,51.57,51.54,51.54,716.0,8
2021-03-04 09:00:00-05:00,51.46,51.8,51.065,51.29,58815.0,471
2021-03-04 10:00:00-05:00,51.27,51.46,50.9,51.4,127887.0,1319
2021-03-04 11:00:00-05:00,51.39,51.44,51.2,51.4,84799.0,1024
2021-03-04 12:00:00-05:00,51.36,51.41,50.72,50.74,66159.0,916
2021-03-04 13:00:00-05:00,50.79,50.99,50.28,50.33,101495.0,1160
2021-03-04 14:00:00-05:00,50.31,51.06,50.26,51.0,76866.0,1054
2021-03-04 15:00:00-05:00,50.96,50.99,50.59,50.72,217823.0,2587
2021-03-04 16:00:00-05:00,50.74,50.74,50.74,50.74,6988.0,14
2021-03-05 07:00:00-05:00,50.86,50.86,50.86,50.86,150.0,2
2021-03-05 09:00:00-05:00,51.22,51.5163,50.91,51.23,25438.0,261
2021-03-05 10:00:00-05:00,51.18,51.53,51.18,51.38,111563.0,1257
2021-03-05 11:00:00-05:00,51.35,51.4,50.85,51.36,61200.0,927
2021-03-05 12:00:00-05:00,51.345,51.9499,51.34,51.8,57304.0,791
2021-03-05 13:00:00-05:00,51.74,52.27,51.74,52.08,31548.0,630
2021-03-05 14:00:00-05:00,52.11,52.66,52.025,52.58,54029.0,1000
2021-03-05 15:00:00-05:00,52.61,53.0,52.5,52.88,146477.0,2124
2021-03-05 16:00:00-05:00,52.89,52.89,52.89,52.89,12717.0,10
2021-03-08 06:00:00-05:00,52.05,52.21,52.0,52.21,2418.0,27
2021-03-08 07:00:00-05:00,52.29,52.31,51.99,51.99,1332.0,15
2021-03-08 08:00:00-05:00,52.31,52.31,52.28,52.28,500.0,4
2021-03-08 09:00:00-05:00,52.38,53.72,52.38,53.3025,109690.0,960
2021-03-08 10:00:00-05:00,53.31,53.7,53.04,53.15,53640.0,751
2021-03-08 11:00:00-05:00,53.21,53.89,53.08,53.765,92991.0,1024
2021-03-08 12:00:00-05:00,53.765,54.33,53.69,54.26,47054.0,770
2021-03-08 13:00:00-05:00,54.305,54.37,53.74,53.79,70305.0,893
2021-03-08 14:00:00-05:00,53.765,54.06,53.7,53.82,52407.0,747
2021-03-08 15:00:00-05:00,53.8225,53.91,53.08,53.09,168289.0,1984
2021-03-08 16:00:00-05:00,53.08,53.08,53.08,53.08,5050.0,11
2021-03-09 08:00:00-05:00,53.41,53.41,53.23,53.23,340.0,21
2021-03-09 09:00:00-05:00,53.79,54.07,53.49,53.6,40695.0,374
2021-03-09 10:00:00-05:00,53.58,53.96,53.3995,53.93,52354.0,886
2021-03-09 11:00:00-05:00,53.92,54.1,53.76,53.78,71308.0,1030
2021-03-09 12:00:00-05:00,53.78,53.97,53.75,53.82,34661.0,673
2021-03-09 13:00:00-05:00,53.9,54.03,53.87,53.96,30195.0,632
2021-03-09 14:00:00-05:00,53.96,54.2,53.935,54.01,29468.0,580
2021-03-09 15:00:00-05:00,54.01,54.07,53.8,53.87,112893.0,1736
2021-03-09 16:00:00-05:00,53.86,53.86,53.86,53.86,3444.0,11
2021-03-10 09:00:00-05:00,53.94,54.55,53.94,54.295,51035.0,394
2021-03-10 10:00:00-05:00,54.295,54.45,54.04,54.39,57741.0,778
2021-03-10 11:00:00-05:00,54.42,54.42,53.965,54.02,55869.0,611
2021-03-10 12:00:00-05:00,53.94,54.11,53.835,53.88,52814.0,730
2021-03-10 13:00:00-05:00,53.83,53.92,53.54,53.9,65789.0,834
2021-03-10 14:00:00-05:00,53.88,54.25,53.8,54.15,79228.0,973
2021-03-10 15:00:00-05:00,54.15,54.17,53.64,53.89,203101.0,2343
2021-03-10 16:00:00-05:00,53.88,53.88,53.88,53.88,1144.0,6
2021-03-11 09:00:00-05:00,53.78,53.98,53.1,53.79,36044.0,414
2021-03-11 10:00:00-05:00,53.76,53.85,53.39,53.85,44337.0,739
2021-03-11 11:00:00-05:00,53.83,53.85,53.47,53.63,50038.0,782
2021-03-11 12:00:00-05:00,53.63,53.71,53.41,53.43,20121.0,407
2021-03-11 13:00:00-05:00,53.41,53.63,53.12,53.32,49548.0,866
2021-03-11 14:00:00-05:00,53.35,53.48,53.2,53.22,38253.0,714
2021-03-11 15:00:00-05:00,53.23,53.435,53.1383,53.39,112977.0,1587
2021-03-11 16:00:00-05:00,53.39,53.39,53.39,53.39,1127.0,12
2021-03-12 09:00:00-05:00,53.27,53.45,53.12,53.27,18154.0,206
2021-03-12 10:00:00-05:00,53.37,53.45,52.98,53.15,37859.0,527
2021-03-12 11:00:00-05:00,53.13,53.35,53.02,53.2431,35161.0,573
2021-03-12 12:00:00-05:00,53.24,53.55,53.12,53.5,91534.0,785
2021-03-12 13:00:00-05:00,53.49,53.78,53.49,53.66,30230.0,437
2021-03-12 14:00:00-05:00,53.675,53.99,53.6667,53.965,47446.0,852
2021-03-12 15:00:00-05:00,53.96,54.38,53.865,54.32,140508.0,1908
2021-03-12 16:00:00-05:00,54.31,54.31,54.31,54.31,4130.0,8
2021-03-15 04:00:00-04:00,54.15,54.15,54.01,54.01,716.0,7
2021-03-15 05:00:00-04:00,54.0,54.06,54.0,54.06,420.0,5
2021-03-15 08:00:00-04:00,53.89,53.89,53.89,53.89,200.0,2
2021-03-15 09:00:00-04:00,53.74,54.01,53.16,53.8,156146.0,532
2021-03-15 10:00:00-04:00,53.75,53.99,53.365,53.83,47844.0,849
2021-03-15 11:00:00-04:00,53.88,53.9763,53.29,53.54,52791.0,863
2021-03-15 12:00:00-04:00,53.56,53.71,53.1,53.41,179313.0,1253
2021-03-15 13:00:00-04:00,53.39,53.46,53.27,53.45,52399.0,675
2021-03-15 14:00:00-04:00,53.46,53.53,53.31,53.39,43328.0,703
2021-03-15 15:00:00-04:00,53.38,53.53,52.21,53.49,403615.0,3856
2021-03-15 16:00:00-04:00,53.46,53.46,53.46,53.46,4916.0,7
2021-03-16 07:00:00-04:00,53.55,53.55,53.55,53.55,100.0,1
2021-03-16 09:00:00-04:00,53.59,53.96,53.04,53.09,42989.0,611
2021-03-16 10:00:00-04:00,53.07,53.18,52.43,52.525,98157.0,1232
