date,open,high,low,close,volume,transactions
2021-03-01 08:00:00-05:00,158.3,158.3,158.3,158.3,189.0,5
2021-03-01 09:00:00-05:00,159.11,160.1,158.93,159.81,62841.0,1047
2021-03-01 10:00:00-05:00,159.61,159.895,158.955,159.04,70419.0,1595
2021-03-01 11:00:00-05:00,158.98,159.82,158.62,159.75,55188.0,1387
2021-03-01 12:00:00-05:00,159.72,159.805,159.16,159.2,42433.0,1068
2021-03-01 13:00:00-05:00,159.23,161.2,159.15,161.1,144130.0,1889
2021-03-01 14:00:00-05:00,161.07,161.86,161.07,161.59,67381.0,1551
2021-03-01 15:00:00-05:00,161.63,161.67,160.09,160.6,167416.0,3875
2021-03-01 16:00:00-05:00,160.57,160.57,160.57,160.57,26495.0,28
2021-03-02 09:00:00-05:00,160.15,160.81,159.14,159.58,46246.0,760
2021-03-02 10:00:00-05:00,159.71,160.0,158.155,158.94,85222.0,1737
2021-03-02 11:00:00-05:00,158.925,159.2995,158.1,158.55,51536.0,1255
2021-03-02 12:00:00-05:00,158.37,159.29,158.18,159.05,46309.0,1056
2021-03-02 13:00:00-05:00,159.1,159.47,159.01,159.31,56868.0,1302
2021-03-02 14:00:00-05:00,159.275,159.39,158.47,158.53,59078.0,1807
2021-03-02 15:00:00-05:00,158.525,158.73,156.84,156.85,230790.0,5247
2021-03-02 16:00:00-05:00,157.1,157.1,157.1,157.1,12546.0,24
2021-03-03 09:00:00-05:00,156.41,157.0,154.76,154.92,43299.0,997
2021-03-03 10:00:00-05:00,155.26,156.46,154.4,156.045,85483.0,2073
2021-03-03 11:00:00-05:00,156.06,156.9,156.06,156.22,60745.0,1591
2021-03-03 12:00:00-05:00,156.065,156.35,155.67,155.86,55846.0,1518
2021-03-03 13:00:00-05:00,155.79,156.56,155.25,155.33,86333.0,2095
2021-03-03 14:00:00-05:00,155.32,155.425,154.38,155.24,84993.0,2802
2021-03-03 15:00:00-05:00,155.27,156.6,155.12,155.64,310610.0,7114
2021-03-03 16:00:00-05:00,155.66,155.7504,155.36,155.7504,45385.0,37
2021-03-04 09:00:00-05:00,154.88,155.78,152.9,153.1,58791.0,1155
