date,open,high,low,close,volume,transactions
2021-03-01 09:00:00-05:00,27.52,27.6863,27.37,27.3875,269292.0,1228
2021-03-01 10:00:00-05:00,27.335,27.51,27.1825,27.4375,863788.0,3129
2021-03-01 11:00:00-05:00,27.45,27.5038,27.3425,27.4088,408448.0,2228
2021-03-01 12:00:00-05:00,27.4138,27.4519,27.3075,27.3125,373404.0,1889
2021-03-01 13:00:00-05:00,27.3125,27.3775,27.26,27.3425,458092.0,2259
2021-03-01 14:00:00-05:00,27.3575,27.46,27.3375,27.435,506932.0,2343
2021-03-01 15:00:00-05:00,27.4375,27.53,27.265,27.455,4707292.0,8738
2021-03-01 16:00:00-05:00,27.455,27.455,27.44,27.455,298616.0,37
2021-03-02 09:00:00-05:00,27.3825,27.695,27.3825,27.4375,258788.0,1024
2021-03-02 10:00:00-05:00,27.4325,27.49,27.095,27.2425,400296.0,2037
2021-03-02 11:00:00-05:00,27.25,27.2775,27.13,27.1725,350696.0,1992
2021-03-02 12:00:00-05:00,27.17,27.4397,27.1475,27.365,230716.0,1337
2021-03-02 13:00:00-05:00,27.355,27.47,27.325,27.4275,220056.0,1338
2021-03-02 14:00:00-05:00,27.4475,27.4975,27.4,27.465,266164.0,1698
2021-03-02 15:00:00-05:00,27.48,27.5225,27.38,27.4175,925704.0,5105
2021-03-02 16:00:00-05:00,27.3925,27.3925,27.3925,27.3925,181300.0,23
2021-03-03 08:00:00-05:00,27.2725,27.2725,27.2725,27.2725,2028.0,4
2021-03-03 09:00:00-05:00,27.2725,27.3469,27.075,27.1,273360.0,1165
2021-03-03 10:00:00-05:00,27.11,27.1775,26.8975,27.1675,612520.0,3113
2021-03-03 11:00:00-05:00,27.155,27.3525,27.155,27.315,483920.0,2581
2021-03-03 12:00:00-05:00,27.3075,27.3675,27.09,27.1488,360996.0,2228
2021-03-03 13:00:00-05:00,27.1475,27.1625,27.0,27.04,510184.0,2742
2021-03-03 14:00:00-05:00,27.0325,27.07,26.8875,27.0025,500384.0,3179
2021-03-03 15:00:00-05:00,27.0,27.025,26.6975,26.7425,1215912.0,6471
2021-03-03 16:00:00-05:00,26.7525,26.9643,26.7525,26.9643,98712.0,33
2021-03-04 09:00:00-05:00,26.6425,26.8925,26.4775,26.4775,216632.0,881
2021-03-04 10:00:00-05:00,26.5025,26.775,26.4375,26.74,417412.0,2134
2021-03-04 11:00:00-05:00,26.735,27.0975,26.7138,26.95,619196.0,3294
2021-03-04 12:00:00-05:00,26.96,27.0075,26.3925,26.5019,819768.0,4528
2021-03-04 13:00:00-05:00,26.4825,26.57,26.12,26.1575,565024.0,2878
2021-03-04 14:00:00-05:00,26.1525,26.275,26.0888,26.1575,1223356.0,4186
