date,open,high,low,close,volume,transactions
2021-03-01 06:00:00-05:00,98.25,98.25,98.25,98.25,100.0,1
2021-03-01 07:00:00-05:00,97.32,97.4,97.32,97.4,1518.0,24
2021-03-01 08:00:00-05:00,97.32,97.9953,97.0901,97.4,1812.0,49
2021-03-01 09:00:00-05:00,97.78,97.79,94.73,95.52,370651.0,5360
2021-03-01 10:00:00-05:00,95.43,96.27,94.47,95.46,513794.0,8702
2021-03-01 11:00:00-05:00,95.47,96.41,95.24,96.0,303125.0,4859
2021-03-01 12:00:00-05:00,95.98,97.26,95.82,96.89,366217.0,5419
2021-03-01 13:00:00-05:00,96.97,97.89,96.6,97.0,256611.0,4121
2021-03-01 14:00:00-05:00,97.06,97.41,96.76,97.0,230062.0,3819
2021-03-01 15:00:00-05:00,96.9611,97.9,96.9611,97.68,547623.0,9132
2021-03-01 16:00:00-05:00,97.61,98.0,97.61,98.0,41684.0,40
2021-03-01 17:00:00-05:00,98.08,98.08,97.764,97.99,300.0,3
2021-03-01 18:00:00-05:00,97.85,97.85,97.5,97.5,1083.0,16
2021-03-01 19:00:00-05:00,97.8,97.8,97.8,97.8,100.0,1
2021-03-02 08:00:00-05:00,98.1999,98.34,97.88,97.9391,1697.0,15
2021-03-02 09:00:00-05:00,98.7257,98.7257,95.9,96.93,379220.0,4175
2021-03-02 10:00:00-05:00,96.935,97.41,95.55,95.79,363991.0,5313
2021-03-02 11:00:00-05:00,95.817,96.16,94.16,94.98,380569.0,5703
2021-03-02 12:00:00-05:00,95.01,95.39,94.6,95.0999,247855.0,4231
2021-03-02 13:00:00-05:00,95.05,95.33,94.76,94.86,200085.0,3383
2021-03-02 14:00:00-05:00,94.85,95.01,93.9301,94.265,302159.0,4843
2021-03-02 15:00:00-05:00,94.2944,94.42,93.19,93.47,742842.0,10997
2021-03-02 16:00:00-05:00,93.51,94.0,93.51,93.6,427026.0,28
2021-03-02 17:00:00-05:00,93.56,93.56,93.56,93.56,100.0,1
2021-03-02 18:00:00-05:00,93.56,93.56,93.56,93.56,200.0,1
2021-03-02 19:00:00-05:00,93.98,93.98,93.98,93.98,100.0,1
2021-03-03 05:00:00-05:00,95.0,95.0,95.0,95.0,471.0,2
2021-03-03 07:00:00-05:00,94.6,94.6,94.6,94.6,100.0,1
2021-03-03 08:00:00-05:00,94.9978,94.9978,93.0,93.44,7706.0,156
2021-03-03 09:00:00-05:00,93.2,94.0,91.12,91.97,554732.0,6913
2021-03-03 10:00:00-05:00,91.91,92.1268,89.61,91.28,655386.0,10348
2021-03-03 11:00:00-05:00,91.34,91.4575,90.05,90.1,250505.0,4329
2021-03-03 12:00:00-05:00,90.09,90.32,88.63,89.06,435941.0,7006
2021-03-03 13:00:00-05:00,89.05,89.78,88.1,88.37,439563.0,6032
2021-03-03 14:00:00-05:00,88.375,88.55,87.37,88.2,516197.0,8206
2021-03-03 15:00:00-05:00,88.18,90.86,87.75,90.04,1947052.0,17132
2021-03-03 16:00:00-05:00,90.0,90.0,89.5,89.52,36060.0,51
2021-03-03 17:00:00-05:00,89.6,89.9768,89.6,89.9768,1174.0,4
2021-03-03 18:00:00-05:00,88.8501,88.8501,88.8501,88.8501,1306.0,3
2021-03-03 19:00:00-05:00,89.42,89.42,89.42,89.42,190.0,5
2021-03-04 06:00:00-05:00,87.54,87.54,87.54,87.54,275.0,2
2021-03-04 08:00:00-05:00,89.24,89.71,89.0,89.71,1153.0,29
2021-03-04 09:00:00-05:00,89.97,90.76,86.2157,86.57,634751.0,7980
2021-03-04 10:00:00-05:00,86.48,87.78,84.78,87.17,854541.0,12129
2021-03-04 11:00:00-05:00,87.19,87.34,85.96,86.65,629430.0,9005
2021-03-04 12:00:00-05:00,86.53,86.585,83.04,83.62,1341894.0,15047
2021-03-04 13:00:00-05:00,83.57,84.0,81.73,81.89,926293.0,13188
2021-03-04 14:00:00-05:00,81.8,84.94,81.13,84.92,799707.0,10435
2021-03-04 15:00:00-05:00,84.94,85.3,84.0001,84.98,937352.0,12350
2021-03-04 16:00:00-05:00,85.0,85.76,84.92,85.01,17505.0,57
2021-03-04 17:00:00-05:00,85.0,85.0,83.49,85.0,33875.0,13
2021-03-04 18:00:00-05:00,84.69,84.69,83.9,83.9,645.0,5
2021-03-04 19:00:00-05:00,83.95,83.95,83.9,83.9,1104.0,12
2021-03-05 07:00:00-05:00,84.5,84.5,84.5,84.5,635.0,15
2021-03-05 08:00:00-05:00,84.8,85.33,84.5,85.33,10943.0,94
2021-03-05 09:00:00-05:00,84.8,87.2224,80.86,81.84,663655.0,8133
2021-03-05 10:00:00-05:00,81.99,82.505,78.96,80.21,1807835.0,21325
2021-03-05 11:00:00-05:00,80.165,80.51,78.09,80.06,1277642.0,17786
2021-03-05 12:00:00-05:00,80.01,81.7171,79.6201,81.59,1491889.0,13846
2021-03-05 13:00:00-05:00,81.565,82.3,80.91,81.77,1145654.0,10658
2021-03-05 14:00:00-05:00,81.81,82.03,80.5,81.835,611773.0,6894
2021-03-05 15:00:00-05:00,81.81,82.42,81.64,82.2,973193.0,13365
2021-03-05 16:00:00-05:00,82.2,82.36,82.2,82.36,81653.0,45
2021-03-05 17:00:00-05:00,82.36,82.36,82.36,82.36,300.0,3
2021-03-05 18:00:00-05:00,82.52,82.52,82.52,82.52,1274.0,7
2021-03-05 19:00:00-05:00,82.95,84.0,82.9,82.9,972.0,13
2021-03-08 04:00:00-05:00,81.75,81.75,81.0,81.0,1067.0,14
2021-03-08 05:00:00-05:00,81.25,81.25,81.25,81.25,180.0,1
