date,open,high,low,close,volume,transactions
2021-03-01 04:00:00-05:00,71.64,71.64,71.64,71.64,100.0,1
2021-03-01 07:00:00-05:00,70.6,71.0,69.77,71.0,633.0,9
2021-03-01 08:00:00-05:00,71.0,71.599,70.6,71.2,3225.0,20
2021-03-01 09:00:00-05:00,70.96,72.103,70.42,71.99,262530.0,3443
2021-03-01 10:00:00-05:00,72.0,73.64,71.53,73.28,569984.0,7146
2021-03-01 11:00:00-05:00,73.29,74.04,72.85,73.05,412370.0,5150
2021-03-01 12:00:00-05:00,73.14,73.85,73.035,73.04,204268.0,2883
2021-03-01 13:00:00-05:00,73.065,73.43,71.74,73.395,446036.0,4828
2021-03-01 14:00:00-05:00,73.44,74.47,73.03,74.375,326926.0,4441
2021-03-01 15:00:00-05:00,74.36,74.38,73.17,73.59,674149.0,9591
2021-03-01 16:00:00-05:00,73.66,73.78,72.61,73.78,42272.0,45
2021-03-01 17:00:00-05:00,74.0,74.0,74.0,74.0,2500.0,5
2021-03-01 19:00:00-05:00,74.22,74.22,74.22,74.22,100.0,1
2021-03-02 08:00:00-05:00,73.27,74.4975,73.27,73.8,2781.0,23
2021-03-02 09:00:00-05:00,73.9,74.14,72.67,72.91,212338.0,2351
2021-03-02 10:00:00-05:00,73.01,73.8499,72.35,72.36,279717.0,4319
2021-03-02 11:00:00-05:00,72.435,72.6,69.89,70.93,474496.0,6220
2021-03-02 12:00:00-05:00,70.905,72.25,70.6486,71.8331,385417.0,2912
2021-03-02 13:00:00-05:00,71.8199,72.27,71.615,71.68,163352.0,2511
2021-03-02 14:00:00-05:00,71.73,71.9693,70.57,71.02,219230.0,3618
2021-03-02 15:00:00-05:00,71.11,72.0,70.76,70.95,577943.0,8769
2021-03-02 16:00:00-05:00,71.01,71.1,70.57,71.01,33742.0,40
2021-03-02 17:00:00-05:00,70.6,70.6,70.6,70.6,1500.0,1
2021-03-02 18:00:00-05:00,70.92,70.92,70.92,70.92,281.0,3
2021-03-02 19:00:00-05:00,71.25,71.25,71.25,71.25,100.0,1
2021-03-03 07:00:00-05:00,72.06,72.06,72.06,72.06,500.0,4
2021-03-03 08:00:00-05:00,71.4,72.5,71.37,71.74,12711.0,36
2021-03-03 09:00:00-05:00,72.0,74.13,71.6,73.6599,254785.0,2708
2021-03-03 10:00:00-05:00,73.535,76.0,73.535,75.745,699834.0,8333
2021-03-03 11:00:00-05:00,75.74,76.46,75.39,76.2,355113.0,4910
2021-03-03 12:00:00-05:00,76.15,77.82,76.1,76.835,526065.0,6021
2021-03-03 13:00:00-05:00,76.82,78.03,75.5,75.69,415319.0,5620
2021-03-03 14:00:00-05:00,75.74,76.07,74.55,76.05,431654.0,5747
2021-03-03 15:00:00-05:00,76.04,76.05,74.37,74.4,724509.0,9705
2021-03-03 16:00:00-05:00,74.44,74.5999,74.4,74.4,67883.0,68
2021-03-03 17:00:00-05:00,74.5,74.6,74.4,74.4,1555.0,7
2021-03-03 18:00:00-05:00,74.57,74.57,74.57,74.57,100.0,1
2021-03-03 19:00:00-05:00,74.0,74.95,74.0,74.95,665.0,4
2021-03-04 07:00:00-05:00,74.45,74.45,74.25,74.44,7954.0,13
2021-03-04 08:00:00-05:00,74.5,76.958,74.0101,76.5,14303.0,73
2021-03-04 09:00:00-05:00,76.6,79.11,75.51,77.75,565153.0,6012
2021-03-04 10:00:00-05:00,77.75,81.2477,76.62,81.07,1097480.0,9928
2021-03-04 11:00:00-05:00,81.23,82.47,80.01,81.74,729348.0,8894
2021-03-04 12:00:00-05:00,81.7,82.86,79.77,80.16,1114276.0,10801
2021-03-04 13:00:00-05:00,80.27,81.2,78.84,78.84,560791.0,8690
2021-03-04 14:00:00-05:00,78.8705,81.2,78.7201,81.08,430971.0,6246
2021-03-04 15:00:00-05:00,81.01,81.74,79.4267,81.35,790162.0,10889
2021-03-04 16:00:00-05:00,81.26,81.27,81.18,81.2,71121.0,66
2021-03-04 17:00:00-05:00,81.1,81.42,81.1,81.25,6988.0,31
2021-03-04 18:00:00-05:00,81.4199,81.97,81.4199,81.7,2858.0,31
2021-03-04 19:00:00-05:00,81.49,82.0,81.49,81.5,2535.0,18
2021-03-05 04:00:00-05:00,81.53,81.53,81.0,81.24,3181.0,8
2021-03-05 05:00:00-05:00,81.97,82.0,81.97,82.0,331.0,3
2021-03-05 06:00:00-05:00,83.49,83.49,83.49,83.49,200.0,2
2021-03-05 07:00:00-05:00,83.48,83.78,83.46,83.78,4471.0,64
2021-03-05 08:00:00-05:00,83.5,84.58,82.39,83.8001,14665.0,189
2021-03-05 09:00:00-05:00,84.0,86.5399,82.58,85.12,735934.0,8881
2021-03-05 10:00:00-05:00,85.265,87.9499,84.48,86.7674,1274188.0,15445
2021-03-05 11:00:00-05:00,86.54,86.75,82.78,86.38,868765.0,11970
2021-03-05 12:00:00-05:00,86.29,88.75,85.59,87.86,820951.0,10721
2021-03-05 13:00:00-05:00,87.87,88.68,86.82,87.74,463442.0,7169
2021-03-05 14:00:00-05:00,87.72,88.0,85.86,86.44,612589.0,8235
2021-03-05 15:00:00-05:00,86.49,87.0,84.37,85.25,1328975.0,18556
2021-03-05 16:00:00-05:00,85.27,86.06,84.88,85.27,44180.0,73
2021-03-05 17:00:00-05:00,84.8806,85.53,84.88,85.53,4639.0,18
2021-03-05 18:00:00-05:00,85.27,85.5,85.27,85.3,1185.0,12
2021-03-05 19:00:00-05:00,85.5,85.7,85.4,85.4,2005.0,9
2021-03-08 05:00:00-05:00,86.27,86.27,85.27,85.27,1438.0,21
2021-03-08 07:00:00-05:00,86.02,88.0,86.02,87.68,6286.0,80
2021-03-08 08:00:00-05:00,86.9,88.0,85.7,87.0,23169.0,180
2021-03-08 09:00:00-05:00,87.35,87.7458,84.6768,85.1801,458130.0,6141
2021-03-08 10:00:00-05:00,85.18,85.5033,83.21,83.67,502552.0,7464
2021-03-08 11:00:00-05:00,83.805,84.2,83.32,84.02,258525.0,4317
2021-03-08 12:00:00-05:00,84.0,85.74,83.9,85.66,279645.0,4744
2021-03-08 13:00:00-05:00,85.66,85.79,81.85,81.9,409302.0,6636
2021-03-08 14:00:00-05:00,81.87,83.69,81.8183,83.15,285227.0,4749
2021-03-08 15:00:00-05:00,83.07,84.83,82.6,84.17,622963.0,9798
2021-03-08 16:00:00-05:00,84.17,84.98,84.17,84.98,25280.0,51
2021-03-08 17:00:00-05:00,84.96,84.96,84.96,84.96,900.0,2
2021-03-08 19:00:00-05:00,84.06,84.06,84.06,84.06,138.0,5
2021-03-09 05:00:00-05:00,84.96,84.96,84.96,84.96,100.0,1
2021-03-09 07:00:00-05:00,84.5,85.0,84.5,85.0,2013.0,18
2021-03-09 08:00:00-05:00,82.06,85.0,82.06,84.05,3058.0,30
2021-03-09 09:00:00-05:00,84.0,84.0,80.7,80.8101,386541.0,4847
2021-03-09 10:00:00-05:00,80.93,83.05,80.6515,82.91,517648.0,6805
2021-03-09 11:00:00-05:00,82.8801,83.61,81.435,82.555,448241.0,5555
2021-03-09 12:00:00-05:00,82.555,82.65,80.41,81.02,428856.0,5818
2021-03-09 13:00:00-05:00,81.0461,81.15,79.96,80.29,359207.0,5558
2021-03-09 14:00:00-05:00,80.3,81.5199,79.93,81.11,303350.0,4699
2021-03-09 15:00:00-05:00,81.09,81.48,80.5,81.03,836856.0,11883
2021-03-09 16:00:00-05:00,81.03,81.03,80.0,80.0,27849.0,56
2021-03-09 17:00:00-05:00,80.999,81.0,80.999,81.0,1090.0,10
2021-03-09 18:00:00-05:00,80.65,80.75,80.65,80.75,1300.0,4
2021-03-10 07:00:00-05:00,81.0,81.0,81.0,81.0,403.0,7
2021-03-10 08:00:00-05:00,81.35,82.55,81.01,81.01,2358.0,15
2021-03-10 09:00:00-05:00,81.51,82.75,80.31,80.6,301814.0,3640
2021-03-10 10:00:00-05:00,80.67,81.46,79.3,81.1933,483745.0,6267
2021-03-10 11:00:00-05:00,81.29,81.71,79.9,80.17,336918.0,4800
2021-03-10 12:00:00-05:00,80.35,80.48,78.79,79.88,311176.0,4584
2021-03-10 13:00:00-05:00,79.875,80.62,79.45,79.83,263305.0,3924
2021-03-10 14:00:00-05:00,79.88,80.79,79.76,80.75,317033.0,5060
2021-03-10 15:00:00-05:00,80.69,81.58,79.965,80.94,607270.0,8966
2021-03-10 16:00:00-05:00,80.94,81.0,80.94,81.0,20989.0,36
2021-03-10 17:00:00-05:00,81.08,81.3,81.08,81.1,1688.0,12
2021-03-10 18:00:00-05:00,81.16,81.16,81.0,81.0,484.0,3
2021-03-10 19:00:00-05:00,81.0,81.16,81.0,81.16,723.0,3
2021-03-11 06:00:00-05:00,81.2,82.15,81.2,82.15,1372.0,16
2021-03-11 07:00:00-05:00,81.99,82.53,81.99,82.4,1704.0,20
2021-03-11 08:00:00-05:00,82.39,83.25,82.3899,83.2499,3371.0,28
2021-03-11 09:00:00-05:00,82.75,83.1911,81.42,82.52,211059.0,2644
2021-03-11 10:00:00-05:00,82.44,85.3895,82.2542,84.92,388774.0,5257
2021-03-11 11:00:00-05:00,84.975,85.97,84.25,84.35,483624.0,6621
2021-03-11 12:00:00-05:00,84.35,85.43,83.74,85.19,195446.0,3287
2021-03-11 13:00:00-05:00,85.215,85.7499,83.73,83.89,264200.0,4592
2021-03-11 14:00:00-05:00,83.97,84.8,83.63,84.73,219427.0,3748
2021-03-11 15:00:00-05:00,84.79,85.06,83.69,84.04,446840.0,6961
2021-03-11 16:00:00-05:00,84.04,84.04,84.04,84.04,11638.0,25
2021-03-11 17:00:00-05:00,85.0999,85.0999,84.06,84.06,1740.0,5
2021-03-11 18:00:00-05:00,84.06,84.06,84.06,84.06,275.0,3
2021-03-11 19:00:00-05:00,84.0,84.57,84.0,84.57,1050.0,8
2021-03-12 08:00:00-05:00,83.22,85.09,83.22,84.9,2114.0,20
2021-03-12 09:00:00-05:00,84.7,84.8799,83.14,83.87,208694.0,2302
2021-03-12 10:00:00-05:00,83.82,84.16,82.73,84.0,267817.0,3577
2021-03-12 11:00:00-05:00,83.9,84.33,83.19,83.66,266347.0,3610
2021-03-12 12:00:00-05:00,83.67,84.1301,82.99,83.23,195236.0,2927
2021-03-12 13:00:00-05:00,83.195,83.25,81.75,82.0483,296259.0,3187
2021-03-12 14:00:00-05:00,82.04,82.39,81.68,82.1,203418.0,3400
2021-03-12 15:00:00-05:00,82.08,82.32,81.77,81.97,510004.0,7296
2021-03-12 16:00:00-05:00,82.01,83.435,82.0,82.11,23654.0,32
2021-03-12 17:00:00-05:00,82.07,82.07,82.02,82.02,468.0,3
2021-03-12 18:00:00-05:00,81.85,81.85,81.85,81.85,104.0,2
2021-03-12 19:00:00-05:00,81.86,81.86,81.86,81.86,100.0,1
2021-03-15 08:00:00-04:00,82.23,82.25,82.02,82.05,9578.0,36
2021-03-15 09:00:00-04:00,82.22,83.3716,81.75,82.9,206641.0,2395
2021-03-15 10:00:00-04:00,82.84,83.81,81.64,82.25,452317.0,5784
2021-03-15 11:00:00-04:00,82.12,83.74,82.09,82.78,208904.0,3306
2021-03-15 12:00:00-04:00,82.78,83.64,82.72,83.545,122343.0,2411
2021-03-15 13:00:00-04:00,83.57,83.98,83.24,83.83,169167.0,2690
2021-03-15 14:00:00-04:00,83.85,84.03,83.13,83.36,162528.0,2607
2021-03-15 15:00:00-04:00,83.35,84.41,83.15,84.29,426552.0,6954
2021-03-15 16:00:00-04:00,84.29,84.35,84.21,84.29,46266.0,45
2021-03-15 17:00:00-04:00,84.2899,84.2899,83.5,84.2,2000.0,7
2021-03-15 19:00:00-04:00,84.35,84.35,84.35,84.35,500.0,1
2021-03-16 07:00:00-04:00,83.62,83.62,83.62,83.62,100.0,1
2021-03-16 08:00:00-04:00,83.0,83.5,83.0,83.5,616.0,6
2021-03-16 09:00:00-04:00,83.12,83.12,80.1401,80.78,261041.0,2974
2021-03-16 10:00:00-04:00,80.88,81.0399,79.5809,79.875,577545.0,7679
2021-03-16 11:00:00-04:00,79.86,81.75,79.45,81.7266,535514.0,6486
