date,open,high,low,close,volume,transactions
2023-01-04 07:00:00-05:00,55.01,56.9,55.01,56.7,6289.0,52
2023-01-04 08:00:00-05:00,56.6,56.7,56.0,56.2,17428.0,95
2023-01-04 09:00:00-05:00,56.2,58.99,53.5,58.49,2743929.0,13055
2023-01-04 10:00:00-05:00,58.48,60.71,58.02,59.935,3344137.0,19217
2023-01-04 11:00:00-05:00,59.935,60.01,58.61,59.36,1017913.0,9573
2023-01-04 12:00:00-05:00,59.365,59.4,58.57,58.88,1328911.0,7627
2023-01-04 13:00:00-05:00,58.85,59.4,57.62,58.845,1507357.0,10246
2023-01-04 14:00:00-05:00,58.845,59.75,58.68,59.255,983624.0,10481
2023-01-04 15:00:00-05:00,59.26,60.43,58.4,60.36,5516830.0,36883
2023-01-04 16:00:00-05:00,60.49,60.76,60.15,60.35,7842140.0,484
2023-01-04 17:00:00-05:00,60.2,60.2,60.02,60.05,6510.0,37
2023-01-04 18:00:00-05:00,60.49,60.49,60.11,60.11,6309.0,7
2023-01-04 19:00:00-05:00,60.11,60.11,60.11,60.11,7144.0,43
2023-01-05 04:00:00-05:00,60.6,60.6,60.5,60.5,1652.0,12
2023-01-05 05:00:00-05:00,60.5,60.5,60.5,60.5,298.0,5
2023-01-05 06:00:00-05:00,60.5,60.5,60.5,60.5,445.0,4
2023-01-05 07:00:00-05:00,60.5,60.99,60.29,60.39,11056.0,97
2023-01-05 08:00:00-05:00,60.5999,60.5999,59.95,60.05,14117.0,101
2023-01-05 09:00:00-05:00,60.05,61.5,59.64,60.16,1168110.0,8934
2023-01-05 10:00:00-05:00,60.155,62.98,59.98,61.82,1186429.0,11381
2023-01-05 11:00:00-05:00,61.7,62.0,59.37,60.19,1499223.0,12832
2023-01-05 12:00:00-05:00,60.23,60.5,58.56,58.56,844560.0,8523
2023-01-05 13:00:00-05:00,58.63,58.865,58.14,58.64,1030283.0,9437
2023-01-05 14:00:00-05:00,58.59,59.16,58.28,58.38,635125.0,7715
2023-01-05 15:00:00-05:00,58.4,59.215,58.28,59.01,1829709.0,17928
2023-01-05 16:00:00-05:00,59.0,59.0,59.0,59.0,33168.0,28
2023-01-05 17:00:00-05:00,59.0,59.0,59.0,59.0,5000.0,1
2023-01-05 18:00:00-05:00,59.07,59.07,59.01,59.07,2544.0,6
2023-01-05 19:00:00-05:00,59.23,59.23,59.23,59.23,250.0,7
