date,open,high,low,close,volume,transactions
2021-03-01 09:00:00-05:00,529.0,531.84,521.35,530.1526,56636,2418
2021-03-01 10:00:00-05:00,531.58,533.89,527.99,533.89,45788,2012
2021-03-01 11:00:00-05:00,533.94,533.94,530.55,533.4937,31738,1417
2021-03-01 12:00:00-05:00,533.01,535.4143,532.915,534.88,25181,1024
2021-03-01 13:00:00-05:00,534.64,537.64,533.5503,536.45,22116,1091
2021-03-01 14:00:00-05:00,536.8065,539.06,536.39,538.065,29520,1398
2021-03-01 15:00:00-05:00,538.02,541.29,537.3085,538.75,115722,4381
2021-03-01 16:00:00-05:00,538.17,538.17,538.17,538.17,7005,31
2021-03-02 09:00:00-05:00,542.08,543.2836,535.89,539.14,24976,969
2021-03-02 10:00:00-05:00,538.98,538.98,530.02,530.48,38534,1788
2021-03-02 11:00:00-05:00,530.53,532.1234,527.17,530.12,20527,1124
2021-03-02 12:00:00-05:00,529.87,532.33,529.17,531.08,15318,849
2021-03-02 13:00:00-05:00,531.275,533.075,531.275,532.29,11513,666
2021-03-02 14:00:00-05:00,532.4328,533.01,530.91,532.56,22175,1222
2021-03-02 15:00:00-05:00,532.36,532.6399,528.57,528.83,74518,3391
2021-03-02 16:00:00-05:00,529.47,529.47,529.47,529.47,7451,34
2021-03-03 07:00:00-05:00,535.56,535.56,535.56,535.56,771,7
2021-03-03 09:00:00-05:00,523.32,526.305,511.71,512.115,37154,1603
2021-03-03 10:00:00-05:00,513.17,513.21,503.525,506.265,83009,3439
2021-03-03 11:00:00-05:00,507.47,512.595,506.7873,509.62,27228,1425
2021-03-03 12:00:00-05:00,509.155,509.69,504.0,504.005,38135,2014
2021-03-03 13:00:00-05:00,503.9675,505.47,502.0,502.28,59748,2377
2021-03-03 14:00:00-05:00,501.89,502.0,495.58,499.36,73239,3905
2021-03-03 15:00:00-05:00,500.11,501.14,496.83,497.8797,106230,4771
2021-03-03 16:00:00-05:00,498.02,502.5868,498.02,498.02,24462,35
2021-03-03 18:00:00-05:00,498.02,498.02,498.02,498.02,140,5
2021-03-04 09:00:00-05:00,494.9,497.525,486.06,486.875,49759,2023
2021-03-04 10:00:00-05:00,486.08,494.95,484.04,494.38,66952,2957
2021-03-04 11:00:00-05:00,494.09,496.27,492.93,495.05,41058,1861
