date,open,high,low,close,volume,transactions
2021-03-01 08:00:00-05:00,30.55,30.55,30.5,30.52,1606.0,17
2021-03-01 09:00:00-05:00,30.67,31.03,30.63,30.64,618906.0,4258
2021-03-01 10:00:00-05:00,30.66,30.77,30.45,30.765,755718.0,6676
2021-03-01 11:00:00-05:00,30.77,30.93,30.67,30.93,453086.0,4597
2021-03-01 12:00:00-05:00,30.93,31.05,30.9,30.955,605581.0,5137
2021-03-01 13:00:00-05:00,30.96,31.085,30.885,31.06,422836.0,4231
2021-03-01 14:00:00-05:00,31.06,31.1,30.9593,31.01,516393.0,4893
2021-03-01 15:00:00-05:00,31.005,31.02,30.795,30.89,1133463.0,10195
2021-03-01 16:00:00-05:00,30.89,30.89,30.83,30.89,74887.0,31
2021-03-02 07:00:00-05:00,30.8,30.81,30.8,30.8,427.0,5
2021-03-02 08:00:00-05:00,30.81,30.81,30.81,30.81,1095.0,9
2021-03-02 09:00:00-05:00,30.81,31.16,30.81,30.88,433410.0,2859
2021-03-02 10:00:00-05:00,30.87,31.04,30.86,30.945,485176.0,5216
2021-03-02 11:00:00-05:00,30.94,31.01,30.89,30.935,410645.0,4382
2021-03-02 12:00:00-05:00,30.935,31.04,30.93,30.94,394683.0,3816
2021-03-02 13:00:00-05:00,30.945,30.995,30.9,30.93,374958.0,3902
2021-03-02 14:00:00-05:00,30.935,31.01,30.89,30.95,383161.0,4397
2021-03-02 15:00:00-05:00,30.945,31.01,30.73,30.77,954772.0,9717
2021-03-02 16:00:00-05:00,30.775,30.775,30.63,30.63,61066.0,36
2021-03-02 17:00:00-05:00,30.6799,30.6799,30.6799,30.6799,200.0,1
2021-03-02 18:00:00-05:00,30.68,30.68,30.68,30.68,1200.0,7
2021-03-02 19:00:00-05:00,30.68,30.68,30.68,30.68,628.0,4
2021-03-03 08:00:00-05:00,30.59,30.59,30.55,30.55,7310.0,48
2021-03-03 09:00:00-05:00,30.55,30.78,30.52,30.64,447310.0,2979
2021-03-03 10:00:00-05:00,30.62,31.09,30.62,31.0,781424.0,5959
2021-03-03 11:00:00-05:00,31.0,31.13,30.825,31.06,542448.0,4369
2021-03-03 12:00:00-05:00,31.06,31.18,31.015,31.04,321335.0,3543
2021-03-03 13:00:00-05:00,31.04,31.19,30.9602,31.005,534569.0,4982
2021-03-03 14:00:00-05:00,31.0,31.03,30.69,30.848,600435.0,6209
2021-03-03 15:00:00-05:00,30.845,30.89,30.57,30.61,1246602.0,11693
2021-03-03 16:00:00-05:00,30.62,31.039,30.62,31.039,126726.0,48
2021-03-03 17:00:00-05:00,30.74,30.74,30.74,30.74,400.0,6
2021-03-03 19:00:00-05:00,30.63,30.63,30.63,30.63,109.0,3
2021-03-04 09:00:00-05:00,30.67,31.0,30.66,30.94,313974.0,2534
2021-03-04 10:00:00-05:00,30.94,31.35,30.92,31.28,677501.0,6381
2021-03-04 11:00:00-05:00,31.28,31.45,31.2,31.4,510681.0,4835
2021-03-04 12:00:00-05:00,31.4,31.43,30.8,30.89,498123.0,5220
2021-03-04 13:00:00-05:00,30.885,31.0,30.735,30.7448,528003.0,5191
2021-03-04 14:00:00-05:00,30.75,31.2,30.75,31.015,600827.0,5793
2021-03-04 15:00:00-05:00,31.02,31.02,30.73,30.87,1202371.0,11547
2021-03-04 16:00:00-05:00,30.88,30.98,30.88,30.88,107405.0,28
2021-03-04 17:00:00-05:00,31.0,31.0,31.0,31.0,210.0,3
2021-03-05 07:00:00-05:00,30.95,30.95,30.95,30.95,244.0,2
2021-03-05 08:00:00-05:00,31.0,31.0,31.0,31.0,521.0,5
2021-03-05 09:00:00-05:00,31.0,31.19,30.965,31.06,285643.0,2388
2021-03-05 10:00:00-05:00,31.0522,31.19,30.93,31.04,585891.0,6293
2021-03-05 11:00:00-05:00,31.04,31.47,31.04,31.37,748864.0,5712
2021-03-05 12:00:00-05:00,31.39,31.67,31.315,31.39,505275.0,5688
2021-03-05 13:00:00-05:00,31.37,31.455,31.29,31.435,668139.0,5490
2021-03-05 14:00:00-05:00,31.44,31.61,31.3986,31.55,545781.0,5701
2021-03-05 15:00:00-05:00,31.54,31.74,31.52,31.54,1913415.0,14451
2021-03-05 16:00:00-05:00,31.53,31.55,31.52,31.55,85880.0,42
2021-03-08 06:00:00-05:00,31.31,31.31,31.31,31.31,198.0,5
2021-03-08 07:00:00-05:00,31.38,31.38,31.04,31.04,3296.0,28
2021-03-08 08:00:00-05:00,31.38,31.38,31.21,31.21,4374.0,52
2021-03-08 09:00:00-05:00,31.21,32.06,31.21,31.8,558098.0,4731
2021-03-08 10:00:00-05:00,31.79,32.25,31.78,32.04,822376.0,8944
2021-03-08 11:00:00-05:00,32.04,32.295,32.03,32.17,753805.0,8114
2021-03-08 12:00:00-05:00,32.18,32.61,32.18,32.48,860310.0,7364
2021-03-08 13:00:00-05:00,32.48,32.6,32.35,32.38,793097.0,6864
2021-03-08 14:00:00-05:00,32.38,32.675,32.31,32.43,817254.0,8111
2021-03-08 15:00:00-05:00,32.44,32.67,32.34,32.49,1638594.0,15117
2021-03-08 16:00:00-05:00,32.47,32.52,32.47,32.47,171091.0,29
2021-03-09 08:00:00-05:00,32.79,32.79,32.79,32.79,110.0,1
2021-03-09 09:00:00-05:00,32.69,33.15,32.6,32.87,534699.0,4734
2021-03-09 10:00:00-05:00,32.88,33.08,32.806,32.975,961273.0,9431
2021-03-09 11:00:00-05:00,32.98,33.235,32.93,33.11,838921.0,7999
2021-03-09 12:00:00-05:00,33.11,33.26,33.07,33.15,611441.0,6517
2021-03-09 13:00:00-05:00,33.14,33.23,33.01,33.04,716417.0,5951
2021-03-09 14:00:00-05:00,33.04,33.32,33.03,33.2,779830.0,8129
2021-03-09 15:00:00-05:00,33.2,33.3,33.07,33.09,2023430.0,17396
