date,open,high,low,close,volume,transactions
2021-03-01 07:00:00-05:00,246.0,246.0,246.0,246.0,300.0,1
2021-03-01 08:00:00-05:00,246.54,246.54,246.54,246.54,227.0,4
2021-03-01 09:00:00-05:00,247.02,249.91,246.91,249.91,169662.0,1929
2021-03-01 10:00:00-05:00,249.855,251.55,249.2937,251.41,154638.0,3144
2021-03-01 11:00:00-05:00,251.46,252.09,250.84,252.075,126794.0,2715
2021-03-01 12:00:00-05:00,252.075,252.52,250.86,250.86,101161.0,2398
2021-03-01 13:00:00-05:00,250.865,251.29,249.075,251.29,256166.0,4185
2021-03-01 14:00:00-05:00,251.3,252.2,250.44,250.52,111455.0,2802
2021-03-01 15:00:00-05:00,250.52,251.61,250.1,251.49,362317.0,6240
2021-03-01 16:00:00-05:00,251.49,251.49,251.49,251.49,15082.0,28
2021-03-01 18:00:00-05:00,248.01,248.01,248.01,248.01,100.0,1
2021-03-01 19:00:00-05:00,254.22,254.22,254.22,254.22,180.0,7
2021-03-02 07:00:00-05:00,252.4,252.4,252.37,252.37,880.0,4
2021-03-02 08:00:00-05:00,252.24,252.24,251.68,251.85,1722.0,17
2021-03-02 09:00:00-05:00,252.99,254.64,252.85,254.29,166665.0,2405
2021-03-02 10:00:00-05:00,254.36,254.53,253.21,253.55,241687.0,4227
2021-03-02 11:00:00-05:00,253.51,254.59,252.9962,254.26,211188.0,3519
2021-03-02 12:00:00-05:00,254.24,256.545,254.13,256.33,157758.0,2991
2021-03-02 13:00:00-05:00,256.36,256.9889,256.0884,256.57,163413.0,3115
2021-03-02 14:00:00-05:00,256.52,256.68,255.84,256.24,147690.0,3056
2021-03-02 15:00:00-05:00,256.2,256.4,253.86,254.13,324266.0,6369
2021-03-02 16:00:00-05:00,254.01,254.01,251.51,251.51,12388.0,30
2021-03-03 05:00:00-05:00,255.31,255.31,255.31,255.31,132.0,1
2021-03-03 06:00:00-05:00,255.02,255.02,255.02,255.02,100.0,1
2021-03-03 07:00:00-05:00,254.92,254.92,254.92,254.92,510.0,6
2021-03-03 08:00:00-05:00,254.71,254.71,250.64,250.8,9701.0,34
2021-03-03 09:00:00-05:00,251.37,251.63,249.1357,249.24,196002.0,2688
2021-03-03 10:00:00-05:00,249.24,249.46,247.77,248.35,241453.0,4144
2021-03-03 11:00:00-05:00,248.44,249.9975,248.02,249.76,224410.0,3720
2021-03-03 12:00:00-05:00,249.8,251.2097,249.64,250.38,87940.0,1903
2021-03-03 13:00:00-05:00,250.42,251.04,249.99,250.215,103660.0,2317
2021-03-03 14:00:00-05:00,250.41,250.575,249.48,249.675,130583.0,2693
2021-03-03 15:00:00-05:00,249.71,250.03,247.46,247.53,394245.0,6560
2021-03-03 16:00:00-05:00,247.55,248.7885,247.55,248.7885,148493.0,31
2021-03-04 04:00:00-05:00,247.05,247.05,247.05,247.05,100.0,1
2021-03-04 05:00:00-05:00,246.05,246.05,246.05,246.05,100.0,1
2021-03-04 06:00:00-05:00,246.71,246.73,246.64,246.73,3600.0,10
2021-03-04 07:00:00-05:00,246.84,246.84,246.84,246.84,135.0,2
2021-03-04 08:00:00-05:00,247.86,247.86,247.83,247.83,512.0,13
2021-03-04 09:00:00-05:00,248.09,248.92,246.69,247.51,161177.0,2266
2021-03-04 10:00:00-05:00,247.585,249.29,246.16,248.2,265985.0,4559
2021-03-04 11:00:00-05:00,248.2,248.88,247.56,248.24,237342.0,2800
2021-03-04 12:00:00-05:00,248.24,249.665,245.5,245.71,179263.0,4218
2021-03-04 13:00:00-05:00,245.53,246.48,242.47,242.72,196974.0,4569
2021-03-04 14:00:00-05:00,242.76,245.21,242.57,245.005,315985.0,5770
2021-03-04 15:00:00-05:00,244.95,245.85,244.24,245.46,413932.0,8162
2021-03-04 16:00:00-05:00,245.42,245.42,245.42,245.42,41073.0,28
2021-03-05 05:00:00-05:00,243.31,243.51,243.31,243.51,200.0,2
2021-03-05 08:00:00-05:00,242.39,244.6,242.39,244.6,2212.0,12
2021-03-05 09:00:00-05:00,246.07,246.88,243.95,244.5163,231681.0,3193
2021-03-05 10:00:00-05:00,244.47,244.926,242.06,242.06,281632.0,5275
2021-03-05 11:00:00-05:00,242.13,243.87,241.88,243.85,223598.0,4413
2021-03-05 12:00:00-05:00,243.73,246.6,243.73,246.38,159073.0,3005
2021-03-05 13:00:00-05:00,246.46,248.29,246.04,248.13,180547.0,3360
2021-03-05 14:00:00-05:00,248.095,248.27,247.25,247.79,182719.0,3596
2021-03-05 15:00:00-05:00,247.88,248.23,247.41,247.67,518284.0,8800
2021-03-05 16:00:00-05:00,247.64,247.64,247.64,247.64,30556.0,32
2021-03-08 04:00:00-05:00,244.92,245.7,244.92,245.13,1475.0,8
2021-03-08 05:00:00-05:00,245.41,245.41,245.25,245.25,500.0,4
2021-03-08 07:00:00-05:00,245.76,246.1,245.76,246.04,4362.0,18
2021-03-08 08:00:00-05:00,246.75,246.86,246.54,246.86,2338.0,13
2021-03-08 09:00:00-05:00,246.78,251.25,246.78,249.99,229629.0,2453
