date,open,high,low,close,volume,transactions
2021-03-01 07:00:00-05:00,77.3,77.3,77.3,77.3,590.0,5
2021-03-01 08:00:00-05:00,76.945,76.945,76.945,76.945,360.0,4
2021-03-01 09:00:00-05:00,77.51,77.995,76.82,77.18,266272.0,2360
2021-03-01 10:00:00-05:00,77.235,77.52,76.86,77.15,304206.0,3477
2021-03-01 11:00:00-05:00,77.195,78.1725,77.065,77.865,423206.0,4048
2021-03-01 12:00:00-05:00,77.885,78.6825,77.73,78.4125,391020.0,3326
2021-03-01 13:00:00-05:00,78.435,78.86,78.135,78.72,197680.0,2787
2021-03-01 14:00:00-05:00,78.725,79.025,78.725,78.825,306008.0,3450
2021-03-01 15:00:00-05:00,78.8387,79.18,78.41,79.15,909840.0,8513
2021-03-01 16:00:00-05:00,79.05,79.05,78.76,79.05,472400.0,27
2021-03-02 08:00:00-05:00,78.995,79.0,78.995,79.0,512.0,7
2021-03-02 09:00:00-05:00,79.275,79.275,76.14,78.03,262428.0,2096
2021-03-02 10:00:00-05:00,78.0,78.22,77.075,77.12,238784.0,3066
2021-03-02 11:00:00-05:00,77.12,77.4575,76.54,76.581,287212.0,3442
2021-03-02 12:00:00-05:00,76.505,77.19,76.31,77.01,371614.0,3528
2021-03-02 13:00:00-05:00,77.0175,77.65,76.96,77.345,242920.0,3189
2021-03-02 14:00:00-05:00,77.375,77.49,76.875,77.14,255784.0,3564
2021-03-02 15:00:00-05:00,77.125,77.255,75.94,76.015,951240.0,9667
2021-03-02 16:00:00-05:00,76.045,76.045,75.935,76.045,96974.0,32
2021-03-02 19:00:00-05:00,76.4,76.4,76.4,76.4,354.0,3
2021-03-03 07:00:00-05:00,76.75,76.75,76.75,76.75,390.0,2
2021-03-03 09:00:00-05:00,75.545,76.375,75.065,75.295,303860.0,2751
2021-03-03 10:00:00-05:00,75.275,75.6,74.48,75.105,445038.0,4414
2021-03-03 11:00:00-05:00,75.115,77.02,75.0475,76.5537,813448.0,6943
2021-03-03 12:00:00-05:00,76.5525,76.87,76.2,76.445,211628.0,3016
2021-03-03 13:00:00-05:00,76.43,76.445,75.075,75.1,474538.0,4927
2021-03-03 14:00:00-05:00,75.145,75.225,73.815,74.975,917458.0,9288
2021-03-03 15:00:00-05:00,74.95,75.15,74.005,74.01,1003852.0,10789
2021-03-03 16:00:00-05:00,74.185,74.949,74.135,74.949,197022.0,61
2021-03-04 08:00:00-05:00,73.995,73.995,73.995,73.995,1162.0,11
2021-03-04 09:00:00-05:00,73.95,74.605,72.825,72.98,345464.0,2861
2021-03-04 10:00:00-05:00,72.965,73.01,71.625,72.445,652654.0,6192
2021-03-04 11:00:00-05:00,72.455,72.89,71.8,72.58,396220.0,4367
2021-03-04 12:00:00-05:00,72.605,72.94,70.745,71.07,530354.0,6461
2021-03-04 13:00:00-05:00,71.025,71.255,69.35,69.35,558428.0,6492
2021-03-04 14:00:00-05:00,69.41,71.06,69.39,70.7925,435688.0,5695
2021-03-04 15:00:00-05:00,70.76,70.935,69.855,69.995,1235208.0,11265
2021-03-04 16:00:00-05:00,70.0,70.135,69.955,70.135,130476.0,53
2021-03-04 17:00:00-05:00,70.095,70.095,70.095,70.095,818.0,3
2021-03-05 07:00:00-05:00,69.91,72.505,69.91,70.395,4714.0,36
2021-03-05 08:00:00-05:00,71.185,71.2,71.185,71.2,916.0,8
2021-03-05 09:00:00-05:00,72.02,72.02,69.2151,69.645,335954.0,2948
2021-03-05 10:00:00-05:00,69.61,69.955,68.235,69.415,949172.0,9182
2021-03-05 11:00:00-05:00,69.51,69.74,67.7622,69.3276,616170.0,6764
2021-03-05 12:00:00-05:00,69.3775,71.15,69.16,71.055,687778.0,7257
2021-03-05 13:00:00-05:00,71.09,72.355,70.4497,72.045,488182.0,6332
2021-03-05 14:00:00-05:00,72.095,72.505,71.35,72.29,710830.0,6767
2021-03-05 15:00:00-05:00,72.29,72.98,71.975,72.72,1680050.0,13948
2021-03-05 16:00:00-05:00,72.72,72.72,71.33,71.33,337082.0,68
2021-03-08 07:00:00-05:00,71.28,71.755,71.155,71.755,1038.0,4
2021-03-08 08:00:00-05:00,71.615,71.965,71.615,71.965,1012.0,6
2021-03-08 09:00:00-05:00,72.42,73.22,71.2792,71.87,443476.0,4256
2021-03-08 10:00:00-05:00,71.97,73.0,71.615,72.17,289816.0,3912
2021-03-08 11:00:00-05:00,72.25,72.475,70.71,70.71,305938.0,4522
2021-03-08 12:00:00-05:00,70.73,71.55,70.465,70.54,434508.0,5041
2021-03-08 13:00:00-05:00,70.565,70.825,69.045,69.115,375648.0,5012
2021-03-08 14:00:00-05:00,69.045,69.79,68.955,69.265,598244.0,6134
2021-03-08 15:00:00-05:00,69.275,69.28,68.25,68.375,1131318.0,11360
2021-03-08 16:00:00-05:00,68.375,68.38,68.375,68.38,175172.0,56
2021-03-09 07:00:00-05:00,70.5,70.5,70.5,70.5,352.0,3
2021-03-09 08:00:00-05:00,70.5,70.5,70.5,70.5,1400.0,2
2021-03-09 09:00:00-05:00,70.575,72.085,70.535,71.93,364998.0,3537
2021-03-09 10:00:00-05:00,71.9,72.29,71.32,71.79,557002.0,5126
2021-03-09 11:00:00-05:00,71.79,72.535,71.6659,72.39,297286.0,4162
2021-03-09 12:00:00-05:00,72.415,72.72,72.22,72.42,328208.0,3893
2021-03-09 13:00:00-05:00,72.46,73.27,72.455,73.175,407016.0,4660
2021-03-09 14:00:00-05:00,73.235,73.29,72.725,73.125,373198.0,4824
2021-03-09 15:00:00-05:00,73.12,73.34,72.4925,72.725,1199984.0,11466
2021-03-09 16:00:00-05:00,72.73,72.73,72.575,72.575,358966.0,38
2021-03-09 18:00:00-05:00,72.795,72.795,72.795,72.795,202.0,1
2021-03-09 19:00:00-05:00,72.58,72.58,72.58,72.58,200.0,1
2021-03-10 08:00:00-05:00,72.73,73.52,72.73,73.52,2138.0,23
2021-03-10 09:00:00-05:00,73.6,74.1975,73.1225,73.4075,272530.0,2514
2021-03-10 10:00:00-05:00,73.415,73.59,71.375,71.77,404204.0,4715
2021-03-10 11:00:00-05:00,71.805,72.295,71.385,72.185,486362.0,4209
2021-03-10 12:00:00-05:00,72.22,72.435,71.2338,71.715,444426.0,3606
2021-03-10 13:00:00-05:00,71.7375,71.86,70.86,71.15,269782.0,3236
2021-03-10 14:00:00-05:00,71.07,71.4825,71.03,71.175,320872.0,3571
2021-03-10 15:00:00-05:00,71.145,71.29,70.635,70.66,1031720.0,8129
2021-03-10 16:00:00-05:00,70.66,70.66,70.66,70.66,242324.0,43
2021-03-10 17:00:00-05:00,70.66,70.66,70.66,70.66,93730.0,4
2021-03-11 08:00:00-05:00,72.5,72.5,72.5,72.5,814.0,14
2021-03-11 09:00:00-05:00,72.0,73.33,72.0,73.285,250902.0,1897
2021-03-11 10:00:00-05:00,73.32,73.675,72.615,73.295,327622.0,3403
2021-03-11 11:00:00-05:00,73.325,74.03,73.29,74.01,448552.0,4007
2021-03-11 12:00:00-05:00,74.015,74.54,73.875,74.36,463786.0,3819
2021-03-11 13:00:00-05:00,74.36,74.725,73.915,74.03,494116.0,3864
2021-03-11 14:00:00-05:00,74.07,74.5,73.93,74.04,361856.0,3519
2021-03-11 15:00:00-05:00,74.046,74.355,73.72,74.13,1083436.0,9005
2021-03-11 16:00:00-05:00,74.105,74.105,74.105,74.105,949102.0,53
2021-03-11 17:00:00-05:00,74.75,74.75,74.75,74.75,316.0,2
2021-03-12 07:00:00-05:00,72.79,73.1,72.79,73.1,1126.0,3
2021-03-12 08:00:00-05:00,72.0678,73.11,72.0678,73.11,894.0,12
2021-03-12 09:00:00-05:00,73.0,73.29,71.865,73.29,216520.0,2016
2021-03-12 10:00:00-05:00,73.32,73.48,72.295,72.415,319364.0,3734
2021-03-12 11:00:00-05:00,72.31,72.75,72.155,72.34,204948.0,2460
2021-03-12 12:00:00-05:00,72.37,73.04,72.25,72.87,194974.0,1818
2021-03-12 13:00:00-05:00,72.935,73.435,72.73,73.215,241282.0,2805
2021-03-12 14:00:00-05:00,73.185,73.315,72.855,73.305,240064.0,2328
2021-03-12 15:00:00-05:00,73.29,73.91,73.15,73.73,776572.0,7019
2021-03-12 16:00:00-05:00,73.725,73.76,73.725,73.76,127838.0,46
2021-03-15 07:00:00-04:00,74.52,74.52,74.52,74.52,406.0,2
2021-03-15 08:00:00-04:00,73.725,73.725,73.525,73.545,930.0,9
2021-03-15 09:00:00-04:00,73.5,74.03,73.015,73.355,224578.0,2050
2021-03-15 10:00:00-04:00,73.26,73.76,73.025,73.635,403112.0,4786
2021-03-15 11:00:00-04:00,73.625,73.93,73.11,73.49,296314.0,3317
2021-03-15 12:00:00-04:00,73.4276,73.8475,73.3,73.615,266764.0,3191
2021-03-15 13:00:00-04:00,73.63,73.795,73.305,73.465,174348.0,2509
2021-03-15 14:00:00-04:00,73.49,74.335,73.455,74.3,212934.0,3047
2021-03-15 15:00:00-04:00,74.3,74.955,74.07,74.865,628540.0,6593
2021-03-15 16:00:00-04:00,74.78,74.78,74.52,74.78,421834.0,38
2021-03-16 07:00:00-04:00,75.45,75.45,75.45,75.45,400.0,1
2021-03-16 09:00:00-04:00,75.39,75.995,75.13,75.855,334144.0,2726
2021-03-16 10:00:00-04:00,75.82,76.76,75.745,76.315,487356.0,5428
2021-03-16 11:00:00-04:00,76.3275,76.59,76.1,76.5147,376052.0,4554
2021-03-16 12:00:00-04:00,76.51,76.69,75.775,76.15,351400.0,3772
2021-03-16 13:00:00-04:00,76.13,76.44,75.735,75.77,350224.0,4131
2021-03-16 14:00:00-04:00,75.81,75.91,74.3,74.695,605804.0,6726
2021-03-16 15:00:00-04:00,74.71,75.425,74.485,74.94,1071272.0,9690
2021-03-16 16:00:00-04:00,74.95,75.345,74.95,75.2,305404.0,39
2021-03-17 07:00:00-04:00,74.35,74.35,74.35,74.35,568.0,10
2021-03-17 08:00:00-04:00,73.88,73.88,73.875,73.875,702.0,6
2021-03-17 09:00:00-04:00,73.81,74.645,73.34,74.645,151696.0,1926
2021-03-17 10:00:00-04:00,74.63,75.225,74.39,74.6325,285174.0,3599
2021-03-17 11:00:00-04:00,74.615,74.905,74.155,74.59,172010.0,2760
2021-03-17 12:00:00-04:00,74.575,75.06,74.335,74.335,169056.0,2722
2021-03-17 13:00:00-04:00,74.3,74.83,74.245,74.365,202026.0,2950
2021-03-17 14:00:00-04:00,74.51,76.725,74.51,76.72,500812.0,6631
2021-03-17 15:00:00-04:00,76.79,77.16,76.425,76.955,1074902.0,10520
2021-03-17 16:00:00-04:00,76.91,76.91,76.91,76.91,112270.0,42
2021-03-18 08:00:00-04:00,75.59,75.59,75.59,75.59,618.0,3
2021-03-18 09:00:00-04:00,74.935,75.6988,74.48,75.37,294944.0,3632
2021-03-18 10:00:00-04:00,75.25,75.66,74.84,75.1808,178000.0,2857
2021-03-18 11:00:00-04:00,75.225,75.555,75.02,75.295,156372.0,2541
2021-03-18 12:00:00-04:00,75.265,75.795,74.0938,74.0938,214674.0,2963
2021-03-18 13:00:00-04:00,74.0925,74.87,74.0925,74.865,172636.0,2982
2021-03-18 14:00:00-04:00,74.835,74.835,73.21,73.3675,443958.0,5731
2021-03-18 15:00:00-04:00,73.325,73.595,72.63,72.73,1596226.0,12716
2021-03-18 16:00:00-04:00,72.84,72.84,72.745,72.745,93292.0,37
2021-03-19 08:00:00-04:00,73.88,73.925,73.88,73.925,804.0,11
2021-03-19 09:00:00-04:00,72.875,73.5,71.82,72.54,553536.0,2441
2021-03-19 10:00:00-04:00,72.42,73.735,71.625,73.665,244738.0,3363
2021-03-19 11:00:00-04:00,73.67,73.96,72.96,73.8803,177676.0,2233
2021-03-19 12:00:00-04:00,73.905,74.945,73.875,74.925,510870.0,4228
2021-03-19 13:00:00-04:00,74.915,76.02,74.5375,75.91,711572.0,6221
2021-03-19 14:00:00-04:00,75.9225,76.145,74.77,74.93,393594.0,4643
2021-03-19 15:00:00-04:00,74.94,75.32,74.46,75.035,1574546.0,12985
2021-03-19 16:00:00-04:00,75.03,75.03,74.83,74.875,1612292.0,110
2021-03-19 17:00:00-04:00,75.495,75.5,75.0,75.0,1532.0,15
2021-03-22 05:00:00-04:00,76.145,76.145,76.145,76.145,220.0,2
2021-03-22 06:00:00-04:00,76.15,76.15,76.15,76.15,200.0,1
2021-03-22 07:00:00-04:00,75.555,75.555,75.555,75.555,356.0,2
2021-03-22 08:00:00-04:00,75.03,75.03,75.03,75.03,258.0,1
2021-03-22 09:00:00-04:00,76.185,77.535,76.185,76.63,526400.0,4644
2021-03-22 10:00:00-04:00,76.725,77.275,76.4775,77.005,635740.0,6651
2021-03-22 11:00:00-04:00,77.03,77.75,76.82,77.415,248178.0,3550
2021-03-22 12:00:00-04:00,77.425,78.245,77.32,77.95,408630.0,3813
2021-03-22 13:00:00-04:00,77.97,78.285,77.705,78.1525,458026.0,4024
2021-03-22 14:00:00-04:00,78.135,78.215,77.72,78.045,432580.0,4283
