date,open,high,low,close,volume,transactions
2021-03-01 04:00:00-05:00,39.9,40.48,39.9,40.4,3430.0,16
2021-03-01 05:00:00-05:00,40.47,40.49,39.96,39.96,2500.0,19
2021-03-01 07:00:00-05:00,40.14,40.14,39.95,40.1,1760.0,21
2021-03-01 08:00:00-05:00,40.1001,40.4,39.45,40.4,68960.0,35
2021-03-01 09:00:00-05:00,40.3987,40.495,39.3,39.685,906409.0,5942
2021-03-01 10:00:00-05:00,39.69,40.18,39.58,40.055,1331746.0,7849
2021-03-01 11:00:00-05:00,40.06,40.11,39.7,39.72,379628.0,3953
2021-03-01 12:00:00-05:00,39.73,39.86,39.64,39.74,161877.0,2152
2021-03-01 13:00:00-05:00,39.745,39.81,39.6,39.73,165756.0,2184
2021-03-01 14:00:00-05:00,39.725,39.835,39.685,39.785,382634.0,2560
2021-03-01 15:00:00-05:00,39.785,39.845,39.63,39.77,497685.0,5914
2021-03-01 16:00:00-05:00,39.76,39.83,39.76,39.76,44992.0,19
2021-03-01 17:00:00-05:00,39.9,39.9,39.9,39.9,425.0,5
2021-03-01 18:00:00-05:00,39.7,39.72,39.7,39.72,373.0,3
2021-03-01 19:00:00-05:00,39.7,39.7,39.53,39.53,712.0,8
2021-03-02 04:00:00-05:00,39.53,39.53,38.0,38.81,20808.0,37
2021-03-02 05:00:00-05:00,38.83,39.28,38.83,39.28,552.0,4
2021-03-02 06:00:00-05:00,39.0,39.0,39.0,39.0,700.0,1
2021-03-02 07:00:00-05:00,39.3,39.4,39.16,39.26,821.0,14
2021-03-02 08:00:00-05:00,39.16,39.49,39.16,39.49,2569.0,18
2021-03-02 09:00:00-05:00,39.4,40.28,39.4,40.13,1123008.0,5727
2021-03-02 10:00:00-05:00,40.13,40.39,39.93,40.055,1550974.0,7752
2021-03-02 11:00:00-05:00,40.04,40.045,39.72,39.91,750170.0,4554
2021-03-02 12:00:00-05:00,39.91,40.1,39.82,39.965,763501.0,5153
2021-03-02 13:00:00-05:00,39.965,40.06,39.93,40.02,309322.0,2423
2021-03-02 14:00:00-05:00,40.02,40.1,39.77,39.99,264653.0,2303
2021-03-02 15:00:00-05:00,40.0,40.05,39.72,39.78,706567.0,6624
2021-03-02 16:00:00-05:00,39.78,39.89,39.78,39.78,73075.0,11
2021-03-02 17:00:00-05:00,39.99,39.99,39.99,39.99,100.0,1
2021-03-02 18:00:00-05:00,40.19,40.19,40.19,40.19,194.0,3
2021-03-02 19:00:00-05:00,39.99,40.19,39.99,40.19,1299.0,9
2021-03-03 04:00:00-05:00,40.22,40.22,40.22,40.22,218.0,2
2021-03-03 05:00:00-05:00,40.22,40.22,40.2,40.2,1263.0,10
2021-03-03 06:00:00-05:00,40.0,41.0,40.0,41.0,1628.0,12
2021-03-03 07:00:00-05:00,40.13,40.3,40.13,40.3,912.0,6
2021-03-03 08:00:00-05:00,40.29,40.29,39.74,39.75,5293.0,79
2021-03-03 09:00:00-05:00,39.78,40.26,39.51,39.99,1085888.0,6220
2021-03-03 10:00:00-05:00,40.02,40.4771,39.98,40.11,2522074.0,13625
2021-03-03 11:00:00-05:00,40.11,40.13,39.92,40.045,876853.0,6408
2021-03-03 12:00:00-05:00,40.04,40.06,39.86,39.895,432858.0,5075
2021-03-03 13:00:00-05:00,39.895,40.045,39.83,39.83,511986.0,5658
