date,open,high,low,close,volume,transactions
2021-03-01 07:00:00-05:00,170.92,175.79,170.92,175.79,948.0,25
2021-03-01 08:00:00-05:00,165.5,174.269,165.5,174.269,631.0,7
2021-03-01 09:00:00-05:00,170.45,174.83,170.23,172.29,145545.0,1670
2021-03-01 10:00:00-05:00,172.49,173.87,169.13,170.43,184598.0,2369
2021-03-01 11:00:00-05:00,170.35,172.48,169.67,172.02,110665.0,1714
2021-03-01 12:00:00-05:00,172.21,172.21,169.51,170.24,85201.0,1426
2021-03-01 13:00:00-05:00,170.37,170.52,168.45,169.875,74003.0,1249
2021-03-01 14:00:00-05:00,169.885,170.35,167.22,169.23,209637.0,2076
2021-03-01 15:00:00-05:00,169.1,170.3683,168.45,169.42,186298.0,3221
2021-03-01 16:00:00-05:00,169.65,169.65,169.65,169.65,1282.0,9
2021-03-01 18:00:00-05:00,169.6001,169.6001,169.6001,169.6001,500.0,2
2021-03-01 19:00:00-05:00,170.5,170.5,170.5,170.5,509.0,1
2021-03-02 07:00:00-05:00,170.25,170.25,170.25,170.25,104.0,2
2021-03-02 08:00:00-05:00,170.0,170.0,170.0,170.0,102.0,2
2021-03-02 09:00:00-05:00,169.99,171.26,165.62,170.72,106132.0,1098
2021-03-02 10:00:00-05:00,170.07,172.71,166.88,167.7,117362.0,1525
2021-03-02 11:00:00-05:00,167.61,168.9357,165.73,166.04,94915.0,1368
2021-03-02 12:00:00-05:00,165.9,166.85,164.8,165.61,91504.0,1575
2021-03-02 13:00:00-05:00,165.55,166.43,164.25,164.4425,103799.0,1950
2021-03-02 14:00:00-05:00,164.67,166.59,163.4861,166.24,94802.0,1758
2021-03-02 15:00:00-05:00,166.06,167.64,164.405,166.14,164257.0,2758
2021-03-02 16:00:00-05:00,166.15,166.15,166.15,166.15,2433.0,11
2021-03-02 18:00:00-05:00,166.6,166.6,166.6,166.6,106.0,3
2021-03-03 08:00:00-05:00,164.43,164.43,164.43,164.43,150.0,7
2021-03-03 09:00:00-05:00,164.65,167.79,163.63,165.05,61336.0,701
2021-03-03 10:00:00-05:00,165.31,166.7903,161.22,163.75,59191.0,1251
2021-03-03 11:00:00-05:00,163.86,164.3425,161.62,161.62,42750.0,839
2021-03-03 12:00:00-05:00,161.59,161.865,160.32,160.6001,37528.0,823
2021-03-03 13:00:00-05:00,160.61,161.65,159.03,159.12,41201.0,1062
2021-03-03 14:00:00-05:00,159.34,159.71,157.07,158.76,54659.0,1306
2021-03-03 15:00:00-05:00,158.78,159.025,154.205,155.17,220309.0,3856
2021-03-03 16:00:00-05:00,155.01,155.01,155.01,155.01,26787.0,13
2021-03-04 07:00:00-05:00,154.94,154.94,154.94,154.94,226.0,6
2021-03-04 08:00:00-05:00,151.4282,155.0,151.4282,155.0,230.0,2
2021-03-04 09:00:00-05:00,152.34,155.36,147.0,147.01,114042.0,1763
2021-03-04 10:00:00-05:00,147.41,148.75,143.62,146.2863,197919.0,3278
2021-03-04 11:00:00-05:00,146.635,147.565,144.58,146.35,171503.0,2035
2021-03-04 12:00:00-05:00,146.61,146.61,141.255,141.8993,158922.0,3581
2021-03-04 13:00:00-05:00,142.25,142.7413,138.26,138.61,140606.0,2708
2021-03-04 14:00:00-05:00,138.52,144.39,138.44,143.8,114929.0,2132
2021-03-04 15:00:00-05:00,143.98,145.86,142.13,144.97,294033.0,4670
2021-03-04 16:00:00-05:00,144.9,144.9,144.9,144.9,104.0,1
2021-03-05 08:00:00-05:00,144.0,145.37,143.77,143.77,1245.0,5
2021-03-05 09:00:00-05:00,144.54,145.0,137.52,139.05,75355.0,1281
2021-03-05 10:00:00-05:00,139.11,140.99,133.4854,133.63,131501.0,3062
2021-03-05 11:00:00-05:00,133.46,136.47,128.0101,136.47,202844.0,3921
2021-03-05 12:00:00-05:00,136.19,139.0,135.09,137.555,120306.0,2525
2021-03-05 13:00:00-05:00,137.2756,141.86,136.54,140.72,90128.0,1845
2021-03-05 14:00:00-05:00,140.92,142.59,139.61,141.9175,114123.0,2246
2021-03-05 15:00:00-05:00,142.0,143.645,141.0133,142.945,130620.0,3360
2021-03-08 09:00:00-05:00,143.08,146.87,140.42,143.67,61412.0,1223
2021-03-08 10:00:00-05:00,143.25,146.95,142.46,146.0976,69063.0,1407
2021-03-08 11:00:00-05:00,146.23,147.0,143.5994,143.65,78881.0,1401
2021-03-08 12:00:00-05:00,143.485,143.99,141.3201,141.3201,40222.0,1191
2021-03-08 13:00:00-05:00,141.64,142.05,138.57,139.28,52669.0,1414
2021-03-08 14:00:00-05:00,139.225,140.9368,138.88,139.23,37608.0,1032
2021-03-08 15:00:00-05:00,138.8088,139.59,137.5,138.59,102035.0,2731
2021-03-09 07:00:00-05:00,138.47,138.47,138.47,138.47,913.0,2
2021-03-09 08:00:00-05:00,138.47,143.0,138.47,141.07,1508.0,12
2021-03-09 09:00:00-05:00,143.48,147.69,143.42,145.7901,80827.0,1304
2021-03-09 10:00:00-05:00,146.245,147.89,143.07,143.52,86201.0,1555
2021-03-09 11:00:00-05:00,143.595,145.49,143.51,144.28,50007.0,953
2021-03-09 12:00:00-05:00,144.145,144.9999,143.56,143.56,44663.0,1128
2021-03-09 13:00:00-05:00,144.05,145.95,143.74,145.42,61901.0,1244
2021-03-09 14:00:00-05:00,145.6836,145.6836,143.75,144.14,56026.0,1467
2021-03-09 15:00:00-05:00,144.35,145.1325,143.81,144.5,86840.0,2571
2021-03-09 16:00:00-05:00,144.4,144.57,144.4,144.57,2895.0,16
2021-03-10 08:00:00-05:00,148.3,148.3,148.3,148.3,193.0,4
2021-03-10 09:00:00-05:00,147.49,150.79,146.5,149.0787,52130.0,914
2021-03-10 10:00:00-05:00,149.92,149.92,144.1101,144.81,58799.0,1217
2021-03-10 11:00:00-05:00,145.2,146.39,143.32,144.32,48411.0,1155
2021-03-10 12:00:00-05:00,144.415,144.558,142.25,144.06,39258.0,959
2021-03-10 13:00:00-05:00,144.13,144.67,140.43,142.015,59295.0,1286
2021-03-10 14:00:00-05:00,142.02,143.49,141.8,142.4543,51500.0,1213
2021-03-10 15:00:00-05:00,142.48,143.0,140.94,141.25,167987.0,3533
2021-03-10 16:00:00-05:00,141.1,141.1,141.1,141.1,110180.0,24
2021-03-11 08:00:00-05:00,150.8782,150.8782,147.57,147.57,1297.0,8
2021-03-11 09:00:00-05:00,148.07,150.68,146.12,149.03,79386.0,928
2021-03-11 10:00:00-05:00,149.17,151.44,147.35,150.42,80999.0,1528
2021-03-11 11:00:00-05:00,150.285,151.885,149.48,150.955,100198.0,1933
2021-03-11 12:00:00-05:00,150.82,151.3,149.63,150.09,63308.0,1103
2021-03-11 13:00:00-05:00,150.09,150.79,149.65,150.165,50648.0,1064
2021-03-11 14:00:00-05:00,150.4,150.91,148.995,149.45,78166.0,1546
2021-03-11 15:00:00-05:00,149.435,153.76,149.43,152.75,184888.0,3340
2021-03-11 16:00:00-05:00,152.76,152.76,152.6,152.61,81931.0,18
2021-03-12 05:00:00-05:00,152.6,152.6,140.21,140.21,322.0,7
2021-03-12 07:00:00-05:00,150.12,150.12,148.01,148.01,280.0,4
2021-03-12 09:00:00-05:00,150.92,154.83,147.36,152.59,40158.0,761
2021-03-12 10:00:00-05:00,152.52,154.29,151.05,152.92,35865.0,836
2021-03-12 11:00:00-05:00,152.605,154.0,152.1671,152.31,32351.0,882
2021-03-12 12:00:00-05:00,152.53,153.49,151.4917,152.26,19896.0,554
2021-03-12 13:00:00-05:00,152.26,152.93,152.01,152.22,16719.0,437
2021-03-12 14:00:00-05:00,152.21,152.99,151.87,151.92,28355.0,694
2021-03-12 15:00:00-05:00,152.0,152.75,150.79,152.18,131425.0,2592
2021-03-12 16:00:00-05:00,152.26,152.26,152.26,152.26,5399.0,8
2021-03-15 09:00:00-04:00,153.26,153.95,151.06,152.85,41545.0,718
2021-03-15 10:00:00-04:00,152.84,155.2864,152.01,153.66,65354.0,1423
2021-03-15 11:00:00-04:00,153.45,153.96,150.63,153.07,72143.0,1224
2021-03-15 12:00:00-04:00,152.41,154.0899,151.5,151.71,53266.0,1182
2021-03-15 13:00:00-04:00,152.03,154.53,151.72,154.305,23110.0,579
2021-03-15 14:00:00-04:00,154.56,154.95,153.75,154.135,29644.0,830
2021-03-15 15:00:00-04:00,154.04,154.08,152.27,153.56,81616.0,1867
2021-03-15 16:00:00-04:00,153.71,153.71,153.71,153.71,9525.0,13
2021-03-16 09:00:00-04:00,155.99,159.0212,152.01,153.725,40585.0,639
2021-03-16 10:00:00-04:00,153.21,153.55,150.35,150.35,55730.0,1287
2021-03-16 11:00:00-04:00,150.64,151.75,150.0,150.885,27776.0,667
2021-03-16 12:00:00-04:00,151.49,151.59,149.11,149.3,33591.0,826
2021-03-16 13:00:00-04:00,149.12,149.735,147.765,148.035,33995.0,805
2021-03-16 14:00:00-04:00,147.9,148.44,144.71,146.39,66202.0,1486
2021-03-16 15:00:00-04:00,146.005,148.1199,145.605,147.15,90438.0,1917
2021-03-16 18:00:00-04:00,147.35,149.5,147.35,149.5,1102.0,6
2021-03-17 09:00:00-04:00,143.17,146.9638,142.5,145.0,30010.0,623
2021-03-17 10:00:00-04:00,145.175,146.4,143.215,143.85,37418.0,753
2021-03-17 11:00:00-04:00,143.87,144.82,143.38,143.43,16665.0,470
2021-03-17 12:00:00-04:00,143.305,144.58,143.305,143.6,24135.0,741
2021-03-17 13:00:00-04:00,143.41,145.16,143.28,144.63,23031.0,593
2021-03-17 14:00:00-04:00,144.98,149.14,144.9,148.565,44287.0,1261
2021-03-17 15:00:00-04:00,148.63,149.2664,147.16,148.59,88786.0,2017
2021-03-17 16:00:00-04:00,148.43,148.43,148.43,148.43,7722.0,14
2021-03-18 08:00:00-04:00,148.0,148.0035,148.0,148.0035,805.0,5
2021-03-18 09:00:00-04:00,148.0,148.17,143.03,144.0,29626.0,627
2021-03-18 10:00:00-04:00,143.71,144.13,142.05,143.11,35848.0,1204
2021-03-18 11:00:00-04:00,143.69,144.33,142.58,142.9072,20534.0,573
2021-03-18 12:00:00-04:00,142.81,143.605,141.54,141.54,24895.0,700
2021-03-18 13:00:00-04:00,141.83,142.93,141.4501,142.75,31860.0,708
2021-03-18 14:00:00-04:00,142.6,143.2829,140.83,141.24,30285.0,884
2021-03-18 15:00:00-04:00,141.14,141.2464,139.67,140.0,109853.0,2914
2021-03-18 16:00:00-04:00,139.96,139.96,139.96,139.96,5878.0,13
2021-03-19 08:00:00-04:00,140.0,140.0,140.0,140.0,269.0,7
2021-03-19 09:00:00-04:00,139.11,141.17,138.71,139.87,64439.0,423
2021-03-19 10:00:00-04:00,139.8,144.78,137.865,144.66,49715.0,1488
2021-03-19 11:00:00-04:00,144.76,145.0,143.18,143.95,68085.0,1275
2021-03-19 12:00:00-04:00,143.61,144.5,143.53,144.5,64079.0,1025
2021-03-19 13:00:00-04:00,144.46,144.66,143.19,144.62,57520.0,929
2021-03-19 14:00:00-04:00,144.63,146.075,144.2101,145.5,74230.0,1304
2021-03-19 15:00:00-04:00,145.22,145.45,143.84,144.4,125774.0,2794
