date,open,high,low,close,volume,transactions
2021-03-01 09:00:00-05:00,2372.99,2382.3,2308.0401,2316.71,35981,1642
2021-03-01 10:00:00-05:00,2316.895,2338.45,2311.22,2332.61,51575,2220
2021-03-01 11:00:00-05:00,2333.21,2336.21,2312.985,2316.45,40092,1695
2021-03-01 12:00:00-05:00,2316.56,2323.77,2300.236,2300.7032,47071,1825
2021-03-01 13:00:00-05:00,2304.05,2312.73,2300.205,2309.55,33442,1082
2021-03-01 14:00:00-05:00,2310.355,2318.15,2309.56,2313.91,24456,1268
2021-03-01 15:00:00-05:00,2313.99,2322.39,2304.145,2320.91,76752,3513
2021-03-01 16:00:00-05:00,2320.5,2320.5,2320.5,2320.5,2091,27
2021-03-02 09:00:00-05:00,2338.0,2342.0,2312.835,2320.06,22773,863
2021-03-02 10:00:00-05:00,2320.05,2338.345,2291.4,2302.44,36692,1873
2021-03-02 11:00:00-05:00,2303.18,2304.21,2275.48,2288.43,30908,1533
2021-03-02 12:00:00-05:00,2285.805,2299.64,2283.075,2294.12,18986,961
2021-03-02 13:00:00-05:00,2296.31,2313.2,2285.87,2307.58,22684,1211
2021-03-02 14:00:00-05:00,2307.56,2308.945,2291.67,2298.76,19648,1117
2021-03-02 15:00:00-05:00,2296.87,2301.67,2275.0,2280.54,73828,3654
2021-03-02 16:00:00-05:00,2282.21,2282.21,2282.21,2282.21,2145,26
2021-03-03 08:00:00-05:00,2320.0,2320.0,2315.0,2315.0,852,2
2021-03-03 09:00:00-05:00,2286.23,2334.94,2281.12,2311.21,36429,1541
2021-03-03 10:00:00-05:00,2310.905,2320.345,2289.12,2311.2541,40111,2054
2021-03-03 11:00:00-05:00,2312.38,2332.56,2310.5775,2316.1975,31000,1612
2021-03-03 12:00:00-05:00,2313.58,2317.08,2297.335,2306.17,28276,1412
2021-03-03 13:00:00-05:00,2305.35,2328.3949,2300.47,2302.33,25542,1737
2021-03-03 14:00:00-05:00,2302.28,2307.665,2272.94,2295.33,32514,1941
2021-03-03 15:00:00-05:00,2295.02,2311.22,2272.14,2272.85,115144,5310
2021-03-03 16:00:00-05:00,2275.0,2296.5567,2275.0,2296.5567,3822,30
2021-03-04 09:00:00-05:00,2257.97,2277.165,2224.655,2225.985,60601,2044
2021-03-04 10:00:00-05:00,2224.34,2230.3325,2184.3376,2229.935,76763,3400
2021-03-04 11:00:00-05:00,2231.23,2250.0,2211.64,2235.43,49719,2183
2021-03-04 12:00:00-05:00,2239.16,2256.0,2192.326,2192.79,39606,2017
2021-03-04 13:00:00-05:00,2201.3,2213.0,2163.4,2177.31,56013,2578
2021-03-04 14:00:00-05:00,2178.8135,2237.495,2173.55,2231.03,54177,2366
2021-03-04 15:00:00-05:00,2231.555,2234.14,2200.76,2218.83,105403,4900
2021-03-04 16:00:00-05:00,2218.84,2219.35,2218.57,2219.35,4273,48
2021-03-05 08:00:00-05:00,2220.0,2220.0,2220.0,2220.0,642,2
2021-03-05 09:00:00-05:00,2235.77,2241.6,2196.06,2213.24,26848,997
2021-03-05 10:00:00-05:00,2218.26,2230.99,2201.6,2211.57,50021,2122
2021-03-05 11:00:00-05:00,2207.795,2219.69,2178.88,2215.28,46184,1758
2021-03-05 12:00:00-05:00,2215.7,2264.07,2214.66,2252.79,53548,2100
2021-03-05 13:00:00-05:00,2249.57,2269.26,2248.28,2255.78,35145,1819
2021-03-05 14:00:00-05:00,2253.465,2287.855,2247.575,2287.54,38713,1674
2021-03-05 15:00:00-05:00,2288.53,2312.7997,2286.5,2307.4,125629,5823
2021-03-05 16:00:00-05:00,2307.1,2307.1,2307.1,2307.1,4357,41
2021-03-05 17:00:00-05:00,2307.42,2307.42,2307.42,2307.42,100,1
2021-03-05 18:00:00-05:00,2305.96,2308.04,2305.96,2308.04,252,4
2021-03-08 09:00:00-05:00,2303.43,2354.94,2298.355,2331.755,86192,2828
2021-03-08 10:00:00-05:00,2333.0,2369.99,2320.5,2344.38,78207,3005
2021-03-08 11:00:00-05:00,2348.36,2372.47,2344.95,2360.905,51891,2397
2021-03-08 12:00:00-05:00,2364.85,2396.51,2360.0,2387.39,48817,2357
2021-03-08 13:00:00-05:00,2389.99,2412.34,2372.5574,2372.68,74424,3262
2021-03-08 14:00:00-05:00,2372.37,2391.79,2363.49,2375.0,58384,2222
2021-03-08 15:00:00-05:00,2373.23,2390.0,2363.2,2369.09,119150,5539
2021-03-08 16:00:00-05:00,2368.74,2368.8,2368.74,2368.74,5169,42
2021-03-09 09:00:00-05:00,2380.14,2391.34,2344.01,2384.91,59272,1814
2021-03-09 10:00:00-05:00,2397.95,2407.775,2370.89,2405.99,71249,3004
2021-03-09 11:00:00-05:00,2404.76,2434.23,2403.29,2426.6273,76047,3213
2021-03-09 12:00:00-05:00,2425.565,2441.75,2387.59,2388.01,48796,2228
2021-03-09 13:00:00-05:00,2390.11,2396.525,2369.595,2382.57,38249,1816
2021-03-09 14:00:00-05:00,2383.73,2399.99,2376.605,2389.97,34879,1696
2021-03-09 15:00:00-05:00,2387.97,2404.55,2363.63,2365.69,85190,4372
2021-03-09 16:00:00-05:00,2366.79,2366.79,2366.79,2366.79,10087,30
2021-03-10 09:00:00-05:00,2379.35,2420.0,2375.79,2380.605,47739,1439
2021-03-10 10:00:00-05:00,2381.84,2406.48,2364.76,2399.06,82068,2464
2021-03-10 11:00:00-05:00,2402.07,2418.62,2384.28,2392.97,68625,1962
2021-03-10 12:00:00-05:00,2391.53,2392.96,2363.91,2390.555,39005,1520
2021-03-10 13:00:00-05:00,2397.62,2398.35,2376.33,2390.48,29533,1104
2021-03-10 14:00:00-05:00,2387.09,2402.6,2385.83,2391.24,55122,1370
2021-03-10 15:00:00-05:00,2390.17,2390.73,2367.23,2367.23,84770,3294
2021-03-10 16:00:00-05:00,2369.32,2369.32,2369.32,2369.32,2407,28
2021-03-10 17:00:00-05:00,2369.35,2369.35,2369.35,2369.35,162,5
2021-03-10 19:00:00-05:00,2369.4,2369.4,2369.4,2369.4,100,1
2021-03-11 09:00:00-05:00,2413.66,2413.66,2383.01,2393.69,30361,1225
2021-03-11 10:00:00-05:00,2396.865,2413.21,2388.82,2404.58,60344,2615
2021-03-11 11:00:00-05:00,2404.355,2447.465,2404.355,2413.025,72941,3052
2021-03-11 12:00:00-05:00,2412.43,2414.81,2389.05,2389.725,65211,1984
2021-03-11 13:00:00-05:00,2391.0,2404.51,2373.975,2375.66,39002,1715
2021-03-11 14:00:00-05:00,2377.08,2385.735,2367.99,2368.5,40306,1635
2021-03-11 15:00:00-05:00,2365.38,2369.045,2343.78,2362.05,130301,4667
2021-03-11 16:00:00-05:00,2362.06,2366.78,2362.06,2366.78,2554,32
2021-03-12 08:00:00-05:00,2362.06,2362.06,2362.06,2362.06,397,14
2021-03-12 09:00:00-05:00,2358.99,2410.0,2350.88,2406.34,120818,1077
2021-03-12 10:00:00-05:00,2404.57,2412.83,2370.01,2383.15,50697,2265
2021-03-12 11:00:00-05:00,2384.07,2408.2595,2377.775,2397.81,34901,1390
2021-03-12 12:00:00-05:00,2397.5,2402.49,2380.89,2381.71,11146,644
2021-03-12 13:00:00-05:00,2379.83,2386.6,2374.16,2376.195,20917,1118
2021-03-12 14:00:00-05:00,2378.17,2398.195,2378.1,2397.05,14001,709
2021-03-12 15:00:00-05:00,2396.99,2405.02,2388.2764,2401.05,72779,3338
2021-03-12 16:00:00-05:00,2401.04,2401.04,2401.04,2401.04,25065,13
2021-03-15 09:00:00-04:00,2412.76,2417.95,2374.01,2375.84,37423,1583
2021-03-15 10:00:00-04:00,2382.905,2429.88,2375.94,2403.62,62666,2179
2021-03-15 11:00:00-04:00,2406.87,2408.72,2383.86,2400.0,49331,1704
2021-03-15 12:00:00-04:00,2398.62,2411.9999,2395.55,2406.49,22214,888
2021-03-15 13:00:00-04:00,2406.51,2415.905,2404.815,2413.405,28777,1143
2021-03-15 14:00:00-04:00,2415.765,2437.525,2415.765,2420.7,73325,1882
2021-03-15 15:00:00-04:00,2420.68,2443.52,2408.2,2439.49,129118,4596
2021-03-15 16:00:00-04:00,2439.5,2439.5,2411.0,2438.97,13503,56
2021-03-16 09:00:00-04:00,2416.35,2429.53,2380.01,2404.4,75869,1933
2021-03-16 10:00:00-04:00,2405.205,2418.645,2399.6,2417.845,47718,1642
2021-03-16 11:00:00-04:00,2415.99,2418.17,2402.46,2417.57,26895,1280
2021-03-16 12:00:00-04:00,2414.09,2427.42,2387.69,2394.36,46172,1925
2021-03-16 13:00:00-04:00,2393.34,2399.235,2384.555,2395.345,31082,1550
2021-03-16 14:00:00-04:00,2394.4,2401.93,2388.65,2393.25,28087,1447
2021-03-16 15:00:00-04:00,2393.31,2400.91,2390.77,2393.2,67669,3411
2021-03-16 16:00:00-04:00,2396.56,2396.56,2396.56,2396.56,2751,39
2021-03-17 09:00:00-04:00,2396.56,2416.62,2370.0,2406.175,21120,620
2021-03-17 10:00:00-04:00,2406.82,2413.34,2389.239,2396.2,43613,1335
2021-03-17 11:00:00-04:00,2396.2,2421.27,2392.01,2417.74,28565,1221
2021-03-17 12:00:00-04:00,2417.745,2437.37,2417.745,2427.075,36979,1301
2021-03-17 13:00:00-04:00,2426.385,2432.67,2409.56,2410.95,37083,1350
2021-03-17 14:00:00-04:00,2413.225,2467.035,2412.08,2456.36,72285,3101
2021-03-17 15:00:00-04:00,2458.795,2469.58,2443.149,2463.54,114324,4203
2021-03-17 16:00:00-04:00,2461.78,2466.7,2461.78,2466.7,4299,44
2021-03-18 09:00:00-04:00,2424.67,2447.46,2415.95,2431.71,51685,1163
2021-03-18 10:00:00-04:00,2428.7,2428.7,2401.315,2403.78,51779,2160
2021-03-18 11:00:00-04:00,2405.75,2417.67,2401.79,2416.66,64690,1894
2021-03-18 12:00:00-04:00,2417.96,2434.0,2409.25,2410.66,60291,2455
2021-03-18 13:00:00-04:00,2411.04,2430.14,2411.04,2427.43,28568,1266
2021-03-18 14:00:00-04:00,2427.44,2427.44,2385.03,2395.45,52705,2503
2021-03-18 15:00:00-04:00,2396.0795,2397.67,2344.0,2347.99,137246,5888
2021-03-18 16:00:00-04:00,2346.95,2346.95,2346.95,2346.95,2568,23
2021-03-19 09:00:00-04:00,2332.82,2350.09,2285.07,2287.5,90620,2207
2021-03-19 10:00:00-04:00,2291.06,2315.615,2265.81,2278.23,89718,3893
2021-03-19 11:00:00-04:00,2277.845,2310.52,2275.14,2304.47,38555,1781
2021-03-19 12:00:00-04:00,2302.275,2310.73,2299.36,2310.73,30923,1458
2021-03-19 13:00:00-04:00,2310.0,2310.0,2294.15,2294.15,23046,1351
2021-03-19 14:00:00-04:00,2294.475,2305.0,2292.8,2303.84,34541,1895
2021-03-19 15:00:00-04:00,2308.12,2313.11,2280.0,2285.13,124892,5570
2021-03-19 16:00:00-04:00,2287.74,2287.74,2287.74,2287.74,37105,63
2021-03-19 19:00:00-04:00,2297.25,2297.25,2297.25,2297.25,940,8
2021-03-22 09:00:00-04:00,2340.0,2340.0,2295.61,2325.97,47206,1680
2021-03-22 10:00:00-04:00,2333.06,2337.99,2290.64,2290.64,58379,2468
2021-03-22 11:00:00-04:00,2291.784,2292.735,2270.33,2274.95,52302,2128
2021-03-22 12:00:00-04:00,2274.87,2274.87,2246.38,2258.95,58916,2695
2021-03-22 13:00:00-04:00,2258.2,2259.055,2242.07,2242.07,43477,2012
2021-03-22 14:00:00-04:00,2244.09,2245.74,2237.64,2239.0,30110,1557
2021-03-22 15:00:00-04:00,2237.69,2240.16,2225.0,2231.75,127548,5783
2021-03-22 16:00:00-04:00,2231.89,2231.89,2231.89,2231.89,58093,50
2021-03-22 18:00:00-04:00,2231.89,2231.89,2231.89,2231.89,660,1
2021-03-22 19:00:00-04:00,2268.0,2268.0,2268.0,2268.0,100,1
2021-03-23 09:00:00-04:00,2250.62,2250.62,2211.8,2223.71,52723,1743
2021-03-23 10:00:00-04:00,2228.079,2230.59,2195.135,2199.77,43854,2183
2021-03-23 11:00:00-04:00,2199.77,2204.87,2188.79,2191.9,55308,2370
2021-03-23 12:00:00-04:00,2191.9,2213.17,2184.47,2212.91,40281,1824
2021-03-23 13:00:00-04:00,2213.235,2217.6,2209.06,2215.28,37666,1712
2021-03-23 14:00:00-04:00,2215.29,2220.58,2204.94,2213.93,47785,2165
2021-03-23 15:00:00-04:00,2214.38,2228.19,2205.08,2215.02,137275,5513
2021-03-23 16:00:00-04:00,2215.0,2215.0,2215.0,2215.0,1129,27
2021-03-24 09:00:00-04:00,2231.8,2267.855,2230.495,2243.245,34286,1325
2021-03-24 10:00:00-04:00,2245.69,2267.92,2245.69,2261.45,44772,1946
2021-03-24 11:00:00-04:00,2263.655,2278.0,2256.095,2256.095,51817,2328
2021-03-24 12:00:00-04:00,2256.92,2276.03,2251.94,2265.01,27084,1427
2021-03-24 13:00:00-04:00,2262.01,2262.01,2235.64,2246.45,35578,1534
2021-03-24 14:00:00-04:00,2245.03,2245.03,2206.63,2213.725,47222,2095
2021-03-24 15:00:00-04:00,2214.465,2223.64,2199.01,2200.67,80199,3771
2021-03-24 16:00:00-04:00,2202.73,2202.73,2202.73,2202.73,21682,32
2021-03-25 08:00:00-04:00,2186.0,2186.0,2186.0,2186.0,207,17
2021-03-25 09:00:00-04:00,2186.7,2233.05,2173.0,2233.05,34654,1474
2021-03-25 10:00:00-04:00,2227.02,2236.92,2186.5088,2201.195,39174,1783
2021-03-25 11:00:00-04:00,2204.21,2252.72,2175.69,2252.72,80518,3499
2021-03-25 12:00:00-04:00,2252.74,2278.0,2249.79,2269.99,57160,2848
2021-03-25 13:00:00-04:00,2267.44,2271.125,2255.13,2255.13,27069,1452
2021-03-25 14:00:00-04:00,2252.82,2274.23,2251.39,2273.035,37833,1781
2021-03-25 15:00:00-04:00,2273.13,2282.88,2258.92,2268.51,86893,4407
2021-03-25 16:00:00-04:00,2268.91,2268.91,2268.91,2268.91,1339,26
2021-03-26 07:00:00-04:00,2265.0,2265.0,2265.0,2265.0,379,9
2021-03-26 08:00:00-04:00,2268.0,2268.0,2268.0,2268.0,100,1
2021-03-26 09:00:00-04:00,2275.94,2281.72,2246.64,2268.94,21567,902
2021-03-26 10:00:00-04:00,2268.945,2283.7126,2255.0001,2255.5,29422,1948
2021-03-26 11:00:00-04:00,2256.86,2276.915,2256.86,2264.57,24579,1201
2021-03-26 12:00:00-04:00,2260.83,2273.29,2260.35,2260.35,32798,1361
2021-03-26 13:00:00-04:00,2258.42,2275.75,2255.6944,2275.75,36871,1643
2021-03-26 14:00:00-04:00,2273.88,2284.15,2267.08,2281.745,43635,1879
2021-03-26 15:00:00-04:00,2284.4125,2329.33,2283.83,2322.4,130368,5025
2021-03-26 16:00:00-04:00,2323.53,2323.53,2323.53,2323.53,2645,42
2021-03-29 09:00:00-04:00,2311.0,2368.74,2307.41,2354.77,56642,1932
2021-03-29 10:00:00-04:00,2347.4,2362.99,2328.64,2329.9225,49985,2143
2021-03-29 11:00:00-04:00,2326.67,2347.55,2321.71,2342.44,27768,1418
2021-03-29 12:00:00-04:00,2349.0921,2355.73,2332.03,2355.73,24324,1034
2021-03-29 13:00:00-04:00,2357.3028,2375.0,2357.3028,2366.96,38067,1587
2021-03-29 14:00:00-04:00,2364.3522,2367.2599,2338.3,2338.3,30873,1294
2021-03-29 15:00:00-04:00,2346.665,2368.96,2346.665,2351.0,60538,2867
2021-03-29 16:00:00-04:00,2351.36,2351.36,2351.36,2351.36,2505,32
2021-03-30 09:00:00-04:00,2343.25,2349.775,2316.79,2340.0,24721,827
2021-03-30 10:00:00-04:00,2346.98,2361.03,2322.52,2347.09,32200,1379
2021-03-30 11:00:00-04:00,2351.54,2370.23,2342.39,2342.85,25137,1212
2021-03-30 12:00:00-04:00,2345.96,2353.93,2336.76,2353.93,28560,1347
2021-03-30 13:00:00-04:00,2354.725,2354.725,2339.21,2344.49,15267,789
2021-03-30 14:00:00-04:00,2344.42,2350.925,2340.155,2349.6,11193,682
2021-03-30 15:00:00-04:00,2354.11,2361.61,2322.61,2333.35,60880,3089
2021-03-30 16:00:00-04:00,2334.89,2335.0,2334.89,2335.0,3136,34
2021-03-31 09:00:00-04:00,2345.68,2355.62,2331.405,2344.67,25742,979
2021-03-31 10:00:00-04:00,2350.065,2363.9246,2339.0,2353.725,37487,1688
2021-03-31 11:00:00-04:00,2354.385,2363.605,2348.89,2353.92,24023,1156
2021-03-31 12:00:00-04:00,2352.34,2353.595,2335.18,2346.66,24467,1198
2021-03-31 13:00:00-04:00,2351.235,2354.3,2344.7,2345.99,160943,688
2021-03-31 14:00:00-04:00,2344.82,2344.82,2333.33,2341.93,17751,1071
2021-03-31 15:00:00-04:00,2341.22,2348.05,2319.31,2330.85,118317,5176
2021-03-31 16:00:00-04:00,2335.52,2335.52,2329.84,2329.84,6691,52
2021-04-01 09:00:00-04:00,2354.28,2376.7,2348.23,2373.5875,29101,1244
2021-04-01 10:00:00-04:00,2376.49,2377.26,2354.61,2365.37,27323,1477
2021-04-01 11:00:00-04:00,2367.155,2389.725,2355.28,2384.94,34628,1823
2021-04-01 12:00:00-04:00,2382.74,2384.19,2370.63,2370.63,13346,689
2021-04-01 13:00:00-04:00,2374.485,2376.75,2362.01,2374.97,18413,926
2021-04-01 14:00:00-04:00,2375.82,2383.99,2375.82,2376.48,11134,650
2021-04-01 15:00:00-04:00,2378.39,2385.95,2372.53,2385.79,56100,3340
2021-04-01 16:00:00-04:00,2382.46,2382.46,2377.51,2377.51,1026,6
2021-04-05 09:00:00-04:00,2410.0,2420.195,2391.01,2414.445,36256,1434
2021-04-05 10:00:00-04:00,2415.345,2415.67,2386.86,2412.235,43578,2123
2021-04-05 11:00:00-04:00,2408.515,2417.245,2402.58,2402.58,24504,1441
2021-04-05 12:00:00-04:00,2404.925,2413.965,2396.7,2411.04,24490,1060
2021-04-05 13:00:00-04:00,2411.495,2436.88,2411.495,2427.92,31318,1822
2021-04-05 14:00:00-04:00,2429.955,2432.34,2420.98,2423.42,36389,1902
2021-04-05 15:00:00-04:00,2423.57,2423.57,2395.5,2407.27,101346,4456
2021-04-05 16:00:00-04:00,2409.18,2409.18,2409.18,2409.18,2440,21
2021-04-06 09:00:00-04:00,2415.0,2426.09,2407.67,2421.14,32468,1391
2021-04-06 10:00:00-04:00,2419.455,2426.3635,2410.345,2417.9741,56901,2365
2021-04-06 11:00:00-04:00,2412.5,2444.7,2407.23,2443.05,48412,2168
2021-04-06 12:00:00-04:00,2441.885,2447.41,2431.8,2436.27,34493,1811
2021-04-06 13:00:00-04:00,2437.45,2441.78,2428.3,2438.3,19449,1059
2021-04-06 14:00:00-04:00,2439.13,2445.13,2433.545,2436.835,25151,1277
2021-04-06 15:00:00-04:00,2436.89,2438.46,2415.3,2419.35,67986,3541
2021-04-06 16:00:00-04:00,2422.0,2422.0,2422.0,2422.0,2639,30
2021-04-06 19:00:00-04:00,2431.0,2431.0,2431.0,2431.0,100,1
2021-04-07 09:00:00-04:00,2429.06,2440.21,2422.08,2436.2,26282,925
2021-04-07 10:00:00-04:00,2434.98,2435.6,2415.9397,2427.52,28547,1380
2021-04-07 11:00:00-04:00,2424.87,2424.87,2395.93,2405.68,38631,1892
2021-04-07 12:00:00-04:00,2403.97,2412.99,2395.57,2407.2,13252,756
2021-04-07 13:00:00-04:00,2408.0,2414.45,2403.73,2414.44,8724,632
2021-04-07 14:00:00-04:00,2415.73,2425.0,2415.73,2419.6,10852,686
2021-04-07 15:00:00-04:00,2422.36,2423.42,2404.48,2413.06,44278,2425
2021-04-07 16:00:00-04:00,2410.64,2410.64,2410.64,2410.64,1923,32
2021-04-08 09:00:00-04:00,2392.0,2419.92,2392.0,2408.8006,29251,1254
2021-04-08 10:00:00-04:00,2404.865,2435.43,2396.0,2420.22,35115,1792
2021-04-08 11:00:00-04:00,2420.26,2425.305,2414.0,2423.76,20274,1245
2021-04-08 12:00:00-04:00,2425.45,2434.53,2418.79,2432.24,13091,626
2021-04-08 13:00:00-04:00,2430.5,2433.605,2419.2,2430.64,17945,847
2021-04-08 14:00:00-04:00,2431.36,2435.3,2414.0,2417.38,15860,864
2021-04-08 15:00:00-04:00,2423.11,2432.8,2417.95,2428.37,31378,2291
2021-04-08 16:00:00-04:00,2427.99,2427.99,2427.99,2427.99,1549,33
2021-04-09 08:00:00-04:00,2427.0,2427.0,2427.0,2427.0,154,4
2021-04-09 09:00:00-04:00,2434.0,2437.51,2405.55,2418.085,18914,807
2021-04-09 10:00:00-04:00,2414.3039,2424.89,2405.6125,2420.34,18603,1081
2021-04-09 11:00:00-04:00,2423.635,2429.62,2420.065,2427.27,13487,739
2021-04-09 12:00:00-04:00,2427.77,2440.0,2427.49,2437.21,27437,1251
2021-04-09 13:00:00-04:00,2438.48,2445.68,2433.72,2444.0,15359,926
2021-04-09 14:00:00-04:00,2446.42,2450.0,2442.85,2445.56,14990,809
2021-04-09 15:00:00-04:00,2444.52,2454.72,2436.18,2447.66,60309,3111
2021-04-09 16:00:00-04:00,2450.06,2450.06,2450.06,2450.06,2219,17
2021-04-12 09:00:00-04:00,2436.0,2450.2003,2411.74,2416.5,23902,1032
2021-04-12 10:00:00-04:00,2421.805,2429.43,2403.43,2403.43,43162,2000
2021-04-12 11:00:00-04:00,2403.93,2416.18,2403.68,2413.98,72238,2133
2021-04-12 12:00:00-04:00,2414.38,2416.33,2400.44,2403.24,81270,2322
2021-04-12 13:00:00-04:00,2402.19,2408.19,2396.49,2405.04,91542,2422
2021-04-12 14:00:00-04:00,2405.09,2412.94,2398.49,2399.24,86071,2280
2021-04-12 15:00:00-04:00,2399.8,2413.38,2398.14,2410.84,117529,4056
2021-04-12 16:00:00-04:00,2409.05,2409.05,2409.05,2409.05,4654,30
2021-04-13 06:00:00-04:00,2415.0,2415.0,2415.0,2415.0,100,1
2021-04-13 07:00:00-04:00,2402.0,2402.0,2402.0,2402.0,276,7
2021-04-13 08:00:00-04:00,2409.05,2430.31,2397.0,2415.01,5546,19
2021-04-13 09:00:00-04:00,2403.92,2415.79,2367.15,2372.51,90817,2890
2021-04-13 10:00:00-04:00,2376.465,2399.76,2372.71,2392.71,145118,4020
2021-04-13 11:00:00-04:00,2393.06,2413.91,2393.06,2397.46,124819,3919
2021-04-13 12:00:00-04:00,2398.41,2405.91,2386.56,2388.51,87433,2672
2021-04-13 13:00:00-04:00,2386.66,2392.41,2382.66,2387.13,84989,2806
2021-04-13 14:00:00-04:00,2390.69,2406.68,2387.18,2398.78,93645,3269
2021-04-13 15:00:00-04:00,2398.48,2414.08,2396.63,2403.005,107731,4045
2021-04-13 16:00:00-04:00,2404.29,2404.29,2404.29,2404.29,4619,28
2021-04-14 08:00:00-04:00,2405.0,2405.25,2405.0,2405.25,2660,17
2021-04-14 09:00:00-04:00,2410.63,2444.75,2407.48,2435.1,102628,2236
2021-04-14 10:00:00-04:00,2433.41,2468.31,2430.61,2457.49,183111,4571
2021-04-14 11:00:00-04:00,2455.87,2465.32,2449.51,2462.62,139027,3213
2021-04-14 12:00:00-04:00,2463.27,2475.0,2458.27,2470.12,107202,2838
2021-04-14 13:00:00-04:00,2472.77,2482.82,2465.77,2471.68,114099,2905
2021-04-14 14:00:00-04:00,2470.72,2474.27,2450.33,2455.43,115786,2860
2021-04-14 15:00:00-04:00,2455.18,2464.73,2442.68,2457.0,134954,4311
2021-04-14 16:00:00-04:00,2454.22,2454.22,2454.22,2454.22,4714,25
2021-04-15 09:00:00-04:00,2467.54,2468.93,2426.95,2435.8,73258,1995
2021-04-15 10:00:00-04:00,2435.24,2462.76,2429.05,2449.25,189604,4265
2021-04-15 11:00:00-04:00,2449.71,2457.55,2444.45,2453.7,98636,2503
2021-04-15 12:00:00-04:00,2453.7,2456.05,2438.9,2442.05,98972,2495
2021-04-15 13:00:00-04:00,2440.26,2446.87,2432.51,2435.75,31768,1150
2021-04-15 14:00:00-04:00,2439.1,2441.17,2432.0,2433.37,18561,873
2021-04-15 15:00:00-04:00,2434.66,2440.91,2426.18,2435.66,79637,2749
2021-04-15 16:00:00-04:00,2433.21,2433.21,2433.21,2433.21,5509,36
2021-04-16 09:00:00-04:00,2455.11,2489.41,2435.83,2486.51,137606,3211
2021-04-16 10:00:00-04:00,2486.41,2486.41,2466.3315,2474.71,159300,3649
2021-04-16 11:00:00-04:00,2474.56,2484.91,2471.31,2477.26,125907,2741
2021-04-16 12:00:00-04:00,2479.0,2483.11,2467.21,2479.495,84157,2146
2021-04-16 13:00:00-04:00,2478.38,2482.08,2474.0,2480.37,36213,1055
2021-04-16 14:00:00-04:00,2478.79,2484.89,2474.51,2480.49,76727,2152
2021-04-16 15:00:00-04:00,2476.78,2481.41,2466.01,2475.72,105460,3839
2021-04-16 16:00:00-04:00,2476.9,2476.9,2476.9,2476.9,9916,44
2021-04-19 09:00:00-04:00,2476.0,2488.32,2466.01,2483.38,75234,1963
2021-04-19 10:00:00-04:00,2479.54,2482.46,2443.11,2460.28,95912,2535
