date,open,high,low,close,volume,transactions
2021-03-01 08:00:00-05:00,33.6,33.98,33.6,33.98,1168.0,15
2021-03-01 09:00:00-05:00,33.99,34.3,33.535,34.24,343893.0,3371
2021-03-01 10:00:00-05:00,34.24,34.72,34.19,34.53,485885.0,4977
2021-03-01 11:00:00-05:00,34.54,34.745,34.5,34.54,749723.0,6412
2021-03-01 12:00:00-05:00,34.53,34.81,34.44,34.78,1020103.0,6986
2021-03-01 13:00:00-05:00,34.78,35.0,34.7,34.8777,988432.0,7092
2021-03-01 14:00:00-05:00,34.88,34.97,34.72,34.835,564335.0,5057
2021-03-01 15:00:00-05:00,34.84,34.96,34.77,34.8,1297556.0,11285
2021-03-01 16:00:00-05:00,34.86,35.0,34.79,34.92,66643.0,41
2021-03-02 08:00:00-05:00,34.73,34.73,34.72,34.73,706.0,7
2021-03-02 09:00:00-05:00,34.69,35.45,34.52,35.31,789526.0,4609
2021-03-02 10:00:00-05:00,35.29,37.16,35.26,37.11,2254367.0,16667
2021-03-02 11:00:00-05:00,37.0999,37.68,36.76,37.63,1744930.0,12715
2021-03-02 12:00:00-05:00,37.58,38.05,37.5,37.945,1038809.0,8407
2021-03-02 13:00:00-05:00,37.95,38.5,37.8104,38.4099,957591.0,8966
2021-03-02 14:00:00-05:00,38.45,38.81,37.99,38.25,1369330.0,12517
2021-03-02 15:00:00-05:00,38.25,38.51,37.94,37.94,2843764.0,23767
2021-03-02 16:00:00-05:00,37.95,38.16,37.64,38.16,100799.0,39
2021-03-02 19:00:00-05:00,38.15,38.15,38.15,38.15,173.0,1
2021-03-03 04:00:00-05:00,37.96,37.96,37.94,37.94,2108.0,3
2021-03-03 06:00:00-05:00,37.9,37.9,37.9,37.9,200.0,1
2021-03-03 07:00:00-05:00,38.0,38.0,37.95,38.0,400.0,3
2021-03-03 08:00:00-05:00,37.84,37.89,37.78,37.78,2076.0,31
2021-03-03 09:00:00-05:00,38.9,38.9,37.51,38.545,1256848.0,6964
2021-03-03 10:00:00-05:00,38.545,39.82,38.49,39.64,2646803.0,17507
2021-03-03 11:00:00-05:00,39.64,40.55,39.57,40.15,2329324.0,15389
2021-03-03 12:00:00-05:00,40.14,40.17,39.535,39.54,1858349.0,14824
2021-03-03 13:00:00-05:00,39.53,40.02,39.42,39.71,1371360.0,11811
2021-03-03 14:00:00-05:00,39.73,39.78,39.165,39.26,1314750.0,11635
2021-03-03 15:00:00-05:00,39.26,39.58,39.115,39.33,2023177.0,17376
2021-03-03 16:00:00-05:00,39.33,39.4815,38.53,39.4815,39859.0,34
2021-03-03 19:00:00-05:00,39.12,39.12,39.11,39.12,2100.0,10
2021-03-04 05:00:00-05:00,39.31,39.31,39.31,39.31,200.0,3
2021-03-04 06:00:00-05:00,39.0,39.0,39.0,39.0,100.0,1
2021-03-04 07:00:00-05:00,38.75,38.78,38.5,38.75,3077.0,12
2021-03-04 08:00:00-05:00,37.992,37.992,37.99,37.99,213.0,3
2021-03-04 09:00:00-05:00,39.36,40.33,39.36,40.02,790491.0,6552
2021-03-04 10:00:00-05:00,40.02,40.03,38.55,38.6,1298743.0,12564
2021-03-04 11:00:00-05:00,38.65,38.84,38.27,38.74,585820.0,6976
2021-03-04 12:00:00-05:00,38.76,38.89,38.13,38.215,556903.0,7410
2021-03-04 13:00:00-05:00,38.2,38.38,37.96,38.04,587713.0,7169
2021-03-04 14:00:00-05:00,38.02,39.13,38.0,39.02,518365.0,7181
2021-03-04 15:00:00-05:00,39.0,39.12,38.75,39.11,1284195.0,13465
2021-03-04 16:00:00-05:00,39.09,39.17,39.09,39.09,24885.0,31
2021-03-05 08:00:00-05:00,39.54,39.54,39.54,39.54,173.0,3
2021-03-05 09:00:00-05:00,39.11,40.24,39.11,40.09,834009.0,5358
2021-03-05 10:00:00-05:00,40.09,41.44,39.88,41.045,1214109.0,12891
2021-03-05 11:00:00-05:00,41.045,41.25,40.67,41.06,1069945.0,9646
2021-03-05 12:00:00-05:00,41.04,41.04,40.71,40.81,511424.0,5314
2021-03-05 13:00:00-05:00,40.82,41.13,40.59,41.02,401285.0,5361
2021-03-05 14:00:00-05:00,41.05,41.2967,40.84,41.245,382111.0,4865
2021-03-05 15:00:00-05:00,41.26,41.38,41.07,41.29,1355545.0,15250
2021-03-05 16:00:00-05:00,41.29,41.29,41.28,41.28,499329.0,55
2021-03-05 18:00:00-05:00,41.11,41.3,41.11,41.3,379.0,2
2021-03-05 19:00:00-05:00,41.3,41.3,41.3,41.3,328.0,4
2021-03-08 07:00:00-05:00,41.09,41.09,40.6,40.6,1017.0,13
2021-03-08 08:00:00-05:00,41.11,42.29,41.11,41.22,2323.0,23
2021-03-08 09:00:00-05:00,40.7,41.28,40.37,41.0,630466.0,5676
2021-03-08 10:00:00-05:00,41.0,41.05,40.14,40.67,785804.0,8442
2021-03-08 11:00:00-05:00,40.67,40.86,40.4,40.57,574262.0,6422
2021-03-08 12:00:00-05:00,40.57,41.69,40.57,41.67,646927.0,7239
2021-03-08 13:00:00-05:00,41.68,42.045,41.68,41.74,671617.0,6549
2021-03-08 14:00:00-05:00,41.73,42.6247,41.73,42.06,1025725.0,9164
2021-03-08 15:00:00-05:00,42.05,42.51,41.94,42.35,1099256.0,12978
2021-03-08 16:00:00-05:00,42.33,42.33,42.33,42.33,56900.0,51
2021-03-08 19:00:00-05:00,42.7,42.7,42.7,42.7,156.0,2
2021-03-09 07:00:00-05:00,42.68,42.68,42.5,42.5,1008.0,6
2021-03-09 09:00:00-05:00,42.48,42.48,40.815,41.015,578986.0,5447
2021-03-09 10:00:00-05:00,41.03,41.03,40.06,40.595,1318914.0,12899
2021-03-09 11:00:00-05:00,40.6,40.855,40.44,40.72,572221.0,6394
2021-03-09 12:00:00-05:00,40.72,40.79,40.0501,40.08,540276.0,5884
2021-03-09 13:00:00-05:00,40.09,40.49,40.04,40.34,403042.0,4764
2021-03-09 14:00:00-05:00,40.34,40.6,40.23,40.48,429062.0,4873
2021-03-09 15:00:00-05:00,40.47,40.64,40.24,40.3,904543.0,10716
2021-03-09 16:00:00-05:00,40.32,40.5045,40.32,40.5045,138121.0,39
2021-03-09 17:00:00-05:00,40.28,40.28,40.23,40.23,812.0,7
2021-03-09 18:00:00-05:00,40.09,40.09,40.09,40.09,100.0,1
