date,open,high,low,close,volume,transactions
2021-03-01 04:00:00-05:00,61.13,61.55,61.13,61.55,9058.0,37
2021-03-01 05:00:00-05:00,61.56,61.56,61.45,61.54,13376.0,65
2021-03-01 06:00:00-05:00,61.54,61.54,61.05,61.24,8097.0,70
2021-03-01 07:00:00-05:00,61.25,61.5,61.25,61.5,15446.0,144
2021-03-01 08:00:00-05:00,61.36,61.75,61.15,61.32,40258.0,412
2021-03-01 09:00:00-05:00,61.44,62.76,61.33,62.64,5171891.0,42377
2021-03-01 10:00:00-05:00,62.65,63.02,62.395,62.875,5137086.0,38766
2021-03-01 11:00:00-05:00,62.875,63.0,62.71,62.93,2885608.0,23823
2021-03-01 12:00:00-05:00,62.935,62.95,62.72,62.815,1775091.0,15562
2021-03-01 13:00:00-05:00,62.82,62.83,62.571,62.7118,1696341.0,15598
2021-03-01 14:00:00-05:00,62.71,63.08,62.71,62.9626,2151422.0,19010
2021-03-01 15:00:00-05:00,62.97,62.99,62.67,62.88,4693356.0,40815
2021-03-01 16:00:00-05:00,62.88,63.0,62.88,63.0,1388327.0,236
2021-03-01 17:00:00-05:00,63.07,63.07,62.94,62.94,5257.0,53
2021-03-01 18:00:00-05:00,62.97,63.06,62.82,62.99,7545.0,58
2021-03-01 19:00:00-05:00,62.91,62.99,62.9,62.99,1454.0,10
2021-03-02 04:00:00-05:00,61.82,62.25,61.82,62.13,1159.0,21
2021-03-02 05:00:00-05:00,62.48,62.49,62.48,62.49,2454.0,10
2021-03-02 06:00:00-05:00,62.53,62.58,62.52,62.58,1941.0,19
2021-03-02 07:00:00-05:00,62.58,62.95,62.5,62.86,23205.0,281
2021-03-02 08:00:00-05:00,62.8558,62.94,62.51,62.78,32980.0,481
2021-03-02 09:00:00-05:00,62.7529,63.14,62.23,62.38,3113685.0,25660
2021-03-02 10:00:00-05:00,62.37,62.42,61.98,62.365,2764310.0,28593
2021-03-02 11:00:00-05:00,62.36,62.565,61.875,62.03,2126283.0,19774
2021-03-02 12:00:00-05:00,62.03,62.265,61.95,62.2,1469876.0,14429
2021-03-02 13:00:00-05:00,62.2023,62.49,61.91,62.135,2901106.0,24201
2021-03-02 14:00:00-05:00,62.14,62.24,61.72,61.95,1854978.0,18201
2021-03-02 15:00:00-05:00,61.9581,62.06,61.11,61.23,4904018.0,41531
2021-03-02 16:00:00-05:00,61.24,61.27,61.05,61.2,419712.0,258
2021-03-02 17:00:00-05:00,61.19,61.2,61.01,61.05,11841.0,82
2021-03-02 18:00:00-05:00,61.1,61.35,61.1,61.21,14490.0,115
2021-03-02 19:00:00-05:00,61.24,61.5,61.14,61.5,12783.0,116
2021-03-03 04:00:00-05:00,61.49,61.49,61.02,61.1,7534.0,95
2021-03-03 05:00:00-05:00,61.08,61.08,61.0,61.0,7832.0,89
2021-03-03 06:00:00-05:00,61.1,61.17,61.02,61.17,5208.0,38
2021-03-03 07:00:00-05:00,61.25,61.33,61.05,61.2,23845.0,304
2021-03-03 08:00:00-05:00,61.45,61.45,60.49,60.94,70778.0,828
2021-03-03 09:00:00-05:00,60.75,61.52,60.34,60.9,3410806.0,28382
2021-03-03 10:00:00-05:00,60.89,61.0,60.355,60.61,4191424.0,39215
2021-03-03 11:00:00-05:00,60.6,61.09,60.57,60.67,2592527.0,25627
2021-03-03 12:00:00-05:00,60.67,60.76,60.3623,60.4517,2220852.0,21033
2021-03-03 13:00:00-05:00,60.45,61.04,60.43,60.57,2326421.0,22165
2021-03-03 14:00:00-05:00,60.57,60.6,59.7,60.2,4139241.0,40615
2021-03-03 15:00:00-05:00,60.195,60.46,59.84,59.87,4856364.0,46253
2021-03-03 16:00:00-05:00,59.9,60.4147,59.7,59.81,1380141.0,230
2021-03-03 17:00:00-05:00,59.83,59.87,59.8,59.82,7834.0,36
2021-03-03 18:00:00-05:00,59.86,59.9,59.5,59.5,18533.0,181
2021-03-03 19:00:00-05:00,59.53,59.9,59.5,59.89,17613.0,157
2021-03-04 04:00:00-05:00,59.59,59.8,59.59,59.59,1684.0,27
2021-03-04 05:00:00-05:00,59.49,59.65,59.47,59.47,3204.0,45
