date,open,high,low,close,volume,transactions
2021-03-01 04:00:00-05:00,96.0,96.6,95.99,96.2,25666.0,217
2021-03-01 05:00:00-05:00,96.2,96.49,96.0,96.26,5709.0,58
2021-03-01 06:00:00-05:00,96.34,96.5,96.27,96.43,12668.0,77
2021-03-01 07:00:00-05:00,96.44,96.45,96.01,96.21,33299.0,252
2021-03-01 08:00:00-05:00,96.25,96.42,93.87,96.35,67643.0,301
2021-03-01 09:00:00-05:00,96.53,98.45,96.3,96.87,2398999.0,24117
2021-03-01 10:00:00-05:00,96.88,97.46,96.43,97.05,1468871.0,17536
2021-03-01 11:00:00-05:00,97.09,97.68,96.81,97.0607,1030212.0,11517
2021-03-01 12:00:00-05:00,97.08,97.76,96.92,97.46,703325.0,8312
2021-03-01 13:00:00-05:00,97.48,97.53,97.01,97.04,503956.0,6298
2021-03-01 14:00:00-05:00,97.045,97.93,97.03,97.62,681668.0,7466
2021-03-01 15:00:00-05:00,97.615,98.1,97.3,98.02,1666327.0,18179
2021-03-01 16:00:00-05:00,98.02,98.2,97.7799,98.02,82010.0,141
2021-03-01 17:00:00-05:00,97.8796,98.03,97.85,98.03,602501.0,22
2021-03-01 18:00:00-05:00,98.14,98.17,98.1,98.1,2316.0,30
2021-03-01 19:00:00-05:00,98.18,98.5,98.11,98.5,5709.0,64
2021-03-02 04:00:00-05:00,97.68,97.68,96.17,96.6,7368.0,58
2021-03-02 05:00:00-05:00,96.6,96.93,96.6,96.93,595.0,6
2021-03-02 06:00:00-05:00,97.4,97.44,97.4,97.44,498.0,9
2021-03-02 07:00:00-05:00,97.45,98.0,97.45,97.83,13160.0,149
2021-03-02 08:00:00-05:00,97.45,97.97,97.03,97.45,32157.0,253
2021-03-02 09:00:00-05:00,97.45,98.7,97.45,98.0,1163586.0,10688
2021-03-02 10:00:00-05:00,97.99,98.7,96.97,97.69,1570934.0,16596
2021-03-02 11:00:00-05:00,97.68,98.02,96.97,97.4341,1159323.0,14115
2021-03-02 12:00:00-05:00,97.39,97.755,97.14,97.19,718390.0,8812
2021-03-02 13:00:00-05:00,97.2,97.495,96.89,97.19,617402.0,7301
2021-03-02 14:00:00-05:00,97.22,97.36,96.75,97.26,640048.0,8959
2021-03-02 15:00:00-05:00,97.27,97.47,96.285,96.38,1158036.0,15239
2021-03-02 16:00:00-05:00,96.38,96.67,96.38,96.5,94418.0,73
2021-03-02 17:00:00-05:00,96.4,96.56,96.4,96.42,1351.0,7
2021-03-02 18:00:00-05:00,96.83,96.86,96.7,96.7,3232.0,48
2021-03-02 19:00:00-05:00,96.7,97.0,96.7,97.0,4847.0,59
2021-03-03 04:00:00-05:00,98.14,98.28,97.9,98.09,6665.0,107
2021-03-03 05:00:00-05:00,98.1,98.21,98.1,98.2,1526.0,15
