date,open,high,low,close,volume,transactions
2021-03-01 07:00:00-05:00,311.68,316.0,311.68,316.0,474.0,17
2021-03-01 08:00:00-05:00,314.75,314.99,314.75,314.99,876.0,14
2021-03-01 09:00:00-05:00,313.04,316.39,312.11,315.985,145939.0,2492
2021-03-01 10:00:00-05:00,315.985,317.35,313.51,313.78,204706.0,4523
2021-03-01 11:00:00-05:00,313.84,316.61,313.3301,315.045,142372.0,3219
2021-03-01 12:00:00-05:00,314.995,315.23,313.26,313.42,82509.0,2332
2021-03-01 13:00:00-05:00,313.535,314.4127,312.86,313.535,102846.0,2513
2021-03-01 14:00:00-05:00,313.535,314.14,312.34,313.41,149186.0,3431
2021-03-01 15:00:00-05:00,313.67,315.01,312.79,314.96,386732.0,6499
2021-03-01 16:00:00-05:00,314.9617,315.18,314.75,314.9,8063.0,35
2021-03-01 18:00:00-05:00,315.0,315.0,315.0,315.0,326.0,5
2021-03-01 19:00:00-05:00,315.05,315.05,315.05,315.05,100.0,1
2021-03-02 09:00:00-05:00,316.51,319.83,314.6131,319.81,111820.0,2286
2021-03-02 10:00:00-05:00,319.43,321.25,313.56,315.59,265548.0,4741
2021-03-02 11:00:00-05:00,315.27,315.93,312.1044,313.805,169535.0,3982
2021-03-02 12:00:00-05:00,313.67,317.71,313.06,317.04,115874.0,2394
2021-03-02 13:00:00-05:00,317.24,319.0021,315.9401,318.015,129160.0,2136
2021-03-02 14:00:00-05:00,318.13,318.87,314.99,316.53,149696.0,2645
2021-03-02 15:00:00-05:00,316.52,318.14,315.58,317.57,271543.0,5989
2021-03-02 16:00:00-05:00,317.47,317.51,317.47,317.51,25894.0,39
2021-03-02 17:00:00-05:00,317.84,317.84,317.84,317.84,200.0,5
2021-03-02 18:00:00-05:00,317.95,318.0,317.95,318.0,1126.0,17
2021-03-03 08:00:00-05:00,318.5,318.5,316.74,316.97,2427.0,46
2021-03-03 09:00:00-05:00,315.0,315.7544,309.5,309.77,168488.0,3071
2021-03-03 10:00:00-05:00,309.785,310.13,304.19,306.63,340883.0,7851
2021-03-03 11:00:00-05:00,306.795,307.52,304.57,306.88,192635.0,4822
2021-03-03 12:00:00-05:00,306.89,307.3979,304.36,304.36,139575.0,3635
2021-03-03 13:00:00-05:00,304.3,305.22,302.1277,302.54,152623.0,3958
2021-03-03 14:00:00-05:00,302.4,302.54,297.84,300.95,449009.0,9141
2021-03-03 15:00:00-05:00,301.04,301.7963,295.68,295.8,831954.0,13772
2021-03-03 16:00:00-05:00,295.99,301.7387,295.99,296.0,23630.0,65
