date,open,high,low,close,volume,transactions
2021-03-01 07:00:00-05:00,44.16,44.4,44.16,44.4,664.0,10
2021-03-01 09:00:00-05:00,43.87,44.4925,43.57,43.68,432204.0,2825
2021-03-01 10:00:00-05:00,43.68,44.02,43.2,43.88,543666.0,4392
2021-03-01 11:00:00-05:00,43.86,43.92,43.555,43.92,365280.0,2770
2021-03-01 12:00:00-05:00,43.9225,43.9319,43.5825,43.5825,291022.0,2272
2021-03-01 13:00:00-05:00,43.585,43.845,43.4875,43.825,273260.0,2597
2021-03-01 14:00:00-05:00,43.8075,43.86,43.635,43.745,315840.0,2886
2021-03-01 15:00:00-05:00,43.75,43.825,43.5975,43.775,1119734.0,8794
2021-03-01 16:00:00-05:00,43.775,43.775,43.775,43.775,66524.0,29
2021-03-02 09:00:00-05:00,43.87,44.085,43.505,43.9825,422100.0,2346
2021-03-02 10:00:00-05:00,43.96,44.2,43.855,44.2,939090.0,5843
2021-03-02 11:00:00-05:00,44.2,44.2459,43.985,44.15,415326.0,3299
2021-03-02 12:00:00-05:00,44.14,44.17,43.9838,43.99,280464.0,2286
2021-03-02 13:00:00-05:00,44.0,44.18,43.895,43.895,342608.0,2822
2021-03-02 14:00:00-05:00,43.895,43.96,43.71,43.83,430990.0,3568
2021-03-02 15:00:00-05:00,43.83,43.8598,43.4,43.45,829048.0,6572
2021-03-02 16:00:00-05:00,43.44,43.44,43.44,43.44,64132.0,24
2021-03-02 17:00:00-05:00,43.5,43.5,43.5,43.5,400.0,1
2021-03-02 19:00:00-05:00,43.55,43.55,43.55,43.55,230.0,1
2021-03-03 08:00:00-05:00,43.505,43.505,43.25,43.25,3706.0,14
2021-03-03 09:00:00-05:00,43.25,43.665,43.135,43.155,314590.0,1519
2021-03-03 10:00:00-05:00,43.21,43.285,43.06,43.175,310172.0,2890
2021-03-03 11:00:00-05:00,43.19,43.4825,43.185,43.315,221260.0,2006
2021-03-03 12:00:00-05:00,43.295,43.3825,43.01,43.03,378180.0,2195
2021-03-03 13:00:00-05:00,43.0275,43.0875,42.78,42.8875,298286.0,2461
2021-03-03 14:00:00-05:00,42.885,42.955,42.66,42.8,293728.0,3130
2021-03-03 15:00:00-05:00,42.795,42.8495,42.245,42.3,1438000.0,9319
2021-03-03 16:00:00-05:00,42.3,42.7117,42.3,42.405,101370.0,55
2021-03-03 18:00:00-05:00,42.305,42.305,42.305,42.305,1000.0,1
2021-03-04 09:00:00-05:00,42.3,42.75,42.03,42.4275,381630.0,2419
2021-03-04 10:00:00-05:00,42.475,42.98,42.145,42.975,554070.0,3951
2021-03-04 11:00:00-05:00,43.0,43.285,42.795,43.17,297170.0,2518
2021-03-04 12:00:00-05:00,43.18,43.24,42.52,42.65,578864.0,4707
2021-03-04 13:00:00-05:00,42.6325,42.77,42.33,42.385,518120.0,4164
2021-03-04 14:00:00-05:00,42.38,42.89,42.3625,42.59,446436.0,3632
2021-03-04 15:00:00-05:00,42.595,42.605,42.21,42.335,1103416.0,8238
2021-03-04 16:00:00-05:00,42.34,42.34,42.34,42.34,107898.0,38
2021-03-05 08:00:00-05:00,42.57,42.57,42.57,42.57,358.0,2
2021-03-05 09:00:00-05:00,42.64,42.64,41.9225,42.065,154366.0,1189
2021-03-05 10:00:00-05:00,42.025,42.265,41.63,41.6675,418504.0,3676
2021-03-05 11:00:00-05:00,41.6725,41.9255,41.48,41.9,583658.0,4506
2021-03-05 12:00:00-05:00,41.885,42.52,41.875,42.4375,346144.0,2534
2021-03-05 13:00:00-05:00,42.45,42.9,42.36,42.875,308220.0,3157
2021-03-05 14:00:00-05:00,42.905,43.1,42.765,43.06,271516.0,2888
2021-03-05 15:00:00-05:00,43.045,43.395,43.045,43.21,3983816.0,8876
2021-03-05 16:00:00-05:00,43.21,43.21,43.16,43.16,70116.0,33
2021-03-08 07:00:00-05:00,42.855,42.855,42.855,42.855,740.0,3
2021-03-08 08:00:00-05:00,42.77,43.2,42.77,42.94,7524.0,32
2021-03-08 09:00:00-05:00,42.945,43.355,42.895,42.975,181986.0,1350
2021-03-08 10:00:00-05:00,43.0781,43.33,42.825,42.905,394042.0,3225
2021-03-08 11:00:00-05:00,42.9125,43.155,42.855,42.965,295176.0,2462
2021-03-08 12:00:00-05:00,42.975,43.18,42.895,43.0725,331024.0,2415
2021-03-08 13:00:00-05:00,43.0725,43.345,42.865,42.865,631660.0,3383
