date,open,high,low,close,volume,transactions
2021-03-01 09:00:00-05:00,3.347,3.359,3.2875,3.349,135860.0,178
2021-03-01 10:00:00-05:00,3.3375,3.4,3.3375,3.388,284940.0,397
2021-03-01 11:00:00-05:00,3.38,3.391,3.378,3.384,134180.0,209
2021-03-01 12:00:00-05:00,3.382,3.393,3.379,3.384,329090.0,328
2021-03-01 13:00:00-05:00,3.383,3.42,3.381,3.416,246120.0,267
2021-03-01 14:00:00-05:00,3.424,3.4365,3.41,3.4104,254780.0,251
2021-03-01 15:00:00-05:00,3.413,3.429,3.412,3.423,513050.0,817
2021-03-01 16:00:00-05:00,3.427,3.427,3.427,3.427,12890.0,5
2021-03-02 08:00:00-05:00,3.4972,3.4972,3.4972,3.4972,2000.0,1
2021-03-02 09:00:00-05:00,3.446,3.446,3.377,3.429,146850.0,134
2021-03-02 10:00:00-05:00,3.422,3.4347,3.39,3.431,270490.0,379
2021-03-02 11:00:00-05:00,3.429,3.437,3.392,3.393,172560.0,315
2021-03-02 12:00:00-05:00,3.396,3.424,3.382,3.424,226200.0,326
2021-03-02 13:00:00-05:00,3.422,3.46,3.422,3.453,346670.0,498
2021-03-02 14:00:00-05:00,3.455,3.455,3.422,3.444,303990.0,346
2021-03-02 15:00:00-05:00,3.44,3.453,3.406,3.407,734640.0,1101
2021-03-02 16:00:00-05:00,3.408,3.408,3.408,3.408,14280.0,5
2021-03-03 09:00:00-05:00,3.429,3.4485,3.4075,3.41,147320.0,208
2021-03-03 10:00:00-05:00,3.3944,3.4335,3.37,3.433,239940.0,333
2021-03-03 11:00:00-05:00,3.441,3.467,3.439,3.454,174890.0,278
2021-03-03 12:00:00-05:00,3.4435,3.45,3.427,3.435,149330.0,275
2021-03-03 13:00:00-05:00,3.433,3.454,3.432,3.435,172330.0,289
2021-03-03 14:00:00-05:00,3.433,3.433,3.385,3.4015,496060.0,519
2021-03-03 15:00:00-05:00,3.4,3.423,3.359,3.362,1111520.0,1358
2021-03-03 16:00:00-05:00,3.362,3.362,3.362,3.362,22280.0,5
2021-03-04 09:00:00-05:00,3.379,3.394,3.333,3.336,149770.0,244
2021-03-04 10:00:00-05:00,3.339,3.348,3.296,3.329,291070.0,548
2021-03-04 11:00:00-05:00,3.334,3.351,3.3165,3.3445,185620.0,318
2021-03-04 12:00:00-05:00,3.349,3.361,3.246,3.25,237390.0,434
2021-03-04 13:00:00-05:00,3.26,3.287,3.239,3.2475,459440.0,621
2021-03-04 14:00:00-05:00,3.25,3.295,3.238,3.286,419500.0,621
2021-03-04 15:00:00-05:00,3.283,3.283,3.226,3.253,677400.0,1104
2021-03-04 16:00:00-05:00,3.262,3.262,3.262,3.262,31950.0,8
2021-03-05 09:00:00-05:00,3.311,3.3551,3.226,3.32,310190.0,418
2021-03-05 10:00:00-05:00,3.325,3.346,3.297,3.316,408700.0,806
2021-03-05 11:00:00-05:00,3.307,3.313,3.263,3.298,456390.0,852
2021-03-05 12:00:00-05:00,3.295,3.332,3.291,3.324,299680.0,615
2021-03-05 13:00:00-05:00,3.329,3.361,3.311,3.342,271270.0,475
2021-03-05 14:00:00-05:00,3.353,3.37,3.324,3.366,295190.0,591
2021-03-05 15:00:00-05:00,3.369,3.407,3.3505,3.391,732370.0,1558
2021-03-05 16:00:00-05:00,3.391,3.391,3.391,3.391,53730.0,15
2021-03-08 09:00:00-05:00,3.448,3.497,3.4,3.4505,442640.0,406
2021-03-08 10:00:00-05:00,3.462,3.499,3.451,3.495,326920.0,490
2021-03-08 11:00:00-05:00,3.498,3.5305,3.493,3.51,772500.0,823
2021-03-08 12:00:00-05:00,3.513,3.519,3.492,3.506,376450.0,640
2021-03-08 13:00:00-05:00,3.507,3.523,3.477,3.478,263290.0,447
2021-03-08 14:00:00-05:00,3.483,3.518,3.48,3.496,218930.0,430
2021-03-08 15:00:00-05:00,3.493,3.493,3.451,3.453,617190.0,1244
2021-03-09 09:00:00-05:00,3.497,3.523,3.4665,3.502,137060.0,190
2021-03-09 10:00:00-05:00,3.503,3.525,3.491,3.51,640000.0,750
2021-03-09 11:00:00-05:00,3.509,3.521,3.486,3.5,400260.0,539
2021-03-09 12:00:00-05:00,3.497,3.532,3.4961,3.512,325140.0,431
2021-03-09 13:00:00-05:00,3.515,3.515,3.481,3.502,173600.0,382
2021-03-09 14:00:00-05:00,3.495,3.508,3.472,3.488,222100.0,446
2021-03-09 15:00:00-05:00,3.491,3.497,3.416,3.432,765800.0,1474
2021-03-09 16:00:00-05:00,3.432,3.432,3.432,3.432,21490.0,4
