date,open,high,low,close,volume,transactions
2021-03-01 08:00:00-05:00,58.89,59.0,58.89,59.0,1498.0,18
2021-03-01 09:00:00-05:00,59.19,60.03,59.16,59.85,297220.0,3299
2021-03-01 10:00:00-05:00,59.84,60.3,59.56,60.21,287162.0,4220
2021-03-01 11:00:00-05:00,60.19,60.25,59.66,59.93,504477.0,5394
2021-03-01 12:00:00-05:00,59.94,60.26,59.7,59.7,527376.0,5298
2021-03-01 13:00:00-05:00,59.71,59.76,59.38,59.465,515343.0,6203
2021-03-01 14:00:00-05:00,59.45,59.61,59.23,59.32,587344.0,5598
2021-03-01 15:00:00-05:00,59.33,59.42,59.04,59.15,852044.0,10188
2021-03-01 16:00:00-05:00,59.15,59.15,59.15,59.15,333695.0,31
2021-03-02 08:00:00-05:00,59.05,59.05,59.05,59.05,329.0,6
2021-03-02 09:00:00-05:00,59.0,59.38,58.41,58.42,329228.0,3629
2021-03-02 10:00:00-05:00,58.39,58.8,58.2,58.72,363142.0,5143
2021-03-02 11:00:00-05:00,58.7,59.22,58.585,59.02,347191.0,4192
2021-03-02 12:00:00-05:00,59.04,59.23,58.95,58.96,241329.0,3460
2021-03-02 13:00:00-05:00,58.96,59.295,58.96,59.23,212776.0,3487
2021-03-02 14:00:00-05:00,59.24,59.42,59.125,59.27,292564.0,4059
2021-03-02 15:00:00-05:00,59.26,59.36,58.79,58.98,841747.0,10481
2021-03-02 16:00:00-05:00,58.98,58.98,58.98,58.98,90871.0,23
2021-03-03 08:00:00-05:00,58.89,58.89,58.5,58.66,2323.0,32
2021-03-03 09:00:00-05:00,58.5,58.9,57.68,57.73,257607.0,3029
2021-03-03 10:00:00-05:00,57.74,57.845,57.23,57.3899,298437.0,4625
2021-03-03 11:00:00-05:00,57.39,57.779,57.28,57.67,222214.0,3221
2021-03-03 12:00:00-05:00,57.66,57.94,57.55,57.66,220406.0,3009
2021-03-03 13:00:00-05:00,57.63,58.0099,57.59,58.0099,194546.0,2824
2021-03-03 14:00:00-05:00,57.99,58.28,57.94,57.965,258147.0,3745
2021-03-03 15:00:00-05:00,57.95,58.07,57.695,58.04,871645.0,10550
2021-03-03 16:00:00-05:00,58.03,58.03,57.89,58.03,112135.0,41
2021-03-04 09:00:00-05:00,58.01,58.49,57.79,58.49,204087.0,2304
2021-03-04 10:00:00-05:00,58.47,59.53,58.38,59.31,346524.0,5294
2021-03-04 11:00:00-05:00,59.33,59.69,59.2028,59.5,402056.0,5244
2021-03-04 12:00:00-05:00,59.5,59.5608,58.73,58.86,472983.0,6475
2021-03-04 13:00:00-05:00,58.85,59.23,58.5,58.58,475574.0,6675
2021-03-04 14:00:00-05:00,58.59,59.01,58.47,58.77,574210.0,7821
2021-03-04 15:00:00-05:00,58.76,59.06,58.475,58.93,1972715.0,20787
2021-03-04 16:00:00-05:00,58.92,59.01,58.92,58.94,82988.0,43
2021-03-05 08:00:00-05:00,59.0,59.0,59.0,59.0,222.0,2
2021-03-05 09:00:00-05:00,59.15,59.8,59.03,59.8,388609.0,4369
2021-03-05 10:00:00-05:00,59.78,60.76,59.77,60.64,840530.0,10955
2021-03-05 11:00:00-05:00,60.65,61.01,60.3,60.84,457913.0,6798
2021-03-05 12:00:00-05:00,60.84,61.21,60.55,60.745,638749.0,7315
2021-03-05 13:00:00-05:00,60.75,60.995,60.57,60.86,430911.0,5943
2021-03-05 14:00:00-05:00,60.86,61.27,60.75,61.16,359377.0,5364
2021-03-05 15:00:00-05:00,61.16,61.51,61.01,61.35,1148089.0,13559
2021-03-05 16:00:00-05:00,61.35,61.35,61.35,61.35,57351.0,32
2021-03-08 08:00:00-05:00,61.34,61.92,61.06,61.92,2120.0,13
2021-03-08 09:00:00-05:00,61.16,61.955,61.03,61.63,372743.0,4002
2021-03-08 10:00:00-05:00,61.625,62.43,61.51,61.53,601630.0,7356
2021-03-08 11:00:00-05:00,61.54,62.1,61.48,61.88,385894.0,4743
2021-03-08 12:00:00-05:00,61.89,62.36,61.88,62.19,398964.0,4436
2021-03-08 13:00:00-05:00,62.19,62.63,62.12,62.3,434604.0,5271
2021-03-08 14:00:00-05:00,62.3083,62.64,62.08,62.36,588802.0,7064
2021-03-08 15:00:00-05:00,62.36,62.365,61.85,61.96,1601433.0,16358
2021-03-08 16:00:00-05:00,61.96,62.16,61.96,61.97,59122.0,42
2021-03-09 09:00:00-05:00,62.65,62.65,61.94,62.06,344240.0,3967
2021-03-09 10:00:00-05:00,62.08,62.21,61.81,61.93,505303.0,5842
2021-03-09 11:00:00-05:00,61.905,62.12,61.83,61.99,501936.0,6118
2021-03-09 12:00:00-05:00,61.985,62.35,61.84,62.26,502506.0,5542
2021-03-09 13:00:00-05:00,62.25,62.33,62.07,62.1,433453.0,4821
2021-03-09 14:00:00-05:00,62.095,62.17,61.86,62.09,747338.0,6598
2021-03-09 15:00:00-05:00,62.085,62.43,62.01,62.16,1198493.0,11713
2021-03-09 16:00:00-05:00,62.15,62.15,62.15,62.15,186182.0,32
2021-03-09 18:00:00-05:00,62.15,62.15,62.15,62.15,120.0,2
2021-03-10 09:00:00-05:00,62.24,62.66,61.86,62.57,399365.0,4641
2021-03-10 10:00:00-05:00,62.6,62.74,62.06,62.3,387539.0,4770
2021-03-10 11:00:00-05:00,62.28,62.28,61.9399,61.94,327345.0,4369
2021-03-10 12:00:00-05:00,61.93,62.28,61.89,62.225,413739.0,4507
2021-03-10 13:00:00-05:00,62.225,62.485,62.09,62.39,336498.0,4416
2021-03-10 14:00:00-05:00,62.4,62.4,62.13,62.17,399646.0,4263
2021-03-10 15:00:00-05:00,62.16,62.405,62.06,62.19,725507.0,9115
2021-03-10 16:00:00-05:00,62.18,62.18,62.18,62.18,41528.0,37
2021-03-10 17:00:00-05:00,62.18,62.18,62.18,62.18,5305.0,2
2021-03-11 08:00:00-05:00,61.21,62.0,61.21,62.0,865.0,7
2021-03-11 09:00:00-05:00,61.93,62.58,61.821,62.53,185670.0,2316
2021-03-11 10:00:00-05:00,62.54,62.54,62.03,62.14,212282.0,3574
2021-03-11 11:00:00-05:00,62.14,62.47,62.08,62.36,278305.0,3967
2021-03-11 12:00:00-05:00,62.37,62.685,62.325,62.68,357374.0,4094
2021-03-11 13:00:00-05:00,62.68,62.89,62.51,62.76,321849.0,3829
2021-03-11 14:00:00-05:00,62.75,62.82,62.42,62.46,303556.0,3801
2021-03-11 15:00:00-05:00,62.46,62.5,61.83,61.86,687731.0,8776
2021-03-11 16:00:00-05:00,61.86,62.0,61.86,61.86,53227.0,28
2021-03-11 17:00:00-05:00,61.87,61.87,61.86,61.86,350.0,5
2021-03-11 18:00:00-05:00,61.281,61.281,61.281,61.281,380.0,1
2021-03-12 07:00:00-05:00,60.92,60.92,60.92,60.92,222.0,3
2021-03-12 08:00:00-05:00,61.4367,61.4367,61.4367,61.4367,150.0,1
2021-03-12 09:00:00-05:00,60.54,61.78,60.54,61.5,367708.0,4213
2021-03-12 10:00:00-05:00,61.54,61.85,61.36,61.78,335713.0,4989
2021-03-12 11:00:00-05:00,61.8,62.01,61.55,61.95,209584.0,3214
2021-03-12 12:00:00-05:00,61.95,62.115,61.8,62.05,253105.0,3186
2021-03-12 13:00:00-05:00,62.04,62.5,62.0,62.485,428772.0,4329
2021-03-12 14:00:00-05:00,62.485,62.601,62.36,62.595,382200.0,4439
2021-03-12 15:00:00-05:00,62.595,62.595,62.05,62.07,849308.0,10347
2021-03-12 16:00:00-05:00,62.08,62.08,62.08,62.08,52100.0,28
2021-03-15 09:00:00-04:00,62.09,63.3,62.09,63.14,454800.0,4531
2021-03-15 10:00:00-04:00,63.13,63.14,62.47,62.95,442138.0,6316
2021-03-15 11:00:00-04:00,62.93,63.195,62.84,63.0,362659.0,4989
2021-03-15 12:00:00-04:00,63.0,63.225,62.97,63.15,655190.0,5695
2021-03-15 13:00:00-04:00,63.14,63.461,63.09,63.33,854364.0,7205
2021-03-15 14:00:00-04:00,63.33,63.4694,63.075,63.11,725857.0,6805
2021-03-15 15:00:00-04:00,63.11,63.16,62.805,63.07,995578.0,10316
2021-03-15 16:00:00-04:00,63.07,63.07,63.07,63.07,203133.0,42
2021-03-16 09:00:00-04:00,62.98,63.35,62.86,63.16,201012.0,2330
2021-03-16 10:00:00-04:00,63.19,63.485,63.08,63.45,352973.0,4304
2021-03-16 11:00:00-04:00,63.45,63.58,63.23,63.31,314435.0,3910
2021-03-16 12:00:00-04:00,63.31,63.63,63.25,63.3984,255536.0,3451
2021-03-16 13:00:00-04:00,63.39,63.49,63.22,63.31,243450.0,3161
2021-03-16 14:00:00-04:00,63.32,63.63,63.26,63.49,403624.0,4556
2021-03-16 15:00:00-04:00,63.48,63.48,63.27,63.42,734020.0,8340
2021-03-16 16:00:00-04:00,63.41,63.41,63.41,63.41,128030.0,34
2021-03-17 08:00:00-04:00,63.0,63.0,63.0,63.0,220.0,3
2021-03-17 09:00:00-04:00,63.4385,63.46,62.73,62.78,226150.0,2534
2021-03-17 10:00:00-04:00,62.775,63.07,62.62,62.985,286982.0,4533
2021-03-17 11:00:00-04:00,62.98,63.04,62.72,62.97,249231.0,3932
2021-03-17 12:00:00-04:00,62.96,63.04,62.85,62.9,203708.0,3366
2021-03-17 13:00:00-04:00,62.92,62.96,62.74,62.84,215105.0,3321
2021-03-17 14:00:00-04:00,62.86,63.29,62.79,62.95,504543.0,6761
2021-03-17 15:00:00-04:00,62.94,62.98,62.545,62.71,750025.0,10212
2021-03-17 16:00:00-04:00,62.69,62.69,62.69,62.69,130275.0,38
2021-03-18 07:00:00-04:00,61.91,61.91,61.58,61.58,1418.0,20
2021-03-18 08:00:00-04:00,62.43,62.43,61.91,62.23,1828.0,33
2021-03-18 09:00:00-04:00,62.56,62.66,62.1,62.34,221073.0,2437
2021-03-18 10:00:00-04:00,62.33,62.62,61.92,62.0,298050.0,5005
2021-03-18 11:00:00-04:00,62.015,62.075,61.71,61.91,301626.0,4587
2021-03-18 12:00:00-04:00,61.93,62.06,61.85,61.99,237455.0,3378
2021-03-18 13:00:00-04:00,62.0,62.32,61.98,62.18,421700.0,5015
2021-03-18 14:00:00-04:00,62.18,62.74,62.055,62.62,383075.0,4571
2021-03-18 15:00:00-04:00,62.62,62.75,62.34,62.39,1119660.0,11750
2021-03-18 16:00:00-04:00,62.4,62.4,62.4,62.4,44144.0,29
2021-03-19 09:00:00-04:00,62.33,62.78,61.86,62.27,1105267.0,3603
2021-03-19 10:00:00-04:00,62.3,62.645,62.224,62.48,317603.0,4560
2021-03-19 11:00:00-04:00,62.47,62.84,62.2,62.75,489963.0,5201
2021-03-19 12:00:00-04:00,62.755,63.145,62.71,63.03,553872.0,5220
2021-03-19 13:00:00-04:00,63.03,63.15,62.87,62.97,385003.0,4288
2021-03-19 14:00:00-04:00,62.965,63.16,62.83,63.08,407692.0,5532
2021-03-19 15:00:00-04:00,63.09,63.38,62.85,62.99,1082459.0,12547
2021-03-19 16:00:00-04:00,62.99,62.99,62.7,62.99,861698.0,101
2021-03-19 17:00:00-04:00,62.99,62.99,62.99,62.99,226.0,2
2021-03-19 18:00:00-04:00,62.99,62.99,62.55,62.55,5306.0,8
2021-03-22 08:00:00-04:00,62.99,62.99,62.99,62.99,323.0,2
2021-03-22 09:00:00-04:00,62.98,63.72,62.8,63.62,381539.0,4584
2021-03-22 10:00:00-04:00,63.6,64.09,63.51,63.96,488968.0,6403
2021-03-22 11:00:00-04:00,63.95,64.09,63.56,63.72,397275.0,4971
2021-03-22 12:00:00-04:00,63.73,63.87,63.59,63.65,317898.0,4470
2021-03-22 13:00:00-04:00,63.65,63.765,63.31,63.33,297622.0,3936
2021-03-22 14:00:00-04:00,63.33,63.63,63.205,63.58,257966.0,4070
2021-03-22 15:00:00-04:00,63.57,63.77,63.535,63.75,655222.0,9504
2021-03-22 16:00:00-04:00,63.75,63.75,63.75,63.75,79474.0,33
2021-03-23 09:00:00-04:00,64.285,64.285,63.59,63.965,170541.0,1947
2021-03-23 10:00:00-04:00,63.965,64.65,63.89,64.55,298336.0,4368
2021-03-23 11:00:00-04:00,64.55,65.1,64.45,65.09,329861.0,4551
2021-03-23 12:00:00-04:00,65.07,65.2,64.93,65.16,231104.0,3536
2021-03-23 13:00:00-04:00,65.16,65.31,65.11,65.3,238781.0,3578
2021-03-23 14:00:00-04:00,65.3,65.73,65.24,65.645,429250.0,5515
2021-03-23 15:00:00-04:00,65.64,65.675,65.15,65.44,1035294.0,12093
2021-03-23 16:00:00-04:00,65.44,65.44,65.44,65.44,255757.0,37
2021-03-24 08:00:00-04:00,65.44,65.44,65.44,65.44,300.0,3
2021-03-24 09:00:00-04:00,65.14,65.81,64.85,65.61,264342.0,3225
2021-03-24 10:00:00-04:00,65.59,65.77,65.47,65.72,410386.0,5354
2021-03-24 11:00:00-04:00,65.73,65.99,65.67,65.98,304192.0,4588
2021-03-24 12:00:00-04:00,65.975,66.17,65.7283,65.73,280492.0,4389
2021-03-24 13:00:00-04:00,65.72,65.85,65.45,65.52,376271.0,4864
2021-03-24 14:00:00-04:00,65.51,66.02,65.432,65.96,332467.0,5138
2021-03-24 15:00:00-04:00,65.97,66.05,65.53,65.58,917358.0,11153
2021-03-24 16:00:00-04:00,65.58,65.58,65.44,65.58,47580.0,42
2021-03-24 19:00:00-04:00,65.57,65.57,65.57,65.57,1010.0,2
2021-03-25 08:00:00-04:00,65.6,65.61,65.08,65.61,1348.0,16
2021-03-25 09:00:00-04:00,65.68,66.2,65.33,65.79,367938.0,3858
2021-03-25 10:00:00-04:00,65.79,66.47,65.695,66.25,492654.0,6992
2021-03-25 11:00:00-04:00,66.25,66.57,66.23,66.45,494046.0,9263
2021-03-25 12:00:00-04:00,66.45,66.51,66.14,66.36,359419.0,7316
2021-03-25 13:00:00-04:00,66.41,66.49,66.14,66.15,231467.0,4046
2021-03-25 14:00:00-04:00,66.15,66.17,65.9,66.08,249784.0,4294
2021-03-25 15:00:00-04:00,66.075,66.32,66.0,66.01,735498.0,10069
2021-03-25 16:00:00-04:00,66.0,66.0,66.0,66.0,63751.0,27
2021-03-26 08:00:00-04:00,65.75,66.05,65.75,66.05,1231.0,12
2021-03-26 09:00:00-04:00,65.82,66.07,65.44,65.62,111009.0,1490
2021-03-26 10:00:00-04:00,65.6,65.7,65.13,65.6,284343.0,4406
2021-03-26 11:00:00-04:00,65.59,65.87,65.54,65.81,235497.0,3814
2021-03-26 12:00:00-04:00,65.81,65.97,65.54,65.9587,255690.0,4046
2021-03-26 13:00:00-04:00,65.96,65.97,65.72,65.91,236425.0,3949
2021-03-26 14:00:00-04:00,65.9,66.1,65.84,65.975,376906.0,5697
2021-03-26 15:00:00-04:00,65.975,66.37,65.79,66.32,675927.0,9234
2021-03-26 16:00:00-04:00,66.31,66.31,66.31,66.31,39858.0,36
2021-03-29 09:00:00-04:00,66.21,66.31,65.6,66.08,424729.0,4872
2021-03-29 10:00:00-04:00,66.08,66.46,65.9,66.45,245367.0,4023
2021-03-29 11:00:00-04:00,66.4553,66.87,66.4,66.62,255530.0,4196
2021-03-29 12:00:00-04:00,66.61,66.98,66.59,66.83,151214.0,2777
2021-03-29 13:00:00-04:00,66.84,67.115,66.84,67.04,199011.0,3336
2021-03-29 14:00:00-04:00,67.045,67.22,67.01,67.2,177581.0,3346
2021-03-29 15:00:00-04:00,67.2,67.25,66.91,67.0,563797.0,8029
2021-03-29 16:00:00-04:00,67.0,67.0,67.0,67.0,13609.0,20
2021-03-30 07:00:00-04:00,66.54,66.54,66.54,66.54,196.0,3
2021-03-30 08:00:00-04:00,66.79,66.79,66.79,66.79,100.0,1
2021-03-30 09:00:00-04:00,66.72,66.72,66.0579,66.2,149578.0,1832
2021-03-30 10:00:00-04:00,66.23,66.31,65.91,65.98,250635.0,3664
2021-03-30 11:00:00-04:00,65.96,66.08,65.52,65.75,240926.0,3217
2021-03-30 12:00:00-04:00,65.76,65.815,65.6,65.8,152142.0,2348
2021-03-30 13:00:00-04:00,65.78,66.1,65.76,66.05,257729.0,3389
2021-03-30 14:00:00-04:00,66.04,66.1015,65.83,66.1,200128.0,3029
