effective_date,ticker,action
2021-08-01,HON,ADD
2021-08-01,ALNUW,DEL
2021-09-01,CRWD,ADD
2021-09-01,MXIM,DEL
2022-01-01,TCOM,DEL
2022-01-01,INCY,DEL
2022-01-01,FOX,DEL
2022-01-01,CHKP,DEL
2022-01-01,CERN,DEL
2022-01-01,CDW,DEL
2022-01-01,FOXA,DEL
2022-01-01,PANW,ADD
2022-01-01,LCID,ADD
2022-01-01,FTNT,ADD
2022-01-01,DDOG,ADD
2022-01-01,ABNB,ADD
2022-01-01,ZS,ADD
2022-02-01,ODFL,ADD
2022-02-01,PTON,DEL
2022-03-01,XLNX,DEL
2022-03-01,CEG,ADD
2022-03-01,9996651D,ADD
2022-12-01,ENPH,ADD
2022-12-01,OKTA,DEL
2023-01-01,MTCH,DEL
2023-01-01,VRSN,DEL
2023-01-01,SWKS,DEL
2023-01-01,SPLK,DEL
2023-01-01,NTES,DEL
2023-01-01,DOCU,DEL
2023-01-01,BKR,ADD
2023-01-01,WBD,ADD
2023-01-01,RIVN,ADD
2023-01-01,GFS,ADD
2023-01-01,FANG,ADD
2023-01-01,CSGP,ADD
2023-01-01,BIDU,DEL
2023-07-01,FISV,DEL
2023-07-01,RIVN,DEL
2023-07-01,GEHC,ADD
2023-07-01,ON,ADD
2023-08-01,TD,ADD
2023-08-01,ATVI,DEL
2024-01-01,ENPH,DEL
2024-01-01,File,DEL
2024-01-01,ZM,DEL
2024-01-01,SGEN,DEL
2024-01-01,LCID,DEL
2024-01-01,JD,DEL
2024-01-01,ALGN,DEL
2024-01-01,EBAY,DEL
2024-01-01,SPLK,ADD
2024-01-01,ROP,ADD
2024-01-01,MDB,ADD
2024-01-01,DASH,ADD
2024-01-01,CDW,ADD
2024-01-01,CCEP,ADD
2024-01-01,TWO,ADD
2024-02-01,ROP,DEL
2024-02-01,DASH,ADD
2024-02-01,ROP,ADD
2024-02-01,DASH,DEL
2024-04-01,SPLK,DEL
2024-04-01,LIN,ADD
2024-07-01,ARM,ADD
2024-07-01,GRAL,ADD
2024-07-01,9210611D,DEL
2024-08-01,SMCI,ADD
2024-08-01,GRAL,DEL
2024-08-01,WBA,DEL
2024-12-01,APP,ADD
2024-12-01,DLTR,DEL
2025-01-01,SMCI,DEL
2025-01-01,File,DEL
2025-01-01,MRNA,DEL
2025-01-01,ILMN,DEL
2025-01-01,PLTR,ADD
2025-01-01,MSTR,ADD
2025-01-01,AXON,ADD
2025-06-01,SHOP,ADD
2025-06-01,MDBUQ,DEL
2025-08-01,SHOP,ADD
2025-08-01,TRI,ADD
2025-08-01,ANSS,DEL
2025-08-01,SHOP,DEL
2025-09-01,TRI,ADD
2025-09-01,TRI,DEL
2025-11-01,SOLS,ADD
2025-12-01,SOLS,DEL
2026-01-01,ALNY,ADD
2026-01-01,FER,ADD
2026-01-01,INSM,ADD
2026-01-01,MPWRUW,ADD
2026-01-01,STX,ADD
2026-01-01,WDC,ADD
2026-01-01,BIIB,DEL
2026-01-01,CDW,DEL
2026-01-01,GFS,DEL
2026-01-01,LULU,DEL
2026-01-01,ON,DEL
2026-01-01,TTD,DEL
2026-02-01,9996651D,DEL
2026-02-01,WMT,ADD
2026-02-01,LEND,DEL
