ticker,reason
0945329D,Bloomberg ID
0964591D,Bloomberg ID
1040983D,Bloomberg ID
1255459D,Bloomberg ID
1280712D,Bloomberg ID
1288453D,Bloomberg ID
1396924D,Bloomberg ID
1396926D,Bloomberg ID
1448062D,Bloomberg ID
1518855D,Bloomberg ID
1519128D,Bloomberg ID
1541931D,Bloomberg ID
1579957D,Bloomberg ID
166783Q,Unavailable/Delisted
1683351D,Bloomberg ID
1683997D,Bloomberg ID
1746513D,Bloomberg ID
1778808D,Bloomberg ID
1812212D,Bloomberg ID
1841189D,Bloomberg ID
1918732D,Bloomberg ID
1920486D,Bloomberg ID
2207158D,Bloomberg ID
2217347D,Bloomberg ID
2293940D,Bloomberg ID
2293944D,Bloomberg ID
2297264D,Bloomberg ID
2297267D,Bloomberg ID
2307532Q,Bloomberg ID
2326248D,Bloomberg ID
2471693D,Bloomberg ID
2544554D,Bloomberg ID
2619871D,Bloomberg ID
3029830Q,Bloomberg ID
3122066Q,Bloomberg ID
3153670Q,Bloomberg ID
3437127Q,Bloomberg ID
3549162Q,Bloomberg ID
519239Q,Unavailable/Delisted
582663Q,Unavailable/Delisted
713075Q,Unavailable/Delisted
9210611D,Bloomberg ID
9990294D,Bloomberg ID
9996651D,Bloomberg ID
9999794D,Bloomberg ID
9999825D,Bloomberg ID
9999826D,Bloomberg ID
9999955D,Bloomberg ID
ABGX,Unavailable/Delisted
ADRX,Unavailable/Delisted
ALXN,Unavailable/Delisted
AMCC,Unavailable/Delisted
ANSS,Unavailable/Delisted
APOL,Unavailable/Delisted
ARBA,Unavailable/Delisted
ATHMQ,Unavailable/Delisted
ATML,Unavailable/Delisted
ATVI,Unavailable/Delisted
ATYT,Unavailable/Delisted
BBBYQ,Unavailable/Delisted
BEAS,Unavailable/Delisted
BGEN,Unavailable/Delisted
BRCD,Unavailable/Delisted
BRCM,Unavailable/Delisted
BVSN,Unavailable/Delisted
CDWC,Unavailable/Delisted
CELG,Unavailable/Delisted
CEPH,Unavailable/Delisted
CERN,Unavailable/Delisted
CHTRQ,Unavailable/Delisted
CKFR,Unavailable/Delisted
CMCSK,Unavailable/Delisted
CTRX,Unavailable/Delisted
CTXS,Unavailable/Delisted
DISCA,Unavailable/Delisted
DISCK,Unavailable/Delisted
DISH,Unavailable/Delisted
ENDPQ,Unavailable/Delisted
ESRX,Unavailable/Delisted
EXDSQ,Unavailable/Delisted
FHCC,Unavailable/Delisted
FLIR,Unavailable/Delisted
FWLT,Unavailable/Delisted
GENZ,Unavailable/Delisted
GMCR,Unavailable/Delisted
GMST,Unavailable/Delisted
HGSI,Unavailable/Delisted
ICOS,Unavailable/Delisted
IDTI,Unavailable/Delisted
IMNX,Unavailable/Delisted
ISIL,Unavailable/Delisted
JNPR,Unavailable/Delisted
JOY,Unavailable/Delisted
KRFT,Unavailable/Delisted
LLTC,Unavailable/Delisted
LNCR,Unavailable/Delisted
LVLT,Unavailable/Delisted
LVNTA,Unavailable/Delisted
MCIP,Unavailable/Delisted
MCLDQ,Unavailable/Delisted
MDLZ,Unavailable/Delisted
MFNXQ,Unavailable/Delisted
MWW,Unavailable/Delisted
MXIM,Unavailable/Delisted
MYL,Unavailable/Delisted
NIHDQ,Unavailable/Delisted
NOVL,Unavailable/Delisted
NUAN,Unavailable/Delisted
NXTL,Unavailable/Delisted
PDCO,Unavailable/Delisted
PDLI,Unavailable/Delisted
PETM,Unavailable/Delisted
PIXR,Unavailable/Delisted
PMCS,Unavailable/Delisted
PPDI,Unavailable/Delisted
QLGC,Unavailable/Delisted
RATL,Unavailable/Delisted
RFMD,Unavailable/Delisted
RHT,Unavailable/Delisted
RNWK,Unavailable/Delisted
SDLI,Unavailable/Delisted
SEBL,Unavailable/Delisted
SEPR,Unavailable/Delisted
SGEN,Unavailable/Delisted
SHLDQ,Unavailable/Delisted
SHPG,Unavailable/Delisted
SIAL,Unavailable/Delisted
SPLK,Unavailable/Delisted
SRCL,Unavailable/Delisted
SSCCQ,Unavailable/Delisted
STCN,Unavailable/Delisted
STRZA,Unavailable/Delisted
TFCF,Unavailable/Delisted
TFCFA,Unavailable/Delisted
VIAB,Unavailable/Delisted
VTSS,Unavailable/Delisted
WBA,Unavailable/Delisted
WCOEQ,Unavailable/Delisted
WCRX,Unavailable/Delisted
WFM,Unavailable/Delisted
XLNX,Unavailable/Delisted
XMSR,Unavailable/Delisted
XOXOQ,Unavailable/Delisted
