fold_id,train_start,train_end,val_start,val_end,test_start,test_end,n_train,n_test,retrained,val_ir2,val_sharpe,test_ir2,test_arc,test_mdd,test_sharpe,test_sortino,test_n_trades,test_total_tc,test_cash
1,2021-03-29,2023-03-28,2023-04-05,2023-05-04,2023-05-05,2023-06-02,502,20,True,0.0,-1.7577,179.5713,72.74,1.98,4.9718,11.7282,19,0.021,0.38
2,2021-04-29,2023-04-28,2023-05-08,2023-06-05,2023-06-06,2023-07-05,502,19,False,289.2649,4.5999,55.4004,50.75,3.38,3.5143,7.1847,18,0.0176,0.5
3,2021-06-01,2023-05-26,2023-06-05,2023-06-30,2023-07-05,2023-08-04,500,23,False,24.3585,3.4129,19.0058,29.28,3.1,1.462,1.9891,22,0.0242,0.48
4,2021-06-29,2023-06-28,2023-07-06,2023-08-04,2023-08-07,2023-09-05,501,21,False,61.0571,2.6097,0.0,-3.05,3.48,-0.441,-0.7463,19,0.0169,0.42
5,2021-07-29,2023-07-28,2023-08-07,2023-09-01,2023-09-05,2023-10-04,500,22,True,0.0,-0.1342,0.0,-50.67,5.88,-4.5129,-6.02,12,0.0112,0.0
6,2021-08-30,2023-08-28,2023-09-05,2023-10-04,2023-10-05,2023-11-03,499,22,True,0.0,-4.4043,0.0,-6.66,7.63,0.8029,1.546,21,0.0257,0.0
7,2021-09-29,2023-09-28,2023-10-06,2023-11-03,2023-11-06,2023-12-05,500,20,False,0.0,-0.2698,763.0774,124.81,1.37,5.3923,24.8912,18,0.0157,0.0
8,2021-10-29,2023-10-27,2023-11-06,2023-12-04,2023-12-05,2024-01-04,499,21,False,1173.89,5.9343,185.5128,87.02,3.23,4.759,7.7636,18,0.0205,0.0
9,2021-11-29,2023-11-28,2023-12-06,2024-01-05,2024-01-08,2024-02-05,500,20,False,113.0772,4.1034,192.6147,49.69,1.36,3.9236,8.5395,18,0.0137,0.0
10,2021-12-29,2023-12-28,2024-01-05,2024-02-02,2024-02-05,2024-03-04,500,20,False,419.4957,6.0315,65.522,52.77,2.52,2.394,3.7718,19,0.0177,0.0
11,2022-01-31,2024-01-26,2024-02-05,2024-03-04,2024-03-05,2024-04-04,497,22,False,65.7606,2.3383,6.0701,14.3,2.83,-0.2628,-0.4812,21,0.0167,0.0
12,2022-02-28,2024-02-27,2024-03-06,2024-04-05,2024-04-08,2024-05-03,499,20,True,0.0,-0.2645,0.0,-34.29,5.96,-1.6948,-2.9924,19,0.03,0.0
13,2022-03-28,2024-03-27,2024-04-04,2024-05-03,2024-05-06,2024-06-03,500,20,True,0.0,-0.6916,1.124,5.16,2.71,0.2485,0.357,15,0.0121,0.01
