fold_id,train_start,train_end,val_start,val_end,test_start,test_end,n_train,n_test,retrained,selected_config,val_ir2,val_sharpe,test_ir2,test_arc,test_mdd,test_sharpe,test_sortino,test_n_trades,test_total_tc,test_cash
1,2021-03-29,2023-03-28,2023-04-05,2023-05-04,2023-05-05,2023-06-02,502,20,True,aggressive_timing,0.0,-1.1698,169.3442,20.89,0.57,5.5343,13.8806,5,0.0764,69.96
2,2021-04-29,2023-04-28,2023-05-08,2023-06-05,2023-06-06,2023-07-05,502,19,False,aggressive_timing,238.6593,5.0828,63.7561,15.83,0.93,4.0249,7.8214,1,0.074,69.88
3,2021-06-01,2023-05-26,2023-06-05,2023-06-30,2023-07-05,2023-08-04,500,23,False,aggressive_timing,35.4526,4.0019,29.3292,10.77,0.89,2.0044,2.6821,2,0.0754,69.9
4,2021-06-29,2023-06-28,2023-07-06,2023-08-04,2023-08-07,2023-09-05,501,21,False,aggressive_timing,68.9523,3.1716,0.7528,1.86,0.97,0.1694,0.2847,3,0.0756,69.94
5,2021-07-29,2023-07-28,2023-08-07,2023-09-01,2023-09-05,2023-10-04,500,22,True,standard,0.4738,0.5534,0.0,-16.84,1.6,-3.793,-5.3777,4,0.0787,69.99
6,2021-08-30,2023-08-28,2023-09-05,2023-10-04,2023-10-05,2023-11-03,499,22,True,large_capacity,0.0,-2.7828,0.0,-4.67,6.21,0.9011,1.5978,21,0.1629,19.53
7,2021-09-29,2023-09-28,2023-10-06,2023-11-03,2023-11-06,2023-12-05,500,20,True,aggressive_timing,0.0,0.3245,537.8568,28.46,0.36,5.9818,29.9925,17,0.0951,69.73
8,2021-10-29,2023-10-27,2023-11-06,2023-12-04,2023-12-05,2024-01-04,499,21,False,aggressive_timing,740.2687,6.4838,147.1397,22.44,0.92,5.2765,8.7686,19,0.0934,69.73
9,2021-11-29,2023-11-28,2023-12-06,2024-01-05,2024-01-08,2024-02-05,500,20,False,aggressive_timing,99.844,4.6022,270.2395,16.13,0.34,4.9425,10.7356,16,0.0958,69.63
10,2021-12-29,2023-12-28,2024-01-05,2024-02-02,2024-02-05,2024-03-04,500,20,False,aggressive_timing,459.7647,7.148,74.023,16.18,0.71,2.8567,4.7296,15,0.0946,69.57
11,2022-01-31,2024-01-26,2024-02-05,2024-03-04,2024-03-05,2024-04-04,497,22,False,aggressive_timing,74.4257,2.7912,15.9612,6.53,0.77,0.4451,0.863,20,0.1036,69.59
12,2022-02-28,2024-02-27,2024-03-06,2024-04-05,2024-04-08,2024-05-03,499,20,True,standard,0.0,0.0208,0.0,-7.78,2.32,-0.4926,-0.8887,19,0.3671,62.88
13,2022-03-28,2024-03-27,2024-04-04,2024-05-03,2024-05-06,2024-06-03,500,20,True,conservative_lr,19.0683,2.4507,0.0,-4.74,2.15,-1.3711,-1.7051,19,0.5288,26.57
14,2022-04-28,2024-04-26,2024-05-06,2024-06-04,2024-06-05,2024-07-02,499,19,True,conservative_lr,40.7055,2.2381,8.4875,6.05,0.78,1.9355,3.8329,18,0.591,28.24
15,2022-05-31,2024-05-24,2024-06-04,2024-07-02,2024-07-05,2024-08-02,497,21,False,conservative_lr,71.3445,3.5884,0.0,-39.02,5.58,-6.5531,-8.3522,20,0.4443,48.46
16,2022-06-28,2024-06-27,2024-07-05,2024-08-02,2024-08-05,2024-09-04,500,22,True,aggressive_timing,0.8676,-0.3311,27.8946,20.72,2.12,1.6796,2.2361,21,0.7645,55.05
17,2022-07-28,2024-07-26,2024-08-05,2024-09-03,2024-09-04,2024-10-03,498,22,True,aggressive_timing,323.7071,4.0748,88.3526,14.15,0.56,3.1147,4.8917,4,0.0758,69.88
18,2022-08-29,2024-08-27,2024-09-04,2024-10-03,2024-10-04,2024-11-01,498,21,False,aggressive_timing,88.3435,3.0395,0.0,-3.08,0.99,0.0047,0.0071,3,0.0757,69.77
19,2022-09-28,2024-09-27,2024-10-07,2024-11-04,2024-11-05,2024-12-04,499,20,True,conservative_lr,34.4421,2.4759,49.6705,18.87,1.28,3.2034,4.787,19,0.1433,69.99
20,2022-10-28,2024-10-25,2024-11-04,2024-12-03,2024-12-04,2025-01-03,497,20,False,conservative_lr,134.3861,4.3407,0.0,-35.36,3.23,-4.4105,-4.6633,19,0.3473,66.53
21,2022-11-28,2024-11-27,2024-12-05,2025-01-03,2025-01-06,2025-02-04,501,20,True,aggressive_timing,0.0,-2.1575,145.4365,22.04,0.62,4.0911,10.1807,18,0.2567,63.77
22,2022-12-28,2024-12-27,2025-01-06,2025-02-03,2025-02-04,2025-03-03,498,19,False,aggressive_timing,281.3093,4.5153,0.0,-10.48,2.0,-3.1137,-4.0812,18,0.1439,68.1
23,2023-01-30,2025-01-27,2025-02-04,2025-03-03,2025-03-04,2025-04-03,495,23,True,conservative_lr,15.5226,0.3227,0.0,-9.94,2.35,-3.4607,-4.2432,15,0.0828,69.94
24,2023-02-28,2025-02-27,2025-03-07,2025-04-04,2025-04-07,2025-05-06,497,21,True,standard,0.0,-3.378,216.4937,66.25,1.47,3.7195,9.1213,6,0.0782,69.98
25,2023-03-28,2025-03-27,2025-04-04,2025-05-02,2025-05-05,2025-06-03,497,21,False,standard,178.9068,4.116,165.8577,31.13,0.91,4.967,11.7118,11,0.3052,63.92
26,2023-04-28,2025-04-25,2025-05-05,2025-06-04,2025-06-05,2025-07-02,495,19,False,standard,207.6959,4.9073,9.1276,8.86,1.42,1.8052,1.6199,10,0.5633,56.19
27,2023-05-30,2025-05-27,2025-06-04,2025-07-02,2025-07-07,2025-08-01,495,20,False,standard,14.7129,2.0612,0.0,-17.2,2.6,-3.7259,-3.4775,15,0.9173,47.71
28,2023-06-28,2025-06-27,2025-07-07,2025-08-04,2025-08-05,2025-09-04,497,22,True,aggressive_timing,0.0,2.0924,0.0,-8.7,1.64,-0.2062,-0.3463,21,0.5614,42.22
29,2023-07-28,2025-07-25,2025-08-04,2025-09-03,2025-09-04,2025-10-03,495,22,True,standard,8.6285,1.1979,482.0883,57.08,0.95,6.4275,14.6409,21,0.3203,5.0
30,2023-08-28,2025-08-27,2025-09-04,2025-10-03,2025-10-06,2025-11-03,497,21,False,standard,697.4441,5.576,1.449,8.77,3.39,0.6335,0.8027,19,0.0341,5.0
31,2023-09-28,2025-09-26,2025-10-06,2025-11-04,2025-11-05,2025-12-04,496,20,True,standard,80.8244,3.1574,12.0787,15.74,2.31,1.4486,2.2267,19,0.5414,39.72
32,2023-10-30,2025-10-27,2025-11-04,2025-12-03,2025-12-04,2026-01-02,495,19,False,standard,12.8664,2.1428,7.8767,5.16,0.84,1.0273,2.8388,17,0.3079,58.37
33,2023-11-28,2025-11-26,2025-12-05,2026-01-02,2026-01-05,2026-02-04,498,22,True,large_capacity,0.6366,0.4161,0.0,-3.72,1.29,-0.5536,-0.7607,9,0.2404,66.04
