fold_id,train_start,train_end,val_start,val_end,test_start,test_end,n_train,n_test,retrained,selected_config,val_ir2,val_sharpe,test_ir2,test_arc,qqq_test_arc,test_mdd,test_sharpe,test_sortino,test_n_trades,test_total_tc,test_cash
1,2003-03-27,2008-03-26,2008-03-31,2009-03-27,2009-03-30,2010-03-26,1297,255,True,small_k20,0.0,-1.1026,6.6987,48.02,51.57,13.26,1.6313,2.5208,243,0.734,4.9
2,2004-03-29,2009-03-26,2009-03-30,2010-03-26,2010-03-29,2011-03-28,1292,259,False,small_k20,6.6978,1.6282,0.0,0.05,6.57,13.09,0.0999,0.148,208,0.7293,5.04
3,2005-03-28,2010-03-26,2010-03-29,2011-03-28,2011-03-29,2012-03-28,1288,259,False,small_k20,0.0,0.0989,0.0,-9.95,-14.46,26.97,-0.3645,-0.5341,219,0.5795,4.56
4,2006-03-27,2011-03-25,2011-03-29,2012-03-28,2012-03-29,2013-03-28,1286,255,True,medium_k20,0.0,-0.3545,0.2423,7.71,6.57,12.51,0.4993,0.7567,247,0.6664,4.68
5,2007-03-27,2012-03-26,2012-03-29,2013-03-28,2013-04-02,2014-03-28,1283,255,False,medium_k20,0.2668,0.5159,2.4187,21.31,29.84,11.07,1.3033,1.9076,242,0.6894,5.31
6,2008-03-27,2013-03-26,2013-04-02,2014-03-28,2014-03-31,2015-03-27,1284,255,False,medium_k20,2.4101,1.2989,1.5438,18.47,-5.47,13.08,1.1162,1.7202,240,0.6854,5.25
7,2009-03-27,2014-03-26,2014-03-31,2015-03-27,2015-03-30,2016-03-24,1282,255,False,medium_k20,1.5478,1.1148,0.0,-12.35,-13.55,22.09,-0.5237,-0.7919,233,0.7002,4.7
8,2010-03-29,2015-03-26,2015-03-30,2016-03-24,2016-03-29,2017-03-28,1282,260,True,small_k30,0.0,-0.5275,1.3086,15.42,13.03,10.95,1.0092,1.2745,207,0.4219,3.12
9,2011-03-28,2016-03-24,2016-03-29,2017-03-28,2017-03-29,2018-03-28,1280,255,False,small_k30,1.3093,1.0074,0.0626,2.71,11.1,9.86,0.3163,0.4952,189,0.3415,3.17
10,2012-03-27,2017-03-24,2017-03-29,2018-03-28,2018-03-29,2019-03-28,1280,255,True,small_k30,0.0637,0.3181,0.1017,4.03,-6.72,13.67,0.3846,0.5555,194,0.4039,2.59
11,2013-03-27,2018-03-26,2018-03-29,2019-03-28,2019-03-29,2020-03-27,1280,256,True,medium_k20,0.2657,0.5571,0.0,-10.4,-13.85,33.52,-0.5109,-0.4966,213,0.6532,3.31
12,2014-03-27,2019-03-26,2019-03-29,2020-03-27,2020-03-30,2021-03-26,1280,255,True,small_k30,0.0,-0.7366,5.2423,38.3,49.58,13.24,1.6756,2.4569,215,0.4238,3.15
13,2015-03-27,2020-03-26,2020-03-30,2021-03-26,2021-03-29,2022-03-28,1281,259,False,small_k30,5.243,1.6724,0.0,-1.63,-4.74,19.69,0.033,0.0409,224,0.5093,3.11
14,2016-03-29,2021-03-26,2021-03-29,2022-03-28,2022-03-29,2023-03-28,1281,258,True,small_k30,0.0,0.0384,0.0243,2.6,4.39,15.6,0.2518,0.3595,206,0.3725,3.36
15,2017-03-27,2022-03-25,2022-03-29,2023-03-28,2023-03-29,2024-03-28,1281,256,False,small_k30,0.0243,0.2513,5.2925,22.34,23.01,8.56,1.8981,2.6981,189,0.3668,3.38
16,2018-03-27,2023-03-24,2023-03-29,2024-03-28,2024-04-02,2025-03-28,1283,255,False,small_k30,5.2924,1.8944,0.9745,10.54,9.15,8.9,0.7943,1.1895,175,0.3962,3.38
