fold_id,train_start,train_end,val_start,val_end,test_start,test_end,n_train,n_test,retrained,selected_config,val_ir2,val_sharpe,test_ir2,test_arc,qqq_test_arc,test_mdd,test_sharpe,test_sortino,test_n_trades,test_total_tc,test_cash
1,2003-03-27,2008-03-26,2008-03-31,2009-03-27,2009-03-30,2010-03-26,1297,255,True,bmk_nopen_med_k20,0.0,-1.1001,6.7181,50.5,51.57,13.91,1.6252,2.5112,233,0.7644,0.0
2,2004-03-29,2009-03-26,2009-03-30,2010-03-26,2010-03-29,2011-03-28,1292,259,False,bmk_nopen_med_k20,6.7168,1.6219,0.027,2.75,6.57,13.68,0.2364,0.3551,207,0.7248,0.0
3,2005-03-28,2010-03-26,2010-03-29,2011-03-28,2011-03-29,2012-03-28,1288,259,False,bmk_nopen_med_k20,0.027,0.2358,0.0,-10.48,-14.46,28.05,-0.3633,-0.5329,206,0.6032,0.0
4,2006-03-27,2011-03-25,2011-03-29,2012-03-28,2012-03-29,2013-03-28,1286,255,True,bmk_nopen_k10,0.0,-0.308,0.0245,2.75,6.57,13.98,0.2617,0.398,219,1.0288,0.0
5,2007-03-27,2012-03-26,2012-03-29,2013-03-28,2013-04-02,2014-03-28,1283,255,False,bmk_nopen_k10,0.025,0.2625,2.016,21.89,29.84,12.29,1.2022,1.8047,199,0.9383,0.0
6,2008-03-27,2013-03-26,2013-04-02,2014-03-28,2014-03-31,2015-03-27,1284,255,False,bmk_nopen_k10,2.0111,1.1987,0.7972,14.86,-5.47,14.8,0.8527,1.3152,189,0.8828,0.0
7,2009-03-27,2014-03-26,2014-03-31,2015-03-27,2015-03-30,2016-03-24,1282,255,False,bmk_nopen_k10,0.8037,0.8536,0.0,-13.9,-13.55,22.32,-0.5613,-0.8418,218,1.0703,0.0
8,2010-03-29,2015-03-26,2015-03-30,2016-03-24,2016-03-29,2017-03-28,1282,260,True,bmk_nopen_k20,0.0,-0.5344,0.8996,12.23,13.03,9.77,0.8352,1.1523,208,0.63,0.0
9,2011-03-28,2016-03-24,2016-03-29,2017-03-28,2017-03-29,2018-03-28,1280,255,False,bmk_nopen_k20,0.9005,0.8339,0.0088,1.07,11.1,10.1,0.1619,0.2576,192,0.5527,0.0
10,2012-03-27,2017-03-24,2017-03-29,2018-03-28,2018-03-29,2019-03-28,1280,255,True,bmk_nopen_k10,0.0001,0.0502,0.1168,4.48,-6.72,13.36,0.3818,0.5274,199,0.8679,0.0
11,2013-03-27,2018-03-26,2018-03-29,2019-03-28,2019-03-29,2020-03-27,1280,256,True,bmk_nopen_k20,0.2562,0.5491,0.0,-10.85,-13.85,34.49,-0.5116,-0.4985,199,0.6645,0.0
12,2014-03-27,2019-03-26,2019-03-29,2020-03-27,2020-03-30,2021-03-26,1280,255,True,bmk_nopen_k10,0.0,-0.3279,3.8125,32.78,49.58,13.31,1.5057,2.2554,215,1.022,0.0
13,2015-03-27,2020-03-26,2020-03-30,2021-03-26,2021-03-29,2022-03-28,1281,259,False,bmk_nopen_k10,3.8261,1.5043,0.0,-3.65,-4.74,19.48,-0.0733,-0.0947,208,0.8326,0.0
14,2016-03-29,2021-03-26,2021-03-29,2022-03-28,2022-03-29,2023-03-28,1281,258,True,bmk_nopen_k10,0.0,-0.0622,0.0,-2.24,4.39,21.57,-0.0284,-0.0374,226,0.9553,0.0
15,2017-03-27,2022-03-25,2022-03-29,2023-03-28,2023-03-29,2024-03-28,1281,256,True,bmk_nopen_k20,0.1163,0.4036,4.568,22.94,23.01,9.55,1.7804,2.4839,215,0.6671,0.0
16,2018-03-27,2023-03-24,2023-03-29,2024-03-28,2024-04-02,2025-03-28,1283,255,False,bmk_nopen_k20,4.5757,1.7779,0.9982,11.62,9.15,9.6,0.8054,1.1685,202,0.5937,0.0
