fold_id,train_start,train_end,val_start,val_end,test_start,test_end,n_train,n_test,retrained,selected_config,val_ir2,val_sharpe,test_ir2,test_arc,qqq_test_arc,test_mdd,test_sharpe,test_sortino,test_n_trades,test_total_tc,test_cash
1,2003-03-27,2008-03-26,2008-03-31,2009-03-27,2009-03-30,2010-03-26,1297,255,True,bmk_mild_med_k20,0.0,-1.1034,6.7183,50.55,51.57,13.92,1.6251,2.5101,231,0.7635,0.0
2,2004-03-29,2009-03-26,2009-03-30,2010-03-26,2010-03-29,2011-03-28,1292,259,False,bmk_mild_med_k20,6.716,1.6217,0.027,2.75,6.57,13.69,0.2362,0.355,207,0.7253,0.0
3,2005-03-28,2010-03-26,2010-03-29,2011-03-28,2011-03-29,2012-03-28,1288,259,False,bmk_mild_med_k20,0.027,0.2359,0.0,-10.48,-14.46,28.04,-0.3628,-0.5324,207,0.6045,0.0
4,2006-03-27,2011-03-25,2011-03-29,2012-03-28,2012-03-29,2013-03-28,1286,255,True,bmk_mild_med_k20,0.0,-0.3595,0.2807,8.67,6.57,12.99,0.5285,0.8078,208,0.6426,0.0
5,2007-03-27,2012-03-26,2012-03-29,2013-03-28,2013-04-02,2014-03-28,1283,255,False,bmk_mild_med_k20,0.2827,0.5285,2.3597,22.15,29.84,11.66,1.2917,1.8856,209,0.6481,0.0
6,2008-03-27,2013-03-26,2013-04-02,2014-03-28,2014-03-31,2015-03-27,1284,255,False,bmk_mild_med_k20,2.3561,1.2885,1.5395,19.26,-5.47,13.6,1.1109,1.7206,199,0.6514,0.0
7,2009-03-27,2014-03-26,2014-03-31,2015-03-27,2015-03-30,2016-03-24,1282,255,True,bmk_mild_med_k20,1.5514,1.1109,0.0,-13.24,-13.55,23.28,-0.5375,-0.8143,220,0.696,0.0
8,2010-03-29,2015-03-26,2015-03-30,2016-03-24,2016-03-29,2017-03-28,1282,260,True,bmk_mild_med_k20,0.0,-0.536,0.8916,12.17,13.03,9.78,0.8324,1.1475,216,0.6334,0.0
9,2011-03-28,2016-03-24,2016-03-29,2017-03-28,2017-03-29,2018-03-28,1280,255,False,bmk_mild_med_k20,0.8942,0.8316,0.0081,1.02,11.1,10.11,0.1588,0.2526,191,0.5528,0.0
10,2012-03-27,2017-03-24,2017-03-29,2018-03-28,2018-03-29,2019-03-28,1280,255,True,bmk_nopen_k20,0.0086,0.1606,0.2494,6.23,-6.72,12.87,0.5444,0.7726,176,0.5305,0.0
11,2013-03-27,2018-03-26,2018-03-29,2019-03-28,2019-03-29,2020-03-27,1280,256,False,bmk_nopen_k20,0.2489,0.5429,0.0,-10.87,-13.85,34.5,-0.5123,-0.4992,197,0.6645,0.0
12,2014-03-27,2019-03-26,2019-03-29,2020-03-27,2020-03-30,2021-03-26,1280,255,True,bmk_nopen_k20,0.0,-0.5075,4.2515,34.69,49.58,13.44,1.5568,2.2761,206,0.6932,0.0
13,2015-03-27,2020-03-26,2020-03-30,2021-03-26,2021-03-29,2022-03-28,1281,259,False,bmk_nopen_k20,4.2511,1.5537,0.0,-3.72,-4.74,21.13,-0.0704,-0.0887,205,0.6636,0.0
14,2016-03-29,2021-03-26,2021-03-29,2022-03-28,2022-03-29,2023-03-28,1281,258,True,bmk_mild_k20,0.0,-0.0771,0.1165,5.77,4.39,15.69,0.4058,0.5581,221,0.6397,0.0
15,2017-03-27,2022-03-25,2022-03-29,2023-03-28,2023-03-29,2024-03-28,1281,256,False,bmk_mild_k20,0.1153,0.4034,4.5438,22.88,23.01,9.55,1.7764,2.4758,216,0.6704,0.0
16,2018-03-27,2023-03-24,2023-03-29,2024-03-28,2024-04-02,2025-03-28,1283,255,False,bmk_mild_k20,4.5466,1.7741,0.9991,11.63,9.15,9.62,0.8063,1.1717,200,0.596,0.0
