fold_id,train_start,train_end,val_start,val_end,test_start,test_end,n_train,n_test,retrained,selected_config,val_ir2,val_sharpe,test_ir2,test_arc,qqq_test_arc,test_mdd,test_sharpe,test_sortino,test_n_trades,test_total_tc,test_cash
1,2003-03-27,2008-03-26,2008-03-31,2009-03-27,2009-03-30,2010-03-26,1297,255,True,lstm_k20,0.0,-1.0988,6.7069,47.96,51.57,13.22,1.6308,2.5145,247,0.7409,5.17
2,2004-03-29,2009-03-26,2009-03-30,2010-03-26,2010-03-29,2011-03-28,1292,259,False,lstm_k20,6.7032,1.6267,0.0083,1.45,6.57,13.1,0.1723,0.2561,231,0.7251,5.31
3,2005-03-28,2010-03-26,2010-03-29,2011-03-28,2011-03-29,2012-03-28,1288,259,False,lstm_k20,0.0086,0.1737,0.0,-9.76,-14.46,26.92,-0.3545,-0.519,240,0.5998,4.81
4,2006-03-27,2011-03-25,2011-03-29,2012-03-28,2012-03-29,2013-03-28,1286,255,True,tf_2L_k20,0.0,-0.3581,0.2856,8.49,6.57,12.63,0.5301,0.8091,252,0.671,3.51
5,2007-03-27,2012-03-26,2012-03-29,2013-03-28,2013-04-02,2014-03-28,1283,255,False,tf_2L_k20,0.2887,0.5306,2.3737,21.43,29.84,11.25,1.2957,1.8921,251,0.6698,3.8
6,2008-03-27,2013-03-26,2013-04-02,2014-03-28,2014-03-31,2015-03-27,1284,255,False,tf_2L_k20,2.357,1.2903,1.5526,18.66,-5.47,13.12,1.1145,1.7249,247,0.6717,3.67
7,2009-03-27,2014-03-26,2014-03-31,2015-03-27,2015-03-30,2016-03-24,1282,255,False,tf_2L_k20,1.5536,1.1125,0.0,-12.69,-13.55,22.53,-0.5314,-0.8048,249,0.714,3.14
8,2010-03-29,2015-03-26,2015-03-30,2016-03-24,2016-03-29,2017-03-28,1282,260,True,tf_2L_k30,0.0,-0.5232,1.2956,15.46,13.03,11.06,1.0069,1.2728,233,0.4496,2.65
9,2011-03-28,2016-03-24,2016-03-29,2017-03-28,2017-03-29,2018-03-28,1280,255,False,tf_2L_k30,1.293,1.0044,0.06,2.68,11.1,9.94,0.3127,0.4881,216,0.3596,2.71
10,2012-03-27,2017-03-24,2017-03-29,2018-03-28,2018-03-29,2019-03-28,1280,255,True,tf_2L_k30,0.0651,0.32,0.1011,4.0,-6.72,13.6,0.3831,0.5524,196,0.4058,2.89
11,2013-03-27,2018-03-26,2018-03-29,2019-03-28,2019-03-29,2020-03-27,1280,256,True,lstm_k20,0.2667,0.5569,0.0,-10.15,-13.85,33.16,-0.5057,-0.4916,197,0.636,4.62
12,2014-03-27,2019-03-26,2019-03-29,2020-03-27,2020-03-30,2021-03-26,1280,255,True,tf_2L_k30,0.0,-0.7318,5.1499,38.22,49.58,13.33,1.6635,2.4457,228,0.4571,2.55
13,2015-03-27,2020-03-26,2020-03-30,2021-03-26,2021-03-29,2022-03-28,1281,259,False,tf_2L_k30,5.1475,1.6597,0.0,-1.63,-4.74,19.82,0.0341,0.0423,235,0.5176,2.5
14,2016-03-29,2021-03-26,2021-03-29,2022-03-28,2022-03-29,2023-03-28,1281,258,True,tf_2L_k30,0.0,0.0387,0.0233,2.53,4.39,15.5,0.2486,0.3551,229,0.3897,3.85
15,2017-03-27,2022-03-25,2022-03-29,2023-03-28,2023-03-29,2024-03-28,1281,256,False,tf_2L_k30,0.0231,0.2478,5.2973,22.29,23.01,8.53,1.8983,2.6976,204,0.3782,3.35
16,2018-03-27,2023-03-24,2023-03-29,2024-03-28,2024-04-02,2025-03-28,1283,255,False,tf_2L_k30,5.2965,1.8946,0.9958,10.62,9.15,8.88,0.8032,1.2037,193,0.4091,3.45
