fold_id,train_start,train_end,val_start,val_end,test_start,test_end,n_train,n_test,retrained,selected_config,val_ir2,val_sharpe,test_ir2,test_arc,qqq_test_arc,test_mdd,test_sharpe,test_sortino,test_n_trades,test_total_tc,test_cash
1,2003-03-27,2008-03-26,2008-03-31,2009-03-27,2009-03-30,2010-03-26,1283,243,True,small_k20,0.0,-1.3615,1.965,28.63,32.82,19.02,1.3283,2.1347,242,1.588,23.19
2,2004-03-29,2009-03-26,2009-03-30,2010-03-26,2010-03-29,2011-03-28,1266,243,False,small_k20,1.532,1.21,0.0,-17.79,-13.66,29.09,-0.6924,-0.8243,242,1.5345,10.86
3,2005-03-28,2010-03-26,2010-03-29,2011-03-28,2011-03-29,2012-03-28,1250,247,True,small_k20,0.0,-0.5803,0.0,-0.75,8.59,14.1,0.0812,0.1383,245,1.3494,9.02
4,2006-03-27,2011-03-25,2011-03-29,2012-03-28,2012-03-29,2013-03-28,1232,246,False,small_k20,0.0,0.0972,0.8246,17.72,24.16,19.3,0.846,1.4011,245,1.3011,7.81
5,2007-03-27,2012-03-26,2012-03-29,2013-03-28,2013-03-29,2014-03-28,1223,245,False,small_k20,0.7119,0.8,1.0207,22.32,18.5,16.7,0.8274,1.2021,244,1.3981,9.89
6,2008-03-27,2013-03-26,2013-03-29,2014-03-28,2014-03-31,2015-03-27,1223,245,False,small_k20,0.7302,0.7378,9.9711,45.25,32.34,11.46,2.1681,3.2363,243,1.1078,7.39
7,2009-03-27,2014-03-26,2014-03-31,2015-03-27,2015-03-30,2016-03-28,1223,244,True,small_k30,6.3651,1.8423,0.0,-9.4,-12.79,23.03,-0.2272,-0.3245,243,0.8428,2.64
8,2010-03-29,2015-03-26,2015-03-30,2016-03-28,2016-03-29,2017-03-28,1225,245,True,small_k30,0.0,-0.2176,1.4899,20.07,11.34,11.77,0.9791,1.3349,242,0.8398,2.78
9,2011-03-28,2016-03-25,2016-03-29,2017-03-28,2017-03-29,2018-03-28,1227,258,False,small_k30,1.4883,0.9768,0.5432,12.33,10.66,16.28,0.7148,0.9167,251,0.7446,2.8
10,2012-03-27,2017-03-24,2017-03-29,2018-03-28,2018-03-29,2019-03-28,1225,255,False,small_k30,0.544,0.7139,0.0,-2.51,1.03,22.01,-0.1405,-0.1798,252,0.8253,2.79
11,2013-03-27,2018-03-26,2018-03-29,2019-03-28,2019-03-29,2020-03-27,1237,240,True,small_k30,0.0,-0.1497,0.0,-20.49,-12.54,31.38,-0.8348,-1.0289,237,0.8582,2.74
12,2014-03-27,2019-03-26,2019-03-29,2020-03-27,2020-03-30,2021-03-26,1247,243,True,small_k20,0.0,0.0531,18.4674,39.29,52.83,5.13,2.2039,3.3096,242,1.4728,22.24
13,2015-03-27,2020-03-26,2020-03-30,2021-03-26,2021-03-29,2022-03-28,1242,244,False,small_k20,17.1578,2.1508,2.3967,24.48,-4.34,12.13,1.1294,1.7644,243,1.5098,16.33
14,2016-03-28,2021-03-26,2021-03-29,2022-03-28,2022-03-29,2023-03-28,1242,245,False,small_k20,2.0393,1.084,0.0,-1.41,-2.82,12.43,0.0175,0.0218,244,1.3992,18.95
15,2017-03-27,2022-03-25,2022-03-29,2023-03-28,2023-03-29,2024-03-28,1241,246,True,small_k30,0.0,-0.3268,9.5856,42.12,47.55,10.99,2.1472,3.1436,243,0.8517,3.11
16,2018-03-27,2023-03-24,2023-03-29,2024-03-28,2024-03-29,2025-03-28,1227,244,False,small_k30,9.5917,2.1437,0.0098,2.74,-6.57,27.45,0.2088,0.2302,243,0.7841,2.93
