fold_id,train_start,train_end,val_start,val_end,test_start,test_end,n_train,n_test,retrained,selected_config,val_ir2,val_sharpe,test_ir2,test_arc,qqq_test_arc,test_mdd,test_sharpe,test_sortino,test_n_trades,test_total_tc,test_cash
1,2003-03-27,2008-03-26,2008-03-31,2009-03-27,2009-03-30,2010-03-26,1283,243,True,bmk_nopen_k10,0.0,-1.8619,1.1356,27.15,32.82,21.07,0.9831,1.553,242,1.3974,0.0
2,2004-03-29,2009-03-26,2009-03-30,2010-03-26,2010-03-29,2011-03-28,1266,243,False,bmk_nopen_k10,1.1238,0.9784,0.0,-28.66,-13.66,40.65,-0.9765,-1.1298,238,1.3827,0.0
3,2005-03-28,2010-03-26,2010-03-29,2011-03-28,2011-03-29,2012-03-28,1250,247,True,bmk_nopen_k10,0.0,-0.9678,0.0,-11.89,8.59,22.27,-0.4498,-0.7177,234,1.1853,0.0
4,2006-03-27,2011-03-25,2011-03-29,2012-03-28,2012-03-29,2013-03-28,1232,246,True,bmk_nopen_k20,0.0,-0.0993,0.4907,15.51,24.16,22.16,0.6739,1.0761,242,1.0399,0.0
5,2007-03-27,2012-03-26,2012-03-29,2013-03-28,2013-03-29,2014-03-28,1223,245,False,bmk_nopen_k20,0.4938,0.6743,0.3646,17.04,18.5,23.65,0.6287,0.8478,243,1.0209,0.0
6,2008-03-27,2013-03-26,2013-03-29,2014-03-28,2014-03-31,2015-03-27,1223,245,False,bmk_nopen_k20,0.3653,0.6277,8.2908,45.39,32.34,12.73,2.0103,2.9668,243,0.8722,0.0
7,2009-03-27,2014-03-26,2014-03-31,2015-03-27,2015-03-30,2016-03-28,1223,244,False,bmk_nopen_k20,8.273,2.0046,0.0,-14.13,-12.79,26.79,-0.4274,-0.6219,241,1.044,0.0
8,2010-03-29,2015-03-26,2015-03-30,2016-03-28,2016-03-29,2017-03-28,1225,245,True,bmk_nopen_med_k20,0.0,-0.422,2.7561,27.54,11.34,11.37,1.2009,1.6849,237,0.9579,0.0
9,2011-03-28,2016-03-25,2016-03-29,2017-03-28,2017-03-29,2018-03-28,1227,258,False,bmk_nopen_med_k20,2.7532,1.198,1.154,18.9,10.66,16.09,0.9525,1.2605,242,0.863,0.0
10,2012-03-27,2017-03-24,2017-03-29,2018-03-28,2018-03-29,2019-03-28,1225,255,False,bmk_nopen_med_k20,1.1561,0.9514,0.0,-4.79,1.03,24.17,-0.2472,-0.3224,243,0.9326,0.0
11,2013-03-27,2018-03-26,2018-03-29,2019-03-28,2019-03-29,2020-03-27,1237,240,True,bmk_nopen_med_k20,0.0,-0.2436,0.0,-20.0,-12.54,32.62,-0.7607,-0.9489,227,0.9956,0.0
12,2014-03-27,2019-03-26,2019-03-29,2020-03-27,2020-03-30,2021-03-26,1247,243,True,bmk_nopen_k20,0.0,-0.7569,16.0961,43.13,52.83,5.65,1.9327,2.7848,239,1.0121,0.0
13,2015-03-27,2020-03-26,2020-03-30,2021-03-26,2021-03-29,2022-03-28,1242,244,False,bmk_nopen_k20,16.0797,1.9277,2.0811,28.15,-4.34,16.02,1.1252,1.8002,241,0.9558,0.0
14,2016-03-28,2021-03-26,2021-03-29,2022-03-28,2022-03-29,2023-03-28,1242,245,False,bmk_nopen_k20,2.0862,1.1238,0.0,-6.77,-2.82,15.1,-0.2261,-0.2888,234,0.868,0.0
15,2017-03-27,2022-03-25,2022-03-29,2023-03-28,2023-03-29,2024-03-28,1241,246,True,bmk_nopen_med_k20,0.0,-0.218,7.5922,42.31,47.55,12.69,1.9918,2.9649,238,0.8548,0.0
16,2018-03-27,2023-03-24,2023-03-29,2024-03-28,2024-03-29,2025-03-28,1227,244,False,bmk_nopen_med_k20,7.6024,1.9887,0.0,-1.2,-6.57,31.33,0.1053,0.1144,239,0.9039,0.0
