fold_id,train_start,train_end,val_start,val_end,test_start,test_end,n_train,n_test,retrained,selected_config,val_ir2,val_sharpe,test_ir2,test_arc,qqq_test_arc,test_mdd,test_sharpe,test_sortino,test_n_trades,test_total_tc,test_cash
1,2003-03-27,2008-03-26,2008-03-31,2009-03-27,2009-03-30,2010-03-26,1283,243,True,bmk_mild_med_k20,0.0,-1.8866,0.3405,16.01,32.82,26.04,0.7178,1.1167,240,1.1552,0.0
2,2004-03-29,2009-03-26,2009-03-30,2010-03-26,2010-03-29,2011-03-28,1266,243,False,bmk_mild_med_k20,0.3439,0.7186,0.0,-26.31,-13.66,37.31,-0.9728,-1.1684,241,1.1842,0.0
3,2005-03-28,2010-03-26,2010-03-29,2011-03-28,2011-03-29,2012-03-28,1250,247,True,bmk_mild_med_k20,0.0,-0.9698,0.0,-4.44,8.59,17.94,-0.111,-0.1799,242,1.0529,0.0
4,2006-03-27,2011-03-25,2011-03-29,2012-03-28,2012-03-29,2013-03-28,1232,246,True,bmk_nopen_k20,0.0,-0.1007,0.49,15.51,24.16,22.17,0.6739,1.0777,241,1.0361,0.0
5,2007-03-27,2012-03-26,2012-03-29,2013-03-28,2013-03-29,2014-03-28,1223,245,False,bmk_nopen_k20,0.4903,0.6726,0.3637,17.01,18.5,23.64,0.628,0.8469,243,1.0199,0.0
6,2008-03-27,2013-03-26,2013-03-29,2014-03-28,2014-03-31,2015-03-27,1223,245,False,bmk_nopen_k20,0.3627,0.6262,8.3067,45.4,32.34,12.71,2.0102,2.968,234,0.8637,0.0
7,2009-03-27,2014-03-26,2014-03-31,2015-03-27,2015-03-30,2016-03-28,1223,244,True,bmk_mild_med_k20,8.3318,2.006,0.0,-14.07,-12.79,26.82,-0.4244,-0.6178,241,1.0412,0.0
8,2010-03-29,2015-03-26,2015-03-30,2016-03-28,2016-03-29,2017-03-28,1225,245,True,bmk_nopen_k20,0.0,-0.4214,2.7377,27.44,11.34,11.37,1.1979,1.6809,239,0.9573,0.0
9,2011-03-28,2016-03-25,2016-03-29,2017-03-28,2017-03-29,2018-03-28,1227,258,False,bmk_nopen_k20,2.7393,1.1957,1.1498,18.87,10.66,16.11,0.9512,1.2585,242,0.8649,0.0
10,2012-03-27,2017-03-24,2017-03-29,2018-03-28,2018-03-29,2019-03-28,1225,255,False,bmk_nopen_k20,1.1486,0.9491,0.0,-4.75,1.03,24.15,-0.2443,-0.3184,244,0.9321,0.0
11,2013-03-27,2018-03-26,2018-03-29,2019-03-28,2019-03-29,2020-03-27,1237,240,True,bmk_mild_med_k20,0.0,-0.24,0.0,-20.0,-12.54,32.61,-0.7614,-0.9501,227,0.9993,0.0
12,2014-03-27,2019-03-26,2019-03-29,2020-03-27,2020-03-30,2021-03-26,1247,243,True,bmk_mild_k20,0.0,-0.7598,16.2651,43.43,52.83,5.67,1.9424,2.799,239,1.0077,0.0
13,2015-03-27,2020-03-26,2020-03-30,2021-03-26,2021-03-29,2022-03-28,1242,244,False,bmk_mild_k20,16.2538,1.9378,2.0893,28.21,-4.34,16.02,1.1267,1.8034,239,0.9554,0.0
14,2016-03-28,2021-03-26,2021-03-29,2022-03-28,2022-03-29,2023-03-28,1242,245,False,bmk_mild_k20,2.0841,1.1232,0.0,-6.77,-2.82,15.09,-0.2262,-0.289,233,0.867,0.0
15,2017-03-27,2022-03-25,2022-03-29,2023-03-28,2023-03-29,2024-03-28,1241,246,True,bmk_nopen_k20,0.0,-0.2206,7.553,42.2,47.55,12.7,1.9878,2.9584,239,0.8556,0.0
16,2018-03-27,2023-03-24,2023-03-29,2024-03-28,2024-03-29,2025-03-28,1227,244,False,bmk_nopen_k20,7.5569,1.9842,0.0,-1.18,-6.57,31.34,0.1063,0.1154,241,0.9038,0.0
