fold_id,train_start,train_end,val_start,val_end,test_start,test_end,n_train,n_test,retrained,selected_config,val_ir2,val_sharpe,test_ir2,test_arc,qqq_test_arc,test_mdd,test_sharpe,test_sortino,test_n_trades,test_total_tc,test_cash
1,2003-03-27,2008-03-26,2008-03-31,2009-03-27,2009-03-30,2010-03-26,1283,243,True,tf_2L_k20,0.0,-1.5556,0.8558,17.74,32.82,16.93,0.9244,1.3813,242,1.2079,26.86
2,2004-03-29,2009-03-26,2009-03-30,2010-03-26,2010-03-29,2011-03-28,1266,243,False,tf_2L_k20,0.8068,0.8993,0.0,-16.02,-13.66,27.62,-0.6708,-0.7895,242,1.2452,19.98
3,2005-03-28,2010-03-26,2010-03-29,2011-03-28,2011-03-29,2012-03-28,1250,247,True,tf_2L_k20,0.0,-0.9203,0.0,-4.32,8.59,17.21,-0.1223,-0.1977,246,1.0744,4.55
4,2006-03-27,2011-03-25,2011-03-29,2012-03-28,2012-03-29,2013-03-28,1232,246,True,tf_2L_k20,0.0,-0.0745,0.4787,14.89,24.16,21.75,0.669,1.054,245,1.1349,5.6
5,2007-03-27,2012-03-26,2012-03-29,2013-03-28,2013-03-29,2014-03-28,1223,245,False,tf_2L_k20,0.537,0.6958,0.3402,16.03,18.5,23.08,0.6109,0.8212,244,1.07,3.34
6,2008-03-27,2013-03-26,2013-03-29,2014-03-28,2014-03-31,2015-03-27,1223,245,False,tf_2L_k20,0.3632,0.6238,9.4451,45.88,32.34,12.25,2.1623,3.2663,244,1.2077,6.77
7,2009-03-27,2014-03-26,2014-03-31,2015-03-27,2015-03-30,2016-03-28,1223,244,False,tf_2L_k20,8.1241,2.0147,0.0,-17.22,-12.79,29.03,-0.6866,-0.9383,243,1.3747,12.14
8,2010-03-29,2015-03-26,2015-03-30,2016-03-28,2016-03-29,2017-03-28,1225,245,True,tf_2L_k30,0.0,-0.2117,1.5352,20.36,11.34,11.75,0.9894,1.3473,243,0.8471,2.72
9,2011-03-28,2016-03-25,2016-03-29,2017-03-28,2017-03-29,2018-03-28,1227,258,False,tf_2L_k30,1.5229,0.9844,0.5904,12.65,10.66,15.93,0.7368,0.9641,253,0.7599,3.01
10,2012-03-27,2017-03-24,2017-03-29,2018-03-28,2018-03-29,2019-03-28,1225,255,False,tf_2L_k30,0.6224,0.7494,0.0,-2.29,1.03,21.81,-0.1279,-0.1643,253,0.8343,3.0
11,2013-03-27,2018-03-26,2018-03-29,2019-03-28,2019-03-29,2020-03-27,1237,240,True,tf_2L_k30,0.0,-0.146,0.0,-20.3,-12.54,31.32,-0.8192,-1.0114,239,0.882,2.72
12,2014-03-27,2019-03-26,2019-03-29,2020-03-27,2020-03-30,2021-03-26,1247,243,True,lstm_k20,0.0,-0.5642,15.3982,39.54,52.83,5.28,1.897,2.7099,240,0.9917,5.23
13,2015-03-27,2020-03-26,2020-03-30,2021-03-26,2021-03-29,2022-03-28,1242,244,False,lstm_k20,15.432,1.8962,1.8918,25.49,-4.34,15.59,1.1024,1.7873,241,1.012,7.05
14,2016-03-28,2021-03-26,2021-03-29,2022-03-28,2022-03-29,2023-03-28,1242,245,False,lstm_k20,1.9372,1.1066,0.0,-6.47,-2.82,14.32,-0.2348,-0.2998,239,0.861,5.22
15,2017-03-27,2022-03-25,2022-03-29,2023-03-28,2023-03-29,2024-03-28,1241,246,True,tf_2L_k30,0.0,-0.3362,9.5624,41.97,47.55,10.96,2.1441,3.1486,244,0.8657,3.14
16,2018-03-27,2023-03-24,2023-03-29,2024-03-28,2024-03-29,2025-03-28,1227,244,False,tf_2L_k30,9.5876,2.1425,0.0065,2.24,-6.57,27.57,0.1914,0.2101,242,0.8089,3.28
