fold_id,train_start,train_end,val_start,val_end,test_start,test_end,n_train,n_test,retrained,selected_config,val_ir2,val_sharpe,test_ir2,test_arc,qqq_test_arc,test_mdd,test_sharpe,test_sortino,test_n_trades,test_total_tc,test_cash
1,2003-03-31,2008-03-28,2008-04-02,2009-04-01,2009-04-02,2010-04-01,1258,252,True,medium_k20,0.0,-0.9009,15.1392,69.1,52.39,12.36,2.2099,3.0898,238,0.674,3.13
2,2004-03-31,2009-03-30,2009-04-02,2010-04-01,2010-04-05,2011-04-01,1258,253,False,medium_k20,15.1405,2.2054,1.4616,21.62,19.2,14.39,1.0153,1.4272,238,0.6925,3.1
3,2005-03-31,2010-03-30,2010-04-05,2011-04-01,2011-04-04,2012-03-30,1259,251,False,medium_k20,1.4626,1.0137,0.8708,18.22,19.4,17.37,0.856,1.1778,233,0.6248,3.21
4,2006-03-31,2011-03-30,2011-04-04,2012-03-30,2012-04-02,2013-04-01,1259,249,False,medium_k20,0.8689,0.8535,0.1359,5.17,2.41,12.78,0.3344,0.5033,222,0.5932,3.32
5,2007-04-02,2012-03-30,2012-04-02,2013-04-01,2013-04-02,2014-04-01,1261,253,True,medium_k20,0.1481,0.3446,6.2631,29.9,28.87,8.91,1.8488,2.7174,244,0.697,3.97
6,2008-03-31,2013-03-28,2013-04-02,2014-04-01,2014-04-02,2015-04-01,1259,252,False,medium_k20,6.2561,1.8447,1.4541,15.63,19.38,10.22,0.9026,1.1893,241,0.7422,4.03
7,2009-03-31,2014-03-28,2014-04-02,2015-04-01,2015-04-02,2016-04-01,1258,252,False,medium_k20,1.447,0.899,0.0,-2.54,5.0,20.34,0.0078,0.01,242,0.7195,4.06
8,2010-03-31,2015-03-30,2015-04-02,2016-04-01,2016-04-04,2017-03-31,1258,252,True,small_k30,0.0046,0.2023,16.5554,35.91,21.73,5.65,2.2785,2.849,235,0.5555,2.93
9,2011-03-31,2016-03-30,2016-04-04,2017-03-31,2017-04-03,2018-03-29,1257,250,False,small_k30,16.5537,2.2737,2.3146,20.93,20.06,11.27,1.349,1.5611,235,0.5468,2.87
10,2012-04-02,2017-03-30,2017-04-03,2018-03-29,2018-04-02,2019-04-01,1257,252,False,small_k30,2.3153,1.3464,0.0371,4.03,16.53,23.51,0.3889,0.5062,246,0.6716,2.93
11,2013-04-01,2018-03-29,2018-04-02,2019-04-01,2019-04-02,2020-04-01,1260,253,True,small_k30,0.0386,0.392,0.0,-6.67,5.07,29.63,-0.1957,-0.2175,243,0.6911,3.45
12,2014-03-31,2019-03-29,2019-04-02,2020-04-01,2020-04-02,2021-04-01,1259,252,True,small_k20,0.0016,0.0838,15.7281,89.41,72.39,16.72,2.3502,3.3491,246,0.695,4.66
13,2015-03-31,2020-03-30,2020-04-02,2021-04-01,2021-04-05,2022-04-01,1259,253,False,small_k20,15.7315,2.3456,0.0,-0.52,10.0,23.53,0.0685,0.0949,239,0.7638,4.66
14,2016-03-31,2021-03-30,2021-04-05,2022-04-01,2022-04-04,2023-03-31,1259,250,True,medium_k20,0.0,0.0612,0.0,-4.09,-13.97,16.87,-0.0045,-0.0068,244,0.7574,4.89
15,2017-03-31,2022-03-30,2022-04-04,2023-03-31,2023-04-03,2024-04-01,1259,250,True,small_k20,0.0,0.0069,1.9842,25.65,39.99,15.88,1.2446,1.8843,245,0.8645,4.05
16,2018-04-02,2023-03-30,2023-04-03,2024-04-01,2024-04-02,2025-04-01,1259,251,False,small_k20,1.9608,1.2376,0.0,-7.42,6.98,21.37,-0.1372,-0.1643,248,0.7618,3.83
