fold_id,train_start,train_end,val_start,val_end,test_start,test_end,n_train,n_test,retrained,selected_config,val_ir2,val_sharpe,test_ir2,test_arc,qqq_test_arc,test_mdd,test_sharpe,test_sortino,test_n_trades,test_total_tc,test_cash
1,2003-03-31,2008-03-28,2008-04-02,2009-04-01,2009-04-02,2010-04-01,1258,252,True,bmk_nopen_med_k20,0.0,-0.909,15.2581,71.57,52.39,12.75,2.2047,3.0806,239,0.6836,0.0
2,2004-03-31,2009-03-30,2009-04-02,2010-04-01,2010-04-05,2011-04-01,1258,253,False,bmk_nopen_med_k20,15.2685,2.2007,1.4343,22.15,19.2,14.91,1.0101,1.4191,235,0.7061,0.0
3,2005-03-31,2010-03-30,2010-04-05,2011-04-01,2011-04-04,2012-03-30,1259,251,False,bmk_nopen_med_k20,1.4347,1.0082,0.8704,18.8,19.4,17.92,0.8569,1.1788,228,0.6299,0.0
4,2006-03-31,2011-03-30,2011-04-04,2012-03-30,2012-04-02,2013-04-01,1259,249,False,bmk_nopen_med_k20,0.8686,0.8545,0.1303,5.25,2.41,13.29,0.3314,0.4982,219,0.5903,0.0
5,2007-04-02,2012-03-30,2012-04-02,2013-04-01,2013-04-02,2014-04-01,1261,253,True,bmk_nopen_k10,0.0184,0.1562,7.9979,39.8,28.87,10.05,1.9234,2.7863,223,0.711,0.0
6,2008-03-31,2013-03-28,2013-04-02,2014-04-01,2014-04-02,2015-04-01,1259,252,False,bmk_nopen_k10,7.972,1.9166,0.7823,13.35,19.38,11.76,0.6848,0.9108,213,0.8209,0.0
7,2009-03-31,2014-03-28,2014-04-02,2015-04-01,2015-04-02,2016-04-01,1258,252,False,bmk_nopen_k10,0.8002,0.6894,0.1192,6.64,5.0,16.58,0.4393,0.5803,219,0.8099,0.0
8,2010-03-31,2015-03-30,2015-04-02,2016-04-01,2016-04-04,2017-03-31,1258,252,True,bmk_nopen_k10,0.1467,0.4685,21.8599,48.43,21.73,6.24,2.3418,3.3227,240,0.8827,0.0
9,2011-03-31,2016-03-30,2016-04-04,2017-03-31,2017-04-03,2018-03-29,1257,250,False,bmk_nopen_k10,21.9557,2.34,1.483,20.15,20.06,12.88,1.101,1.2925,239,0.8509,0.0
10,2012-04-02,2017-03-30,2017-04-03,2018-03-29,2018-04-02,2019-04-01,1257,252,False,bmk_nopen_k10,1.4782,1.0969,0.0,-3.8,16.53,27.12,-0.0442,-0.0576,249,1.2052,0.0
11,2013-04-01,2018-03-29,2018-04-02,2019-04-01,2019-04-02,2020-04-01,1260,253,True,bmk_nopen_med_k20,0.0673,0.4724,0.0006,0.76,5.07,29.41,0.0775,0.0882,238,0.8134,0.0
12,2014-03-31,2019-03-29,2019-04-02,2020-04-01,2020-04-02,2021-04-01,1259,252,True,bmk_nopen_k10,0.0191,0.2,16.0472,116.2,72.39,22.06,2.3177,3.3013,248,0.9,0.0
13,2015-03-31,2020-03-30,2020-04-02,2021-04-01,2021-04-05,2022-04-01,1259,253,False,bmk_nopen_k10,16.1499,2.3176,0.0,-10.5,10.0,32.86,-0.2857,-0.3921,241,1.0785,0.0
14,2016-03-31,2021-03-30,2021-04-05,2022-04-01,2022-04-04,2023-03-31,1259,250,True,bmk_nopen_k20,0.0,0.072,0.0,-4.76,-13.97,17.94,-0.0212,-0.0319,237,0.7679,0.0
15,2017-03-31,2022-03-30,2022-04-04,2023-03-31,2023-04-03,2024-04-01,1259,250,True,bmk_nopen_med_k20,0.0,-0.0132,1.9555,26.58,39.99,16.59,1.2372,1.8754,243,0.8752,0.0
16,2018-04-02,2023-03-30,2023-04-03,2024-04-01,2024-04-02,2025-04-01,1259,251,False,bmk_nopen_med_k20,1.9528,1.2343,0.0,-7.83,6.98,22.17,-0.1376,-0.1651,242,0.7647,0.0
