fold_id,train_start,train_end,val_start,val_end,test_start,test_end,n_train,n_test,retrained,selected_config,val_ir2,val_sharpe,test_ir2,test_arc,qqq_test_arc,test_mdd,test_sharpe,test_sortino,test_n_trades,test_total_tc,test_cash
1,2003-03-31,2008-03-28,2008-04-02,2009-04-01,2009-04-02,2010-04-01,1258,252,True,bmk_nopen_k20,0.0,-0.9074,15.1637,71.36,52.39,12.75,2.2002,3.0747,238,0.684,0.0
2,2004-03-31,2009-03-30,2009-04-02,2010-04-01,2010-04-05,2011-04-01,1258,253,False,bmk_nopen_k20,15.1597,2.1956,1.4443,22.23,19.2,14.92,1.0132,1.4233,234,0.7058,0.0
3,2005-03-31,2010-03-30,2010-04-05,2011-04-01,2011-04-04,2012-03-30,1259,251,False,bmk_nopen_k20,1.4448,1.0113,0.8777,18.88,19.4,17.9,0.8594,1.1825,221,0.6284,0.0
4,2006-03-31,2011-03-30,2011-04-04,2012-03-30,2012-04-02,2013-04-01,1259,249,True,bmk_mild_k20,0.8794,0.858,0.1322,5.29,2.41,13.28,0.3331,0.5011,214,0.589,0.0
5,2007-04-02,2012-03-30,2012-04-02,2013-04-01,2013-04-02,2014-04-01,1261,253,True,bmk_mild_k20,0.1325,0.3318,6.4532,31.54,28.87,9.24,1.8631,2.7399,234,0.7091,0.0
6,2008-03-31,2013-03-28,2013-04-02,2014-04-01,2014-04-02,2015-04-01,1259,252,False,bmk_mild_k20,6.4193,1.8559,1.4148,16.1,19.38,10.69,0.8927,1.1752,232,0.7572,0.0
7,2009-03-31,2014-03-28,2014-04-02,2015-04-01,2015-04-02,2016-04-01,1258,252,False,bmk_mild_k20,1.4187,0.8922,0.0,-2.59,5.0,21.16,0.0146,0.0186,236,0.7368,0.0
8,2010-03-31,2015-03-30,2015-04-02,2016-04-01,2016-04-04,2017-03-31,1258,252,True,bmk_mild_med_k20,0.0,0.0154,11.3559,36.77,21.73,7.86,2.1123,2.6361,229,0.7517,0.0
9,2011-03-31,2016-03-30,2016-04-04,2017-03-31,2017-04-03,2018-03-29,1257,250,False,bmk_mild_med_k20,11.3514,2.1076,0.9788,14.93,20.06,12.46,0.9959,1.1881,226,0.7234,0.0
10,2012-04-02,2017-03-30,2017-04-03,2018-03-29,2018-04-02,2019-04-01,1257,252,False,bmk_mild_med_k20,0.9781,0.9935,0.0665,5.73,16.53,25.63,0.4716,0.6089,232,0.836,0.0
11,2013-04-01,2018-03-29,2018-04-02,2019-04-01,2019-04-02,2020-04-01,1260,253,True,bmk_nopen_k20,0.0676,0.4729,0.0006,0.74,5.07,29.44,0.0771,0.0877,234,0.8093,0.0
12,2014-03-31,2019-03-29,2019-04-02,2020-04-01,2020-04-02,2021-04-01,1259,252,True,bmk_mild_med_k20,0.0008,0.08,16.1308,94.95,72.39,17.52,2.3497,3.3457,248,0.7251,0.0
13,2015-03-31,2020-03-30,2020-04-02,2021-04-01,2021-04-05,2022-04-01,1259,253,False,bmk_mild_med_k20,16.125,2.3448,0.0,-0.62,10.0,24.58,0.0708,0.0981,240,0.8002,0.0
14,2016-03-31,2021-03-30,2021-04-05,2022-04-01,2022-04-04,2023-03-31,1259,250,True,bmk_nopen_k20,0.0,0.0714,0.0,-4.74,-13.97,17.96,-0.0204,-0.0307,237,0.7678,0.0
15,2017-03-31,2022-03-30,2022-04-04,2023-03-31,2023-04-03,2024-04-01,1259,250,True,bmk_nopen_k20,0.0,-0.0182,1.9618,26.63,39.99,16.59,1.2389,1.8779,242,0.869,0.0
16,2018-04-02,2023-03-30,2023-04-03,2024-04-01,2024-04-02,2025-04-01,1259,251,False,bmk_nopen_k20,1.9621,1.2365,0.0,-7.87,6.98,22.16,-0.1399,-0.1679,236,0.7597,0.0
