fold_id,train_start,train_end,val_start,val_end,test_start,test_end,n_train,n_test,retrained,selected_config,val_ir2,val_sharpe,test_ir2,test_arc,qqq_test_arc,test_mdd,test_sharpe,test_sortino,test_n_trades,test_total_tc,test_cash
1,2003-03-31,2008-03-28,2008-04-02,2009-04-01,2009-04-02,2010-04-01,1258,252,True,tf_2L_k20,0.0,-0.8852,15.3648,64.47,52.39,11.15,2.195,3.0646,251,0.7907,7.02
2,2004-03-31,2009-03-30,2009-04-02,2010-04-01,2010-04-05,2011-04-01,1258,253,False,tf_2L_k20,14.93,2.1686,1.4783,21.38,19.2,14.14,1.0192,1.434,252,0.7166,4.39
3,2005-03-31,2010-03-30,2010-04-05,2011-04-01,2011-04-04,2012-03-30,1259,251,False,tf_2L_k20,1.4213,1.0042,0.8655,17.89,19.4,17.15,0.8544,1.1762,250,0.6428,4.74
4,2006-03-31,2011-03-30,2011-04-04,2012-03-30,2012-04-02,2013-04-01,1259,249,False,tf_2L_k20,0.8659,0.852,0.1297,4.96,2.41,12.56,0.3253,0.49,247,0.6325,4.85
5,2007-04-02,2012-03-30,2012-04-02,2013-04-01,2013-04-02,2014-04-01,1261,253,True,tf_2L_k20,0.141,0.3388,6.4605,30.56,28.87,9.0,1.8799,2.772,252,0.756,3.97
6,2008-03-31,2013-03-28,2013-04-02,2014-04-01,2014-04-02,2015-04-01,1259,252,False,tf_2L_k20,6.3276,1.8599,1.4304,15.63,19.38,10.34,0.8972,1.1711,251,0.8077,4.09
7,2009-03-31,2014-03-28,2014-04-02,2015-04-01,2015-04-02,2016-04-01,1258,252,False,tf_2L_k20,1.4685,0.9062,0.0,-2.63,5.0,20.68,0.0049,0.0062,251,0.7561,3.42
8,2010-03-31,2015-03-30,2015-04-02,2016-04-01,2016-04-04,2017-03-31,1258,252,True,tf_2L_k30,0.0042,0.1999,16.6136,36.02,21.73,5.66,2.2805,2.8533,237,0.5578,2.78
9,2011-03-31,2016-03-30,2016-04-04,2017-03-31,2017-04-03,2018-03-29,1257,250,False,tf_2L_k30,16.6009,2.2755,2.3039,20.91,20.06,11.28,1.3464,1.5582,237,0.5491,2.74
10,2012-04-02,2017-03-30,2017-04-03,2018-03-29,2018-04-02,2019-04-01,1257,252,False,tf_2L_k30,2.3039,1.3442,0.0361,3.99,16.53,23.57,0.3867,0.5031,246,0.6753,2.78
11,2013-04-01,2018-03-29,2018-04-02,2019-04-01,2019-04-02,2020-04-01,1260,253,True,tf_2L_k30,0.0352,0.3834,0.0,-6.45,5.07,29.22,-0.1961,-0.2194,243,0.6902,3.4
12,2014-03-31,2019-03-29,2019-04-02,2020-04-01,2020-04-02,2021-04-01,1259,252,True,lstm_k20,0.0018,0.0871,15.538,89.81,72.39,16.91,2.3382,3.3301,250,0.7246,3.93
13,2015-03-31,2020-03-30,2020-04-02,2021-04-01,2021-04-05,2022-04-01,1259,253,False,lstm_k20,15.4789,2.3305,0.0,-0.77,10.0,23.82,0.0591,0.0818,249,0.7955,3.53
14,2016-03-31,2021-03-30,2021-04-05,2022-04-01,2022-04-04,2023-03-31,1259,250,True,lstm_k20,0.0,0.0937,0.0,-3.62,-13.97,16.53,0.0165,0.025,245,0.7715,5.62
15,2017-03-31,2022-03-30,2022-04-04,2023-03-31,2023-04-03,2024-04-01,1259,250,False,lstm_k20,0.0,0.0146,1.9461,25.13,39.99,15.76,1.2386,1.8714,247,0.8658,5.2
16,2018-04-02,2023-03-30,2023-04-03,2024-04-01,2024-04-02,2025-04-01,1259,251,False,lstm_k20,1.9672,1.2409,0.0,-6.93,6.98,20.97,-0.1247,-0.1498,248,0.7932,5.85
