Asset,Asset Code,Model,Benchmark,N,alpha,SE(alpha)_HAC,t(alpha)_HAC,p(alpha)_HAC_right,beta,SE(beta)_HAC,t(beta)_HAC,p(beta)_HAC_two_sided,NW_lags,Significant_alpha_HAC_10pct
EURO STOXX 50,EUSTX,LSTM-1,QQQ Buy-and-Hold,4085,0.00016338349621103186,8.905617047007017e-05,1.8346117438986609,0.033281618675569,-0.42167927707012925,0.013808878005968542,-30.53682398293829,0.0,9,True
EURO STOXX 50,EUSTX,LSTM-2,QQQ Buy-and-Hold,4085,0.00017101054545352152,7.571152596996484e-05,2.2587121744364564,0.011950647336444464,-0.5058427921732314,0.01169699774487777,-43.24552361265051,0.0,9,True
EURO STOXX 50,EUSTX,LSTM-NC-1,QQQ Buy-and-Hold,4085,0.00012082191764021539,0.00010474102746891311,1.1535300021386086,0.12434645521744558,-0.41405146353288985,0.014796961297517407,-27.982195479713678,0.0,9,False
EURO STOXX 50,EUSTX,LSTM-NC-2,QQQ Buy-and-Hold,4085,0.00016611455624242194,9.593274955251567e-05,1.7315729718711672,0.0416748109854832,-0.40484212680791903,0.014085779669466447,-28.741194048739082,0.0,9,True
EURO STOXX 50,EUSTX,Transformer,QQQ Buy-and-Hold,4085,0.00016917329594256814,8.93415209611073e-05,1.8935573753687684,0.029141892884267717,-0.420036284477342,0.013872487123686614,-30.278369028733856,0.0,9,True
NASDAQ 100,QQQ,LSTM-1,QQQ Buy-and-Hold,4008,-4.91958188781049e-06,8.923387931023906e-05,-0.05513132372858743,0.5219830793206411,-0.04169105909241044,0.017219695209649825,-2.4211264244123782,0.015472495175500312,9,False
NASDAQ 100,QQQ,LSTM-2,QQQ Buy-and-Hold,4008,-9.841162247878533e-07,7.468632988802096e-05,-0.013176657980963354,0.5052565738710484,-0.16402400163949626,0.015858425411467356,-10.3430193971773,0.0,9,False
NASDAQ 100,QQQ,LSTM-NC-1,QQQ Buy-and-Hold,4008,3.40182641435921e-05,0.00011739545099198312,0.28977497727671914,0.38599419607930574,0.028500625671402758,0.02143765343986357,1.329465734267609,0.18369436341734113,9,False
NASDAQ 100,QQQ,LSTM-NC-2,QQQ Buy-and-Hold,4008,3.880667026565096e-06,9.423963648897682e-05,0.0411787138739549,0.48357671157225623,-0.0024249910145377283,0.01812902370965575,-0.13376291262977097,0.8935900550113671,9,False
NASDAQ 100,QQQ,Transformer,QQQ Buy-and-Hold,4008,-5.409269149534191e-06,8.780127398173618e-05,-0.061608094099629925,0.5245625344849989,-0.050051715196327826,0.017093404189778737,-2.9281303267992116,0.0034100707428390553,9,False
NIKKEI 225,NKY,LSTM-1,QQQ Buy-and-Hold,3916,0.00011004354460857517,0.00010180524127369211,1.0809221925297077,0.13986586294139647,-0.1418095867322132,0.017692815896459296,-8.0150942372374,1.1102230246251565e-15,9,False
NIKKEI 225,NKY,LSTM-2,QQQ Buy-and-Hold,3916,6.0168415398516776e-05,8.624978529557398e-05,0.6976065527852903,0.24271164123662703,-0.2381556369782775,0.014010419555544674,-16.99846575144329,0.0,9,False
NIKKEI 225,NKY,LSTM-NC-1,QQQ Buy-and-Hold,3916,1.356138706202887e-05,0.0001238976805583108,0.10945634333845645,0.4564202733127394,-0.029534169300822345,0.020127798998223527,-1.4673322852354111,0.14228568518514306,9,False
NIKKEI 225,NKY,LSTM-NC-2,QQQ Buy-and-Hold,3916,1.4569938059394943e-05,0.00011746966759784187,0.12403149134017485,0.4506451705447825,-0.032865602988555814,0.019236774219597172,-1.7084778670986573,0.08754770974707315,9,False
NIKKEI 225,NKY,Transformer,QQQ Buy-and-Hold,3916,2.9211473466636074e-05,0.00010451926941545463,0.27948409542094205,0.3899366709727473,-0.12304854028098208,0.018104870710553538,-6.7964329736558495,1.0724088284064237e-11,9,False
