Asset,Asset Code,Model,Benchmark,N,NW_lags,Mean(strategy - benchmark),SE_HAC,t_HAC,p_HAC_right,p_ttest_right_legacy,Delta Sharpe,p_SB_right_DeltaSharpe,DeltaSharpe_q05,DeltaSharpe_q50,DeltaSharpe_q95,Delta IR2,p_SB_right_DeltaIR2,DeltaIR2_q05,DeltaIR2_q50,DeltaIR2_q95,Significant_HAC_10pct,Significant_SB_Sharpe_10pct,Significant_SB_IR2_10pct
EURO STOXX 50,EUSTX,LSTM-1,QQQ Buy-and-Hold,4085,9,2.2361279530053396e-07,0.00010924525632675694,0.00204688791824241,0.49918341043638803,0.49943861890996205,0.1143738837265158,0.15384615384615385,-0.06334217770787795,0.1115097848935675,0.291462117882586,0.059732302892847484,0.13486513486513488,-0.026595804195993538,0.04886892390585702,0.23594221138883967,False,False,False
EURO STOXX 50,EUSTX,LSTM-2,QQQ Buy-and-Hold,4085,9,-2.4714631204724896e-05,0.00011646352961290433,-0.21220918932192898,0.5840280810201013,0.5616174419977816,0.1645067592949947,0.07192807192807193,-0.017620837432331605,0.16340607805332774,0.3463065052973198,0.08863566033883821,0.061938061938061936,-0.0014181035025838905,0.0773679407936218,0.32823835243097454,False,True,True
EURO STOXX 50,EUSTX,LSTM-NC-1,QQQ Buy-and-Hold,4085,9,-3.938654455296979e-05,0.00012225170886799098,-0.32217582001655215,0.6263402492406821,0.5918160960730696,0.03351634003219439,0.4085914085914086,-0.1655987918663642,0.031051745772270517,0.2429006191582541,0.020482967181524696,0.3786213786213786,-0.08482551869722658,0.010344305796395737,0.14888640591173546,False,False,False
EURO STOXX 50,EUSTX,LSTM-NC-2,QQQ Buy-and-Hold,4085,9,9.469452241326927e-06,0.0001127334868837696,0.08399857489629603,0.4665287824168143,0.47676844255594475,0.10445562964261823,0.1928071928071928,-0.08122391067315082,0.10398930311131506,0.2966576228272696,0.05403741282451988,0.16083916083916083,-0.041063784700878965,0.041761192272895195,0.23910196254672955,False,False,False
EURO STOXX 50,EUSTX,Transformer,QQQ Buy-and-Hold,4085,9,6.6491337834147165e-06,0.00010939693448383671,0.060779891271972704,0.475767252574283,0.48334108780433804,0.12093380391142994,0.13986013986013987,-0.05635706242823638,0.11833717739267866,0.30065647611542273,0.0648482444761847,0.12287712287712288,-0.020893039611931764,0.05303732614706756,0.24471538153267117,False,False,False
NASDAQ 100,QQQ,LSTM-1,QQQ Buy-and-Hold,4008,9,-3.7261038757708686e-05,8.721609380470009e-05,-0.42722664054579207,0.6653928704424481,0.6569338030109405,-0.09723687969351424,0.8321678321678322,-0.27291154077654384,-0.0998940300836943,0.0768065980192381,-0.044318175976252316,0.7872127872127872,-0.5516630746520745,-0.11590419881549945,0.17950578011710372,False,False,False
NASDAQ 100,QQQ,LSTM-2,QQQ Buy-and-Hold,4008,9,-0.00012822423173477189,7.843720192947635e-05,-1.6347374534096657,0.9489479512585244,0.9399632235750018,-0.08381019043232685,0.7762237762237763,-0.25278076352702783,-0.0831727207116062,0.08459751110179554,-0.032603497126606484,0.7502497502497503,-0.5130366561407136,-0.09785031501682073,0.1903131183687172,False,False,False
NASDAQ 100,QQQ,LSTM-NC-1,QQQ Buy-and-Hold,4008,9,5.6127363216217594e-05,0.00011508861354969142,0.4876882385239933,0.3128853419314205,0.31991274115574647,-0.09146936956875118,0.7832167832167832,-0.3076362208599812,-0.08701891885832896,0.11654849507696614,-0.09857432324623916,0.7312687312687313,-0.6067393759287774,-0.10778639673353804,0.28328856071727593,False,False,False
NASDAQ 100,QQQ,LSTM-NC-2,QQQ Buy-and-Hold,4008,9,1.9995024792044033e-06,9.22632150763936e-05,0.021671719087057853,0.49135491168609324,0.49188814842412143,-0.09174974228310784,0.8061938061938062,-0.26648670688462683,-0.09502477703704271,0.09019264624979009,-0.04171643859668284,0.7672327672327672,-0.5440364072100227,-0.10645908899933693,0.22435071040044152,False,False,False
NASDAQ 100,QQQ,Transformer,QQQ Buy-and-Hold,4008,9,-4.423642834207055e-05,8.587123096385807e-05,-0.515148412868205,0.6967753427901786,0.6859106370689677,-0.0974503810811227,0.8281718281718282,-0.27319986696770476,-0.09949654489754628,0.0751336344113128,-0.04702366234147132,0.7882117882117882,-0.5497969422599157,-0.11687503627750107,0.18308118040832252,False,False,False
