Asset,Asset Code,Model,Benchmark,N,Mean(strategy - benchmark),t_stat,p_value,Significant,Significant_10pct
EURO STOXX 50,EUSTX,LSTM-1,QQQ Buy-and-Hold,4085,2.2361279530038428e-07,0.0014072603197960332,0.49943861890996205,No,False
EURO STOXX 50,EUSTX,LSTM-2,QQQ Buy-and-Hold,4085,-2.471463120472498e-05,-0.155081010725274,0.5616174419977816,No,False
EURO STOXX 50,EUSTX,LSTM-NC-1,QQQ Buy-and-Hold,4085,-3.9386544552969644e-05,-0.23223412825360565,0.5918160960730696,No,False
EURO STOXX 50,EUSTX,LSTM-NC-2,QQQ Buy-and-Hold,4085,9.469452241326997e-06,0.05826940874935409,0.47676844255594475,No,False
EURO STOXX 50,EUSTX,Transformer,QQQ Buy-and-Hold,4085,6.649133783414761e-06,0.04177240472827293,0.48334108780433804,No,False
NASDAQ 100,QQQ,LSTM-1,QQQ Buy-and-Hold,4008,-3.7261038757708714e-05,-0.4041385669106863,0.6569338030109405,No,False
NASDAQ 100,QQQ,LSTM-2,QQQ Buy-and-Hold,4008,-0.00012822423173477189,-1.5547963470855426,0.9399632235750018,No,False
NASDAQ 100,QQQ,LSTM-NC-1,QQQ Buy-and-Hold,4008,5.6127363216217634e-05,0.4679784082953317,0.31991274115574647,No,False
NASDAQ 100,QQQ,LSTM-NC-2,QQQ Buy-and-Hold,4008,1.9995024792043686e-06,0.020336067121741925,0.49188814842412143,No,False
NASDAQ 100,QQQ,Transformer,QQQ Buy-and-Hold,4008,-4.423642834207058e-05,-0.4843292011382186,0.6859106370689677,No,False
NIKKEI 225,NKY,LSTM-1,QQQ Buy-and-Hold,3916,4.399316562898372e-05,0.3983397354522779,0.3452007478386809,No,False
NIKKEI 225,NKY,LSTM-2,QQQ Buy-and-Hold,3916,-5.075687844812241e-05,-0.49374983516012844,0.6892447184554631,No,False
NIKKEI 225,NKY,LSTM-NC-1,QQQ Buy-and-Hold,3916,-1.9468627630212966e-07,-0.0015083281048115557,0.5006016972017245,No,False
NIKKEI 225,NKY,LSTM-NC-2,QQQ Buy-and-Hold,3916,-7.378107522994256e-07,-0.006046233803044638,0.5024119295776559,No,False
NIKKEI 225,NKY,Transformer,QQQ Buy-and-Hold,3916,-2.8100608923053228e-05,-0.24905907366209853,0.5983359243173432,No,False
