Asset,Asset Code,Model,Benchmark,N,alpha,SE(alpha),t(alpha),p(alpha) right-tail,beta,SE(beta),t(beta),p(beta) two-sided,R2,Significant,Significant_10pct
EURO STOXX 50,EUSTX,LSTM-1,QQQ Buy-and-Hold,4085,0.00016338349621103224,0.0001239684557563447,1.3179441109773626,0.09379814735918335,-0.42167927707012987,0.008220646306583498,-51.295148987547165,0.0,0.391885157336221,Yes,True
EURO STOXX 50,EUSTX,LSTM-2,QQQ Buy-and-Hold,4085,0.00017101054545352155,0.00010568304158518776,1.6181455689432949,0.05285423517780519,-0.5058427921732322,0.007008096536939556,-72.17976942910869,0.0,0.5606332144352675,Yes,True
EURO STOXX 50,EUSTX,LSTM-NC-1,QQQ Buy-and-Hold,4085,0.00012082191764021546,0.00013871202746622638,0.8710269747130125,0.19189531708020002,-0.4140514635328903,0.00919832798845348,-45.013774683034,0.0,0.3316680864824625,No,False
EURO STOXX 50,EUSTX,LSTM-NC-2,QQQ Buy-and-Hold,4085,0.00016611455624242216,0.00013154965705737163,1.2627517240122947,0.10337526494918803,-0.40484212680791976,0.00872337398915821,-46.40889262698988,0.0,0.34533581101959465,No,False
EURO STOXX 50,EUSTX,Transformer,QQQ Buy-and-Hold,4085,0.00016917329594256828,0.00012463159793065165,1.3573868806263787,0.08736666791764791,-0.4200362844773427,0.008264620858276476,-50.82341848225305,0.0,0.38749057429468403,Yes,True
NASDAQ 100,QQQ,LSTM-1,QQQ Buy-and-Hold,4008,-4.919581887810517e-06,9.19873131126344e-05,-0.05348109126512594,0.521324368611932,-0.04169105909241048,0.007140920533394487,-5.838331192378126,5.690588000817343e-09,0.00843697638477181,No,False
NASDAQ 100,QQQ,LSTM-2,QQQ Buy-and-Hold,4008,-9.841162247877584e-07,7.558671877586132e-05,-0.01301969764960927,0.5051936369669379,-0.16402400163949638,0.005867752126834621,-27.953464647795148,0.0,0.1632194528062485,No,False
NASDAQ 100,QQQ,LSTM-NC-1,QQQ Buy-and-Hold,4008,3.401826414359215e-05,0.00012002877826102759,0.28341756565756543,0.38843570493616486,0.028500625671402796,0.0093177628335869,3.0587412644448473,0.0022373820128807065,0.0023300296063896164,No,False
NASDAQ 100,QQQ,LSTM-NC-2,QQQ Buy-and-Hold,4008,3.880667026565067e-06,9.851279504345283e-05,0.0393925177420187,0.48428970409604766,-0.0024249910145377244,0.00764748982358583,-0.3170963375536302,0.7511870280433937,2.509924202664937e-05,No,False
NASDAQ 100,QQQ,Transformer,QQQ Buy-and-Hold,4008,-5.409269149534144e-06,9.094420101528999e-05,-0.05947898919497584,0.5237132165936038,-0.05005171519632785,0.007059944360240716,-7.089533945650145,1.5831780331154732e-12,0.012391087623671804,No,False
NIKKEI 225,NKY,LSTM-1,QQQ Buy-and-Hold,3916,0.00011004354460857521,0.00010633350795046137,1.0348905695826593,0.1503919772671325,-0.14180958673221356,0.007996236893939444,-17.734540461112992,0.0,0.0743793046252218,No,False
NIKKEI 225,NKY,LSTM-2,QQQ Buy-and-Hold,3916,6.016841539851701e-05,8.955856271738239e-05,0.6718331957647523,0.2508647724815737,-0.23815563697827813,0.006734767780844339,-35.36211562567351,0.0,0.24213074888790354,No,False
NIKKEI 225,NKY,LSTM-NC-1,QQQ Buy-and-Hold,3916,1.3561387062028856e-05,0.00012901732802247207,0.10511291211725259,0.45814579988693827,-0.029534169300822425,0.009702051010782083,-3.0441160604083106,0.0023491642298523185,0.0023619711412526945,No,False
NIKKEI 225,NKY,LSTM-NC-2,QQQ Buy-and-Hold,3916,1.4569938059394941e-05,0.00012191869744238849,0.11950536189315691,0.45244056277206834,-0.032865602988555884,0.009168236855348073,-3.584724468520304,0.0003415503986241575,0.003272406304975495,No,False
NIKKEI 225,NKY,Transformer,QQQ Buy-and-Hold,3916,2.9211473466636132e-05,0.00010983975832770027,0.26594626491698453,0.395147300435686,-0.12304854028098246,0.0082599055075897,-14.897088128661764,0.0,0.05365748398096393,No,False
