fold_id,train_start,train_end,val_start,val_end,test_start,test_end,n_train,n_test,retrained,selected_config,val_ir2,val_sharpe,test_ir2,test_arc,qqq_test_arc,test_mdd,test_sharpe,test_sortino,test_n_trades,test_total_tc,test_cash
1,2021-04-27,2023-04-26,2023-05-01,2023-06-28,2023-06-29,2023-08-28,1004,82,True,standard,224.5196,4.5233,0.0452,1.73,0.36,5.42,0.3597,0.5326,74,0.9386,49.37
2,2021-06-28,2023-06-26,2023-06-29,2023-08-28,2023-08-29,2023-10-27,1000,86,False,standard,0.0061,0.2779,0.0,-9.04,-40.03,4.56,-0.9532,-1.4822,80,1.11,45.7
3,2021-08-27,2023-08-25,2023-08-29,2023-10-27,2023-10-30,2023-12-28,998,82,True,aggressive_timing,0.0,-1.7793,1310.0914,56.69,185.8,0.54,9.9269,14.5222,75,0.523,64.72
4,2021-10-27,2023-10-26,2023-10-30,2023-12-28,2023-12-29,2024-02-28,1000,82,False,aggressive_timing,1350.8021,9.9493,11.1478,15.4,51.86,2.26,1.6065,2.8586,70,0.5646,62.56
5,2021-12-27,2023-12-26,2023-12-29,2024-02-28,2024-02-29,2024-04-26,1000,82,False,aggressive_timing,16.4838,1.899,0.0,-10.87,-18.46,4.78,-0.8114,-1.0048,73,0.6304,53.44
6,2022-02-28,2024-02-26,2024-02-29,2024-04-26,2024-04-29,2024-06-28,996,86,True,large_capacity,10.1609,1.867,39.9447,38.36,91.82,3.67,3.2839,5.3268,74,1.1149,36.22
7,2022-04-27,2024-04-26,2024-04-29,2024-06-28,2024-07-01,2024-08-28,1000,82,False,large_capacity,26.4154,2.7799,0.0,-32.39,-6.56,13.5,-1.9318,-2.1044,72,1.7001,23.22
8,2022-06-27,2024-06-26,2024-07-01,2024-08-28,2024-08-29,2024-10-28,1000,84,True,large_capacity,0.0,-0.8809,5.4716,8.56,38.06,1.87,1.0115,1.7419,74,1.4947,48.26
9,2022-08-29,2024-08-26,2024-08-29,2024-10-28,2024-10-29,2024-12-27,994,80,False,large_capacity,8.9592,1.2236,25.3885,19.38,46.22,2.01,2.4747,4.0073,65,0.2457,69.64
10,2022-10-27,2024-10-25,2024-10-29,2024-12-27,2024-12-30,2025-02-27,996,80,False,large_capacity,25.1192,2.4499,0.8654,4.75,-1.31,2.96,0.3542,0.48,58,0.4001,67.0
11,2022-12-27,2024-12-26,2024-12-30,2025-02-27,2025-02-28,2025-04-25,996,80,True,large_capacity,2.9658,0.5887,0.0,-14.41,-41.22,8.51,-0.7873,-1.0798,76,1.0764,24.15
12,2023-02-27,2025-02-26,2025-03-03,2025-04-30,2025-05-01,2025-06-30,994,82,True,large_capacity,0.0,0.1333,43.3106,33.79,127.23,2.39,2.594,4.4833,77,1.041,27.9
13,2023-04-27,2025-04-25,2025-04-29,2025-06-27,2025-06-30,2025-08-28,992,84,False,large_capacity,50.5065,2.9511,0.0,-23.96,26.97,9.38,-1.5791,-1.8447,74,0.8134,8.58
14,2023-06-27,2025-06-26,2025-06-30,2025-08-28,2025-08-29,2025-10-28,994,84,True,conservative_lr,0.0,-0.1683,86.4966,48.89,82.08,2.72,4.0748,4.6579,80,0.9135,61.62
15,2023-08-28,2025-08-26,2025-08-29,2025-10-28,2025-10-29,2025-12-26,992,78,False,conservative_lr,26.1077,2.7573,0.3218,4.65,-12.67,5.46,0.4118,0.4839,75,1.394,54.42
