fold_id,train_start,train_end,val_start,val_end,test_start,test_end,n_train,n_test,retrained,selected_config,val_ir2,val_sharpe,test_ir2,test_arc,qqq_test_arc,test_mdd,test_sharpe,test_sortino,test_n_trades,test_total_tc,test_cash
1,2021-04-27,2023-04-26,2023-05-01,2023-06-28,2023-06-29,2023-08-28,1004,82,True,standard,89.6893,3.5937,0.0,-0.17,0.18,2.82,0.2595,0.2995,71,0.7979,53.87
2,2021-06-28,2023-06-26,2023-06-29,2023-08-28,2023-08-29,2023-10-27,1000,86,True,aggressive_timing,0.0,-0.3039,0.0,-24.16,-22.56,9.61,-2.6398,-3.8448,68,0.2625,6.38
3,2021-08-27,2023-08-25,2023-08-29,2023-10-27,2023-10-30,2023-12-28,998,82,True,conservative_lr,0.0,-2.2009,171.701,40.17,69.06,1.37,5.0193,7.7686,76,0.4908,48.82
4,2021-10-27,2023-10-26,2023-10-30,2023-12-28,2023-12-29,2024-02-28,1000,82,False,conservative_lr,174.7284,5.0043,15.2637,7.99,23.23,0.98,1.8342,3.046,79,0.8409,57.64
5,2021-12-27,2023-12-26,2023-12-29,2024-02-28,2024-02-29,2024-04-26,1000,82,False,conservative_lr,10.4646,1.6341,0.0,-7.49,-9.7,3.89,-1.3345,-1.5666,79,1.2101,56.3
6,2022-02-28,2024-02-26,2024-02-29,2024-04-26,2024-04-29,2024-06-28,996,86,True,large_capacity,0.1174,0.443,0.322,2.32,38.5,3.31,0.5119,0.6423,55,0.633,52.35
7,2022-04-27,2024-04-26,2024-04-29,2024-06-28,2024-07-01,2024-08-28,1000,82,False,large_capacity,0.2507,0.4529,0.9022,8.36,-3.33,6.66,0.8025,1.0176,53,0.5697,29.65
8,2022-06-27,2024-06-26,2024-07-01,2024-08-28,2024-08-29,2024-10-28,1000,84,False,large_capacity,0.634,0.6966,1.1797,7.53,17.5,5.09,0.6283,0.856,38,0.459,14.09
9,2022-08-29,2024-08-26,2024-08-29,2024-10-28,2024-10-29,2024-12-27,994,80,False,large_capacity,1.21,0.6289,0.0,-0.26,20.92,5.36,-0.0202,-0.0285,54,0.3518,29.51
10,2022-10-27,2024-10-25,2024-10-29,2024-12-27,2024-12-30,2025-02-27,996,80,True,aggressive_timing,1.4389,0.7917,9.5353,5.87,-0.66,1.16,1.5387,2.179,77,0.257,69.99
11,2022-12-27,2024-12-26,2024-12-30,2025-02-27,2025-02-28,2025-04-25,996,80,False,aggressive_timing,10.8835,1.6879,0.0,-9.16,-23.33,10.55,-0.4277,-0.5403,66,0.8458,48.59
12,2023-02-27,2025-02-26,2025-03-03,2025-04-30,2025-05-01,2025-06-30,994,82,True,conservative_lr,0.0859,0.3546,46.7129,11.89,50.74,0.83,3.0481,6.3831,6,0.0862,69.95
13,2023-04-27,2025-04-25,2025-04-29,2025-06-27,2025-06-30,2025-08-28,992,84,False,conservative_lr,48.8964,3.2456,1.5186,1.95,12.68,1.15,1.0028,1.4776,4,0.0852,69.93
14,2023-06-27,2025-06-26,2025-06-30,2025-08-28,2025-08-29,2025-10-28,994,84,False,conservative_lr,1.5218,0.9978,21.7253,7.94,34.94,1.06,2.8826,3.5871,5,0.087,69.94
15,2023-08-28,2025-08-26,2025-08-29,2025-10-28,2025-10-29,2025-12-26,992,78,False,conservative_lr,21.7149,2.8651,0.5031,1.49,-6.55,1.52,0.5606,0.762,4,0.087,69.87
